track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Space Song,Beach House,Beach House,Depression Cherry,74,76,2771286,dream pop,2015-08-28,5:20,False,https://open.spotify.com/track/1ujxjsoNvh4XgS2fUNwkZ2,spotify:track:1ujxjsoNvh4XgS2fUNwkZ2
Glimpse of Us,Joji,Joji,Glimpse of Us,10,81,10400714,,2022-06-10,3:53,False,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ,spotify:track:6xGruZOHLs39ZbVccQTuPZ
Don't Stop Me Now - Remastered 2011,Queen,Queen,Jazz (2011 Remaster),82,86,54949248,classic rock; rock; glam rock,1978-11-10,3:29,False,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,spotify:track:5T8EDUDqKcs6OSOwEsfqG7
光るなら,Goose house,Goose house,光るなら,51,53,278878,anime; j-pop,2014-11-19,4:14,False,https://open.spotify.com/track/2cwvwUyyjjFsv55EywX9Zo,spotify:track:2cwvwUyyjjFsv55EywX9Zo
Nothing Else Matters,Metallica,Metallica,Metallica,20,86,31899819,metal; thrash metal; rock; heavy metal; hard rock,1991-08-12,6:28,False,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,spotify:track:0nLiqZ6A27jJri2VCalIUs
Ticket to the Moon,Electric Light Orchestra,Electric Light Orchestra,Time,46,75,4434917,art rock,1981-08-01,4:07,False,https://open.spotify.com/track/3JylM9GgbQF6srJAKRxFQu,spotify:track:3JylM9GgbQF6srJAKRxFQu
Somewhere Over The Rainbow/What A Wonderful World,Israel Kamakawiwo'ole,Israel Kamakawiwo'ole,Facing Future,71,65,649254,,1993-11-01,5:08,False,https://open.spotify.com/track/25U7raB3ZSszayTYClh4hF,spotify:track:25U7raB3ZSszayTYClh4hF
Sleep On The Floor,The Lumineers,The Lumineers,Cleopatra,1,80,5877921,folk pop; indie folk,2016-04-08,3:31,False,https://open.spotify.com/track/44uOreAESeRIBaxkuCW4wN,spotify:track:44uOreAESeRIBaxkuCW4wN
Under Pressure - Remastered 2011,Queen,Queen; David Bowie,Greatest Hits II,52,86,54949248,classic rock; rock; glam rock,1991-10-28,3:56,False,https://open.spotify.com/track/2aSFLiDPreOVP6KHiWk4lF,spotify:track:2aSFLiDPreOVP6KHiWk4lF
Like You Do,Joji,Joji,Nectar,1,81,10400714,,2020-09-25,4:00,False,https://open.spotify.com/track/1MONUudxAjEk76FJvzGhuD,spotify:track:1MONUudxAjEk76FJvzGhuD
Under the Bridge,Red Hot Chili Peppers,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),84,86,23078616,funk rock; alternative rock; rock,1991-09-24,4:24,False,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
Burn It Down - One More Light Live,Linkin Park,Linkin Park,One More Light Live,42,92,31443678,nu metal; rap metal; rock; alternative metal,2017-12-15,4:13,True,https://open.spotify.com/track/0zKs47fghFBtrEpxyUR1Wz,spotify:track:0zKs47fghFBtrEpxyUR1Wz
Ho Hey,The Lumineers,The Lumineers,The Lumineers (Deluxe Edition),6,80,5877921,folk pop; indie folk,2012,2:43,False,https://open.spotify.com/track/1K3LRUEcUz5FMtPYyg0F45,spotify:track:1K3LRUEcUz5FMtPYyg0F45
i saw you in a dream,The Japanese House,The Japanese House,Good At Falling,54,63,787070,,2019-03-01,3:20,False,https://open.spotify.com/track/0ltmioOsLQsL0OFgcPbdVi,spotify:track:0ltmioOsLQsL0OFgcPbdVi
Redbone,Childish Gambino,Childish Gambino,"""Awaken, My Love!""",4,81,14475635,,2016-12-02,5:26,True,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR,spotify:track:0wXuerDYiBnERgIpbb3JBR
Always Forever,Cults,Cults,Static,79,70,1235490,,2013-10-15,3:43,False,https://open.spotify.com/track/2enPRFda84VE2wtI8c86Uf,spotify:track:2enPRFda84VE2wtI8c86Uf
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,Stephen Sanchez; Em Beihold,Until I Found You (Em Beihold Version),78,75,1848353,,2022-04-22,2:56,False,https://open.spotify.com/track/1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN
Past Lives,BØRNS,BØRNS,Dopamine,69,69,1368303,,2015-10-16,4:34,False,https://open.spotify.com/track/1Dr5JexwA15wmKe7Y7maA9,spotify:track:1Dr5JexwA15wmKe7Y7maA9
rises the moon,Liana Flores,Liana Flores,recently,81,68,669988,,2019-04-10,2:41,False,https://open.spotify.com/track/51Grh1RyUDcMBbpuyUIUHI,spotify:track:51Grh1RyUDcMBbpuyUIUHI
Heart To Heart,Mac DeMarco,Mac DeMarco,Here Comes The Cowboy,82,83,7901077,indie; lo-fi indie,2019-05-10,3:31,False,https://open.spotify.com/track/7EAMXbLcL0qXmciM5SwMh2,spotify:track:7EAMXbLcL0qXmciM5SwMh2
Romantic Homicide,d4vd,d4vd,Romantic Homicide,88,85,4610615,,2022-07-20,2:12,False,https://open.spotify.com/track/1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL
