name,uri,followers,genres,popularity,top_tracks
Henrique & Juliano,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,28536403,sertanejo; sertanejo universitário; arrocha; agronejo,89,Última Saudade - Ao Vivo; Amigo Da Minha Saudade - Ao Vivo; Saudade De Quem Eu Sou - Ao Vivo; Romântico - Ao Vivo; Seja Ex - Ao Vivo; De Trás Pra Frente - Ao Vivo; Aquela Pessoa - Ao Vivo; Xonei; Como É Que A Gente Fica - Ao Vivo; Meu Amor - Ao Vivo
Grupo Menos É Mais,spotify:artist:6vTqEFbTtTRJsuIpzZgjxi,5297407,pagode; samba,85,P do Pecado - Ao Vivo; Coração Partido (Corazón Partío) - Ao Vivo; Grau de Maluca - Ao Vivo; Aquele Lugar - Ao Vivo; Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo); Nada Com Nada - Ao Vivo; Lapada Dela - Ao Vivo; Adorei; Vitamina C - Ao Vivo; Jejum de Amor / Caixa Postal / Vida Vazia - Ao Vivo
Jorge & Mateus,spotify:artist:1elUiq4X7pxej6FRlrEzjM,23338340,sertanejo; sertanejo universitário; arrocha; agronejo,84,"Cantada Boba - Ao Vivo; Xonei; Logo Eu; Tem Amor, Tem Volta - Ao Vivo; A Grama do Vizinho - Ao Vivo; Anti Amor - Ao Vivo; Marca Evidente; Haverá Sinais - Ao Vivo; Amo Noite E Dia - Live In Sao Paulo / 2010; Pra Sempre Com Você - Ao Vivo"
MC Ryan SP,spotify:artist:75i9GaW2MJUgt4BkdUnuUY,7297967,funk; funk consciente; brazilian funk; trap funk; brazilian trap,84,Ta Rico Os Menino Do Gueto 🍀; Sexta Feira Hoje Tem; Feliz no Simples 🍀; 365 Dias (Vida Mansa); Contagem Regressiva; Let's Go 4; Melhor Vibe; Toma Que Toma; Sereia; Set Dj Gm 6.0
Veigh,spotify:artist:4YqwRbMLqGHRHLS1w2ZKse,5944058,brazilian trap; trap; trap funk; brazilian hip hop,83,Artista Genérico; Talvez você precise de mim; Mônaco Freestyle; Taylor; Imagina esse Cenário; Ausência; Hiperfoco; Belieber; CONFISSÕES PT2; Engana Dizendo Que Ama
Zé Neto & Cristiano,spotify:artist:487N2T9nIPEHrlTZLL3SQs,22235068,sertanejo; sertanejo universitário; arrocha; agronejo,83,Escondendo o Ouro - Ao Vivo; Veneno - Ao Vivo; Resumindo - Ao Vivo; Notificação Preferida - Ao Vivo; Pulando o Muro - Ao Vivo; Largado Às Traças - Ao Vivo; Barulho Do Foguete - Ao Vivo; Deu Moral - Ao Vivo; Vai Cair Água - Ao Vivo; Amigo Taxista
Mc IG,spotify:artist:2q9wk5fkeU2C9CgCKdh4AN,10138121,funk; funk consciente; brazilian funk; trap funk,82,Ta Rico Os Menino Do Gueto 🍀; Sexta Feira Hoje Tem; Feliz no Simples 🍀; Contagem Regressiva; 400K; 3 Dias Virado; Let's Go 4; Não Vou Me Comprometer 🍀; Chapa do Chatão; Noite Fria
Supernova Ent,spotify:artist:3prRKGJz16RRMRSIM97nHw,237269,brazilian trap; trap; trap funk; brazilian hip hop,82,Artista Genérico; Talvez você precise de mim; Mônaco Freestyle; Taylor; Ausência; Hiperfoco; Belieber; CONFISSÕES PT2; Engana Dizendo Que Ama; Novo Balanço
Matheus & Kauan,spotify:artist:2Z0lRIqr997lIUiPtrpKCr,12503286,sertanejo; sertanejo universitário; arrocha; agronejo,81,Ilusão De Ótica - Ao Vivo; Cronômetro - Ao Vivo; Quarta Cadeira - Ao Vivo; Vou Ter Que Superar - Ao Vivo; Triplex - Ao Vivo; Nessas Horas - Ao Vivo; Que Sorte A Nossa - Ao Vivo; Decide Aí - Na Praia / Ao Vivo; A Chance É Grande - Ao Vivo; Carona - Ao Vivo
Ana Castela,spotify:artist:2CKOmarVWvWqkNWUatHCex,9145074,sertanejo; agronejo; sertanejo universitário; piseiro,81,Ilusão De Ótica - Ao Vivo; Olha Onde Eu Tô; Princesa - Ao Vivo; Rodeio no Texas 🐂; Peça Íntima; Sem Você; Foi Intenso - Ao Vivo; Canudinho - Ao Vivo; Fronteira - Ao Vivo; Nosso Quadro
