track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Última Saudade - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / Vol.1),79,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2024-12-13,2:30,False,https://open.spotify.com/track/4y93vvzu2h8MITw7YyUTcI,spotify:track:4y93vvzu2h8MITw7YyUTcI
Saudade De Quem Eu Sou - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo),79,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2025-06-27,2:33,False,https://open.spotify.com/track/7tesyGMnAFNI0l2xaxcFKi,spotify:track:7tesyGMnAFNI0l2xaxcFKi
Seja Ex - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / Vol.1),78,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2024-12-13,3:12,False,https://open.spotify.com/track/5k7JSycp97vL45zSOoUsTE,spotify:track:5k7JSycp97vL45zSOoUsTE
Amigo Da Minha Saudade - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / Vol.1),80,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2024-12-13,2:30,False,https://open.spotify.com/track/07kLShG3HTeLXTqnFCqNAJ,spotify:track:07kLShG3HTeLXTqnFCqNAJ
Romântico - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / Vol.1),76,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2024-12-13,3:03,False,https://open.spotify.com/track/708yXS1fLm1gAXFyIQxtX2,spotify:track:708yXS1fLm1gAXFyIQxtX2
De Trás Pra Frente - Ao Vivo,Henrique & Juliano,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),76,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2017-07-07,2:43,False,https://open.spotify.com/track/6Tp4LCJ5r5IJaEf8lnlPfG,spotify:track:6Tp4LCJ5r5IJaEf8lnlPfG
Aquela Pessoa - Ao Vivo,Henrique & Juliano,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),76,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2017-07-07,2:46,False,https://open.spotify.com/track/5asabafNzfAzjUecDvuNES,spotify:track:5asabafNzfAzjUecDvuNES
Como É Que A Gente Fica - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Novas Histórias (Ao Vivo),74,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2016-03-18,2:43,False,https://open.spotify.com/track/0zxWyvrKyz031tFfBnkYLr,spotify:track:0zxWyvrKyz031tFfBnkYLr
Meu Amor - Ao Vivo,Henrique & Juliano,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),75,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2017-07-07,2:54,False,https://open.spotify.com/track/3eHeTsX6W9iIEfn8l2xrWO,spotify:track:3eHeTsX6W9iIEfn8l2xrWO
Briga Feia - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Ao Vivo No Ibirapuera,75,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2020-05-15,3:14,False,https://open.spotify.com/track/7bukHRNgGLRySTJEVvLoIR,spotify:track:7bukHRNgGLRySTJEVvLoIR
P do Pecado - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; Simone Mendes,P do Pecado (Ao Vivo),86,87,5759303,pagode; samba,2025-04-29,3:12,False,https://open.spotify.com/track/7EknynLJTt9YMm1HL37s5D,spotify:track:7EknynLJTt9YMm1HL37s5D
Pela Última Vez - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; NATTAN,Pela Última Vez (Ao Vivo),82,87,5759303,pagode; samba,2025-08-20,2:42,False,https://open.spotify.com/track/4bxyHku6rNffRealVxu30p,spotify:track:4bxyHku6rNffRealVxu30p
Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais,Coração Partido (Corazón Partío) [Ao Vivo],77,87,5759303,pagode; samba,2024-08-29,3:15,False,https://open.spotify.com/track/1YlfGwNizEKy299l1PVggn,spotify:track:1YlfGwNizEKy299l1PVggn
Grau de Maluca - Ao Vivo,Guilherme & Benuto,Guilherme & Benuto; Grupo Menos É Mais; Matheus Fernandes,"+ Amor, + Música Vol. 3 (Ao Vivo)",80,74,2011647,sertanejo; sertanejo universitário; agronejo; arrocha; piseiro,2025-07-03,2:52,False,https://open.spotify.com/track/4W9nFl732s6NdToGaCfiSl,spotify:track:4W9nFl732s6NdToGaCfiSl
Aquele Lugar - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais,MOLHO (Ao Vivo),79,87,5759303,pagode; samba,2025-02-13,2:47,False,https://open.spotify.com/track/0pGsxpkJC9IwK93fmqEYXn,spotify:track:0pGsxpkJC9IwK93fmqEYXn
Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),Turma do Pagode,Turma do Pagode; Grupo Menos É Mais,Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo),69,74,3855933,pagode; samba,2021-01-28,3:36,False,https://open.spotify.com/track/5A4DlgM68SnFSKImnMeiUH,spotify:track:5A4DlgM68SnFSKImnMeiUH
Lapada Dela - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; Matheus Fernandes,Confia (Ao Vivo),77,87,5759303,pagode; samba,2023-01-20,2:39,False,https://open.spotify.com/track/4f0aDk7HX37SfzerfznYlr,spotify:track:4f0aDk7HX37SfzerfznYlr
Adorei,Grupo Menos É Mais,Grupo Menos É Mais,Plano Piloto,76,87,5759303,pagode; samba,2021-03-12,2:59,False,https://open.spotify.com/track/1jweGFaVZxEVrOHKsLpPY4,spotify:track:1jweGFaVZxEVrOHKsLpPY4
Nada Com Nada - Ao Vivo,Gustavo Mioto,Gustavo Mioto; Grupo Menos É Mais,Atemporal (Ao Vivo),71,76,7123159,sertanejo; sertanejo universitário; arrocha; agronejo,2025-05-30,2:41,False,https://open.spotify.com/track/4PiA2gsPjf5jD1zlv1DeyH,spotify:track:4PiA2gsPjf5jD1zlv1DeyH
Jejum de Amor / Caixa Postal / Vida Vazia - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais,Churrasquinho 3 (Ao Vivo),76,87,5759303,pagode; samba,2024-11-14,5:11,False,https://open.spotify.com/track/2je7f5dovpUabOqTSfyD5V,spotify:track:2je7f5dovpUabOqTSfyD5V
Cantada Boba - Ao Vivo,Jorge & Mateus,Jorge & Mateus,Check-In (Ao Vivo),78,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2024-11-07,3:03,False,https://open.spotify.com/track/2gfn28JSINCJGLrUimmu0l,spotify:track:2gfn28JSINCJGLrUimmu0l
Logo Eu,Jorge & Mateus,Jorge & Mateus,Os Anjos Cantam,75,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2015-03-23,2:35,False,https://open.spotify.com/track/2655xYZ347fG2N6OjkoMQ8,spotify:track:2655xYZ347fG2N6OjkoMQ8
A Grama do Vizinho - Ao Vivo,Bruno Rosa,Bruno Rosa; Jorge & Mateus,"Evolução, Vol. 1 (Ao Vivo)",72,63,98743,sertanejo; sertanejo universitário,2025-06-26,3:00,False,https://open.spotify.com/track/4gBLQeJrre7DklMZIaPXPd,spotify:track:4gBLQeJrre7DklMZIaPXPd
Xonei,Jorge & Mateus,Jorge & Mateus; Henrique & Juliano,Xonei,70,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2024-08-15,2:34,False,https://open.spotify.com/track/5sKGmZDmkGwFed5dPpZpZL,spotify:track:5sKGmZDmkGwFed5dPpZpZL
Marca Evidente - Ao Vivo,Israel & Rodolffo,Israel & Rodolffo; Jorge & Mateus,Marca Evidente,72,72,3604337,sertanejo; sertanejo universitário; agronejo; piseiro; arrocha,2012,3:10,False,https://open.spotify.com/track/3aDV90V6vHUSYKKYDLNdQ8,spotify:track:3aDV90V6vHUSYKKYDLNdQ8
"Tem Amor, Tem Volta - Ao Vivo",Jorge & Mateus,Jorge & Mateus,Check-In (Ao Vivo),71,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2024-11-07,2:22,False,https://open.spotify.com/track/6C5EczmaeIUmf1pTYux9f1,spotify:track:6C5EczmaeIUmf1pTYux9f1
Anti Amor - Ao Vivo,Gustavo Mioto,Gustavo Mioto; Jorge & Mateus,Gustavo Mioto Ao Vivo Em São Paulo,70,76,7123159,sertanejo; sertanejo universitário; arrocha; agronejo,2017,2:45,False,https://open.spotify.com/track/3zlU0V45H1FcjZeGEVt8ih,spotify:track:3zlU0V45H1FcjZeGEVt8ih
Haverá Sinais - Ao Vivo,Jorge & Mateus,Jorge & Mateus; Lauana Prado,Haverá Sinais (Ao Vivo),67,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2024-02-14,3:11,False,https://open.spotify.com/track/6X6jKoyw1OjogRghMEQAZV,spotify:track:6X6jKoyw1OjogRghMEQAZV
Pra Sempre Com Você - Ao Vivo,Jorge & Mateus,Jorge & Mateus,Como. Sempre Feito. Nunca (Ao Vivo),70,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2016-02-19,3:27,False,https://open.spotify.com/track/2KGv51jgAz8OTjNPyRryfq,spotify:track:2KGv51jgAz8OTjNPyRryfq
Amo Noite E Dia - Live In Sao Paulo / 2010,Jorge & Mateus,Jorge & Mateus,Aí Já Era...,69,84,23833180,sertanejo; sertanejo universitário; arrocha; agronejo,2010-01-01,3:03,False,https://open.spotify.com/track/2077eHXxwRgxDhEBtJV0wD,spotify:track:2077eHXxwRgxDhEBtJV0wD
Escondendo o Ouro - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Magia das Estrelas, Vol. 1 (Ao Vivo)",82,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2025-05-22,2:51,False,https://open.spotify.com/track/0IBCX7PC9NcfFLuyoHxTNt,spotify:track:0IBCX7PC9NcfFLuyoHxTNt
Veneno - Ao Vivo,Murilo Huff,Murilo Huff; Zé Neto & Cristiano,Veneno (Ao Vivo),76,79,2443831,sertanejo; sertanejo universitário; arrocha; agronejo,2025-03-13,2:58,False,https://open.spotify.com/track/2tUIRX4wK0COoKEorOdEpZ,spotify:track:2tUIRX4wK0COoKEorOdEpZ
Vai Cair Água - Ao Vivo,Diego & Arnaldo,Diego & Arnaldo; Zé Neto & Cristiano,Vai Cair Água (Ao Vivo),77,69,1520996,sertanejo; sertanejo universitário; agronejo,2025-06-20,2:30,False,https://open.spotify.com/track/1Vsh9frTSsEwqwcbvZpItT,spotify:track:1Vsh9frTSsEwqwcbvZpItT
Resumindo - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Magia das Estrelas, Vol. 1 (Ao Vivo)",78,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2025-05-22,2:25,False,https://open.spotify.com/track/6vGZfODFI1FxMImSUbdJhz,spotify:track:6vGZfODFI1FxMImSUbdJhz
Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,Esquece o Mundo Lá Fora (Ao Vivo | Deluxe),76,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2018-07-13,3:02,False,https://open.spotify.com/track/3tA0vALUwrzkTgHcm9j6oJ,spotify:track:3tA0vALUwrzkTgHcm9j6oJ
Dubai - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Magia das Estrelas, Vol. 2 (Ao Vivo)",73,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2025-08-14,3:03,False,https://open.spotify.com/track/4OC93ORgqsUsio3xgAdLHP,spotify:track:4OC93ORgqsUsio3xgAdLHP
Pulando o Muro - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Intenso, Vol. 3 (Ao Vivo)",74,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2024-08-29,2:32,False,https://open.spotify.com/track/0KDxhAvKeiVFL1bZccQVJs,spotify:track:0KDxhAvKeiVFL1bZccQVJs
Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,Esquece o Mundo Lá Fora (Ao Vivo | Deluxe),73,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2018-07-13,3:54,False,https://open.spotify.com/track/371Up3WP7OqJNFPf0BiyUe,spotify:track:371Up3WP7OqJNFPf0BiyUe
Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Escolhas, Vol. 2 (Ao Vivo)",72,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2023-06-22,2:13,False,https://open.spotify.com/track/42JNab8NPeCADJ9D3Cl5wS,spotify:track:42JNab8NPeCADJ9D3Cl5wS
Bebida Na Ferida - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,Esquece o Mundo Lá Fora (Ao Vivo | Deluxe),71,83,22528264,sertanejo; sertanejo universitário; arrocha; agronejo,2018-07-13,3:19,False,https://open.spotify.com/track/50YbE5MrvSu8Fz6A2dgTZ8,spotify:track:50YbE5MrvSu8Fz6A2dgTZ8
Ilusão De Ótica - Ao Vivo,Matheus & Kauan,Matheus & Kauan; Ana Castela,Ilusão De Ótica (Ao Vivo),77,82,12809751,sertanejo; sertanejo universitário; arrocha; agronejo,2025-01-22,2:59,False,https://open.spotify.com/track/3Bn5vG7vienkREO35aoaKK,spotify:track:3Bn5vG7vienkREO35aoaKK
Cronômetro - Ao Vivo,Matheus & Kauan,Matheus & Kauan,Praiou (Ao Vivo / Vol.3),76,82,12809751,sertanejo; sertanejo universitário; arrocha; agronejo,2024-07-05,2:45,False,https://open.spotify.com/track/7pkpWcko6KEZANj0xKsCsu,spotify:track:7pkpWcko6KEZANj0xKsCsu
Quarta Cadeira - Ao Vivo,Matheus & Kauan,Matheus & Kauan; Jorge & Mateus,Tem Moda Pra Tudo (Ao Vivo),75,82,12809751,sertanejo; sertanejo universitário; arrocha; agronejo,2019-03-22,3:44,False,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn
Vou Ter Que Superar - Ao Vivo,Matheus & Kauan,Matheus & Kauan; Marília Mendonça,Tem Moda Pra Tudo (Ao Vivo),74,82,12809751,sertanejo; sertanejo universitário; arrocha; agronejo,2019-03-22,3:09,False,https://open.spotify.com/track/6sRLrSetyIwIKhW1eMlUNP,spotify:track:6sRLrSetyIwIKhW1eMlUNP
