name,uri,followers,genres,popularity,top_tracks
Henrique & Juliano,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,29426003,sertanejo; sertanejo universitário; arrocha; agronejo,89,Última Saudade - Ao Vivo; Saudade De Quem Eu Sou - Ao Vivo; Seja Ex - Ao Vivo; Amigo Da Minha Saudade - Ao Vivo; Romântico - Ao Vivo; De Trás Pra Frente - Ao Vivo; Aquela Pessoa - Ao Vivo; Como É Que A Gente Fica - Ao Vivo; Meu Amor - Ao Vivo; Briga Feia - Ao Vivo
Grupo Menos É Mais,spotify:artist:6vTqEFbTtTRJsuIpzZgjxi,5719937,pagode; samba,87,P do Pecado - Ao Vivo; Pela Última Vez - Ao Vivo; Coração Partido (Corazón Partío) - Ao Vivo; Grau de Maluca - Ao Vivo; Aquele Lugar - Ao Vivo; Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo); Lapada Dela - Ao Vivo; Adorei; Nada Com Nada - Ao Vivo; Jejum de Amor / Caixa Postal / Vida Vazia - Ao Vivo
Jorge & Mateus,spotify:artist:1elUiq4X7pxej6FRlrEzjM,23790520,sertanejo; sertanejo universitário; arrocha; agronejo,84,"Cantada Boba - Ao Vivo; Logo Eu; A Grama do Vizinho - Ao Vivo; Xonei; Marca Evidente; Tem Amor, Tem Volta - Ao Vivo; Anti Amor - Ao Vivo; Haverá Sinais - Ao Vivo; Pra Sempre Com Você - Ao Vivo; Amo Noite E Dia - Live In Sao Paulo / 2010"
Zé Neto & Cristiano,spotify:artist:487N2T9nIPEHrlTZLL3SQs,22503705,sertanejo; sertanejo universitário; arrocha; agronejo,83,Escondendo o Ouro - Ao Vivo; Veneno - Ao Vivo; Vai Cair Água - Ao Vivo; Resumindo - Ao Vivo; Notificação Preferida - Ao Vivo; Dubai - Ao Vivo; Pulando o Muro - Ao Vivo; Largado Às Traças - Ao Vivo; Barulho Do Foguete - Ao Vivo; Bebida Na Ferida - Ao Vivo
Matheus & Kauan,spotify:artist:2Z0lRIqr997lIUiPtrpKCr,12787168,sertanejo; sertanejo universitário; arrocha; agronejo,82,Ilusão De Ótica - Ao Vivo; Cronômetro - Ao Vivo; Quarta Cadeira - Ao Vivo; Vou Ter Que Superar - Ao Vivo; Triplex - Ao Vivo; Todo Sol - Ao Vivo; Que Sorte A Nossa - Ao Vivo; Nessas Horas - Ao Vivo; Decide Aí - Na Praia / Ao Vivo; A Nossa Praia - Ao Vivo
Gusttavo Lima,spotify:artist:7MiDcPa6UiV3In7lIM71IN,23252055,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,82,Retrovisor; Pelo Bem da Minha Saudade; Balada - Ao Vivo; Saudade e Cabelos Brancos; Sofro e Não Nego; Proibido Terminar - Ao Vivo; Medida Protetiva - Ao Vivo; Culpa; Canudinho - Ao Vivo; A Noite (La Notte) - Ao Vivo
Mc IG,spotify:artist:2q9wk5fkeU2C9CgCKdh4AN,10656218,brazilian funk; trap funk; funk consciente,82,Ta Rico Os Menino Do Gueto 🍀; Pé na Areia; Sexta Feira Hoje Tem; Feliz no Simples 🍀; 3 Dias Virado; Contagem Regressiva; 400K; Let's Go 4; Jacob & Co.; Noite Fria
Mc Gw,spotify:artist:0f1IECbrVV952unZkzrsg2,1595213,phonk; brazilian phonk; brazilian funk; funk carioca,81,SEQUÊNCIA FEITICEIRA; MEGA YOU WILL SEE; Até Quebrar a Cama 2.0; Sequência da Botação; ACIDO; MONTAGEM - PR FUNK; SEQUÊNCIA STRIPTEASE; Vem Novinha pro Cafofo; Cachorrinha de Madame; BOTA UM FUNK
Mc Rodrigo do CN,spotify:artist:54bV1pHNm5h5EcEgMis1RC,284337,brazilian funk; funk de bh; funk carioca,81,FAMOSINHA; SEQUÊNCIA FEITICEIRA; VAI NO CHÃO BANDIDA; Meu Carro nao tem Porta Luva - Remastered 2024; Oh Garota Eu Quero Você Só Pra Mim.; Tipo Nino Abravanel; Construção de Amor; Teu Preferido; Cada Vez Mais Gostosa; Ela Quer Sentar Pros Maloka
Simone Mendes,spotify:artist:2eK9gcJQ6uqVvJL63dnOM3,3650938,sertanejo; sertanejo universitário; forró; piseiro; pagode; agronejo; arrocha,81,P do Pecado - Ao Vivo; Saudade Burra - Ao Vivo; Saudade Proibida - Ao Vivo; Me Ama Ou Me Larga - Ao Vivo; Erro Gostoso - Ao Vivo; Dois Tristes - Ao Vivo; Eu Menti - Ao Vivo; Mulher Foda - Ao Vivo; Dois Fugitivos - Ao Vivo; Daqui pra Sempre
Ana Castela,spotify:artist:2CKOmarVWvWqkNWUatHCex,9327015,sertanejo; agronejo; sertanejo universitário; piseiro,81,Ilusão De Ótica - Ao Vivo; Olha Onde Eu Tô; Todo Mundo Menos Eu - Ao Vivo; Princesa - Ao Vivo; Rodeio no Texas 🐂; Peça Íntima; Sem Você; Sigo Sofrendo - Ao Vivo; Nosso Quadro; Foi Intenso - Ao Vivo
Veigh,spotify:artist:4YqwRbMLqGHRHLS1w2ZKse,6148377,brazilian trap; trap funk; trap; brazilian hip hop,81,Artista Genérico; Talvez você precise de mim; Imagina esse Cenário; Mônaco Freestyle; Novo Balanço; Engana Dizendo Que Ama; CONFISSÕES PT2; Taylor; Ballena; Loucura
