track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Coppelia: Act I - Valse,Léo Delibes,Léo Delibes; Slovak Radio Symphony Orchestra; Andrew Mogrelia,Delibes: Coppelia (Complete Ballet) / La Source Suites,50,55,69430,classical; opera,1995-12-13,2:21,False,https://open.spotify.com/track/03xxnNXmK7lJjW9hV2ldn8,spotify:track:03xxnNXmK7lJjW9hV2ldn8
Junjiro (Little Tanuki) - Mondo Loops Remix,Lofi Girl,Lofi Girl; Assassin's Creed; Mondo Loops,Lofi Girl x Assassin's Creed Shadows - stealthy beats to relax to,55,65,194049,lo-fi,2025-03-26,2:15,False,https://open.spotify.com/track/6lyVunXcysd1AMWhwsnNYs,spotify:track:6lyVunXcysd1AMWhwsnNYs
Amongst the Shells,Kurt Stewart,Kurt Stewart; Lomme,Beach Cat,47,53,3979,lo-fi hip hop; lo-fi; lo-fi beats,2025-07-15,2:21,False,https://open.spotify.com/track/6bkAZYzzChYhwWT7RS8CqG,spotify:track:6bkAZYzzChYhwWT7RS8CqG
Last Dream,Sarklaz,Sarklaz,Last Dream,50,35,4046,,2024-02-16,3:50,False,https://open.spotify.com/track/4syxTx96g4iaHVUrpZo3np,spotify:track:4syxTx96g4iaHVUrpZo3np
Soul of Serenity,Fya Playce,Fya Playce,Soul of Serenity,39,52,626,lo-fi beats; lo-fi,2023-09-17,2:12,False,https://open.spotify.com/track/4baez3KIhzdnOIhyS4TNeG,spotify:track:4baez3KIhzdnOIhyS4TNeG
The Alchemy,Taylor Swift,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,71,100,143779242,,2024-04-19,3:16,False,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ,spotify:track:1tuNqJOtRQVHvONR8Lg3MZ
pick you up when you're down,Lenny Loops,Lenny Loops; Dontcry,quiet moon,48,58,4401,lo-fi; lo-fi hip hop; lo-fi beats,2025-03-21,2:20,False,https://open.spotify.com/track/6h2UIm7wap9m3na6Kk3HrQ,spotify:track:6h2UIm7wap9m3na6Kk3HrQ
Radiance,Christopher Larkin,Christopher Larkin,Hollow Knight (Original Soundtrack),52,72,164997,soundtrack,2017-02-10,2:17,False,https://open.spotify.com/track/1ygjvLVwydBF164HQsv2QD,spotify:track:1ygjvLVwydBF164HQsv2QD
homesick,wave to earth,wave to earth,0.1 flaws and all.,70,76,4853323,,2023-04-20,5:06,False,https://open.spotify.com/track/2FZIabCRMEWAYfN69Ijn1U,spotify:track:2FZIabCRMEWAYfN69Ijn1U
Habitat,Pedro Santos,Pedro Santos; Kiaz; Tru3 Beats; Koé,Habitat,25,13,1057,,2025-09-05,3:20,False,https://open.spotify.com/track/32UqwIoHVj6XuLn8VAxpfu,spotify:track:32UqwIoHVj6XuLn8VAxpfu
Cinnamon Rolls,Mujo,Mujo,Hypnotic Hills,44,58,30837,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,2023-08-18,1:26,False,https://open.spotify.com/track/2pv9LnCIWagAwA1AsK0zG2,spotify:track:2pv9LnCIWagAwA1AsK0zG2
Should I Stay or Should I Go - Remastered,The Clash,The Clash,Combat Rock (Remastered),79,72,3142616,punk,1982,3:08,False,https://open.spotify.com/track/39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz
The Shire,Howard Shore,Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,64,70,496480,soundtrack,2001,2:29,False,https://open.spotify.com/track/6zW80jVqLtgSF1yCtGHiiD,spotify:track:6zW80jVqLtgSF1yCtGHiiD
Suavemente,Elvis Crespo,Elvis Crespo,Suavemente,71,69,1219686,merengue; latin dance; salsa; latin,1998-02-27,4:27,False,https://open.spotify.com/track/7JIjUx3GsL0upxmNJacmtz,spotify:track:7JIjUx3GsL0upxmNJacmtz
1AM FREESTYLE,Joji,Joji,SMITHEREENS,62,81,10400714,,2022-11-04,1:53,False,https://open.spotify.com/track/7EAQfy8KYXbx2UqNF4envA,spotify:track:7EAQfy8KYXbx2UqNF4envA
Na Hora Da Raiva - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Novas Histórias (Ao Vivo / Deluxe),66,89,29510223,sertanejo; sertanejo universitário; arrocha; agronejo,2016-11-11,2:54,False,https://open.spotify.com/track/0RXnXOh54K7pzfx02TCyuX,spotify:track:0RXnXOh54K7pzfx02TCyuX
When I Close My Eyes,SLEEP CLUB,SLEEP CLUB,When I Close My Eyes,48,35,2030,shoegaze,2025-03-17,2:50,False,https://open.spotify.com/track/2Lfs1JV7HkKDN07hoOJSaU,spotify:track:2Lfs1JV7HkKDN07hoOJSaU
Mujinas Ramen Shop,Flitz&Suppe,Flitz&Suppe; Mr. Käfer,Yokai,56,53,26248,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats; jazz rap,2020-07-07,2:41,False,https://open.spotify.com/track/5xyhG7nGl3A8pvFFCEbTdl,spotify:track:5xyhG7nGl3A8pvFFCEbTdl
Warm Colours,Osaki,Osaki; Sleepermane,Evergarden,51,49,7186,lo-fi; lo-fi hip hop,2022-07-25,2:10,False,https://open.spotify.com/track/1RHFPBrrYP93UYSQo0865S,spotify:track:1RHFPBrrYP93UYSQo0865S
Skyfloat,Mr. Käfer,Mr. Käfer,Skyfloat,49,55,12247,lo-fi hip hop; lo-fi beats; lo-fi; jazz beats; jazz rap,2025-04-04,2:18,False,https://open.spotify.com/track/2LUKL6s5pRci7b33Kbx18V,spotify:track:2LUKL6s5pRci7b33Kbx18V
in_the_dark.ech,Bring Me The Horizon,Bring Me The Horizon; Kanisan,Lo-files,54,81,6588172,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:08,False,https://open.spotify.com/track/78mP1BhsKkinyPyFK0whIF,spotify:track:78mP1BhsKkinyPyFK0whIF
Afterglow,Taylor Swift,Taylor Swift,Lover,74,100,143779242,,2019-08-23,3:43,False,https://open.spotify.com/track/1SymEzIT3H8UZfibCs3TYi,spotify:track:1SymEzIT3H8UZfibCs3TYi
Float On,The Floaters,The Floaters,Music For Groovin',40,42,52561,classic soul,2007-01-01,4:10,False,https://open.spotify.com/track/0i38ukkDaXt4bCP0osIbz0,spotify:track:0i38ukkDaXt4bCP0osIbz0
Old Feelings,slowburn,slowburn,Old Feelings,52,57,4275,lo-fi,2023-12-07,2:16,False,https://open.spotify.com/track/5NV5hADD7crqBoNIQ5mPr8,spotify:track:5NV5hADD7crqBoNIQ5mPr8
Garden Of Eden,Lady Gaga,Lady Gaga,MAYHEM,76,93,41616750,art pop; pop,2025-03-07,3:59,False,https://open.spotify.com/track/4mUR5Tv0CvJtpmnUtzeIgd,spotify:track:4mUR5Tv0CvJtpmnUtzeIgd
Daybreak,Robin Carolan,Robin Carolan,Nosferatu (Original Motion Picture Soundtrack),34,42,6685,,2024-11-22,8:01,False,https://open.spotify.com/track/4S8FUjOCxiBtNXNTkDFwR1,spotify:track:4S8FUjOCxiBtNXNTkDFwR1
"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",Edvard Grieg,Edvard Grieg; Berliner Philharmoniker; Herbert von Karajan,Grieg: Peer Gynt Suites / Sibelius: Valse triste,60,65,570337,classical; orchestral,1993-01-01,4:13,False,https://open.spotify.com/track/0awWxz7WRKdSpU9RVZ5PVK,spotify:track:0awWxz7WRKdSpU9RVZ5PVK
Days Past,WanderLight,WanderLight,Days Past,52,46,1952,jazz beats; lo-fi; lo-fi beats,2025-01-10,2:09,False,https://open.spotify.com/track/4Brvu4N2Vwpi3ookEP1OVy,spotify:track:4Brvu4N2Vwpi3ookEP1OVy
Almost There,Anika Noni Rose,Anika Noni Rose,The Princess and the Frog (Original Motion Picture Soundtrack),60,57,42317,,2009-11-23,2:24,False,https://open.spotify.com/track/2GLyruWagsv8o7aGNXboH1,spotify:track:2GLyruWagsv8o7aGNXboH1
