track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Posso Até Não Te Dar Flores,DJ Japa NK,DJ Japa NK; MC Meno K; MC Ryan SP; Mc Jacaré; DJ DAVI DOGDOG,Posso Até Não Te Dar Flores,91,84,569041,brazilian funk; trap funk; funk consciente,2025-09-11,2:38,True,https://open.spotify.com/track/4G7bbgD2DHORU4frrWoCXp,spotify:track:4G7bbgD2DHORU4frrWoCXp,234388,4306234,brazil; brasil; brazilian,,,,100,,,Person,male,211668,2414602,funk; portuguese; brazilian; brazilian funk,lastfm+mb
JETSKI,PEDRO SAMPAIO,PEDRO SAMPAIO; MC Meno K; Melody,JETSKI,87,80,3256030,brazilian funk; funk pop; funk carioca; brazilian pop; brega funk,2025-12-18,2:28,True,https://open.spotify.com/track/3jhyw60F61gc7nC4dblqtC,spotify:track:3jhyw60F61gc7nC4dblqtC,577031,31571523,brazilian; funk; melody; brazil; pop,BR,Brazil,funk; pop; latin,100,1997,,Person,male,233325,2857993,,lastfm+mb
SET DO JAPA NK 2.0,DJ Japa NK,DJ Japa NK; MC Ryan SP; MC Meno K; Mc IG; MC LUUKY; Mc Jacaré; Mc Rodrigo do CN; MC GH do 7; Mc Lele JP; MC Jvila; Oruam,SET DO JAPA NK 2.0,86,84,569041,brazilian funk; trap funk; funk consciente,2025-11-20,8:38,True,https://open.spotify.com/track/1JZDwJgE9VSC0V2GR66z63,spotify:track:1JZDwJgE9VSC0V2GR66z63,234388,4306234,brazil; brasil; brazilian,,,,100,,,Person,male,43377,164848,,lastfm+mb
Eu Me Apaixonei,Vitinho Imperador,Vitinho Imperador,Eu Me Apaixonei,86,71,528240,piseiro; forró; arrocha; brega; sertanejo; seresta,2025-02-27,3:25,False,https://open.spotify.com/track/4SjcIkVc4cvFgURD1EHxDM,spotify:track:4SjcIkVc4cvFgURD1EHxDM,109431,770450,brazil,,,,100,,,,,75481,391928,,lastfm+mb
Amo Minha Favela,DJ Japa NK,DJ Japa NK; MC Meno K,Amo Minha Favela,85,84,569041,brazilian funk; trap funk; funk consciente,2025-12-11,1:59,True,https://open.spotify.com/track/4S1SaaCxQ87nXpA2EfYFj4,spotify:track:4S1SaaCxQ87nXpA2EfYFj4,234388,4306234,brazil; brasil; brazilian,,,,100,,,Person,male,108339,637894,,lastfm+mb
Vagabundo,Gusttavo Lima,Gusttavo Lima; Luis Fonsi,Vagabundo,85,84,23760736,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,2025-12-09,3:27,False,https://open.spotify.com/track/1mnMkTvrPi4iTblXaRvOoi,spotify:track:1mnMkTvrPi4iTblXaRvOoi,567082,16154628,sertanejo; pop; male vocalists; Sertanejo Universitario; brazilian,BR,Brazil,sertanejo; latin; singer-songwriter; sertanejo universitário,100,1989,,Person,male,29030,216528,,lastfm+mb
São Paulo (feat. Anitta),The Weeknd,The Weeknd; Anitta,Hurry Up Tomorrow,85,96,117805011,,2025-01-31,5:01,True,https://open.spotify.com/track/7DY756WOLyOz2Xnhw4EFiC,spotify:track:7DY756WOLyOz2Xnhw4EFiC,5318620,1123047548,rnb; electronic; dubstep; Canadian; prog-rnb,CA,Canada,pop; synth-pop; rnb; dance-pop; hypnagogic pop,100,1990,,Person,male,793991,12941234,funk; brazilian funk; phonk; funk mandelao; brazilian phonk,lastfm+mb
Deixa Eu - Ao Vivo,Murilo Huff,Murilo Huff,Acústico (Ao Vivo),85,78,2687871,sertanejo; sertanejo universitário; arrocha; agronejo,2025-08-14,2:38,False,https://open.spotify.com/track/2Hw0LzrD6ic8AckKBxJhiO,spotify:track:2Hw0LzrD6ic8AckKBxJhiO,217470,13344845,brazil; brazilian; ex da marilia,BR,Brazil,,100,1995,,Person,male,44968,416862,,lastfm+mb
Diário de um Cafajeste,DJ Oreia,DJ Oreia; Mc Lele JP; MC Meno K; MC Ryan SP; MC Tuto; Mc Negão Original,Diário de um Cafajeste,84,76,511959,brazilian funk; funk consciente; trap funk,2025-11-06,5:57,True,https://open.spotify.com/track/6kaWah1Acn1dtNjAy6sm1p,spotify:track:6kaWah1Acn1dtNjAy6sm1p,56335,425476,,,Minas Gerais,,100,,,Person,male,40462,263564,,lastfm+mb
FAMOSINHA,Dj Caio Vieira,Dj Caio Vieira; MC Meno K; Mc Rodrigo do CN,FAMOSINHA,84,68,138294,brazilian funk; funk de bh,2025-02-28,2:13,True,https://open.spotify.com/track/5Nj2UVsxXAvhfYNpcre3al,spotify:track:5Nj2UVsxXAvhfYNpcre3al,258449,2773269,brazil; pop; brasil; brazilian; lixo,PT,Portugal,,100,,,Person,male,228236,1987705,,lastfm+mb
