track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Lucky Us,Juliàn,Juliàn; Hoogway,Lucky Us,60,58,3646,lo-fi; lo-fi beats,2025-12-05,2:05,False,https://open.spotify.com/track/320YmZj1zL3TxjYVl4JQZ1,spotify:track:320YmZj1zL3TxjYVl4JQZ1
Daydream,Hoogway,Hoogway; amies,Daydream,57,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-19,2:55,False,https://open.spotify.com/track/1CjvMJLfD32MguI84cPCIS,spotify:track:1CjvMJLfD32MguI84cPCIS
Explore,Hoogway,Hoogway,Explore,55,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2026-01-08,2:23,False,https://open.spotify.com/track/7yLzGLh1WGEAfpAPvB5wZm,spotify:track:7yLzGLh1WGEAfpAPvB5wZm
Marylou,Hoogway,Hoogway,Marylou,53,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2025-11-20,1:48,False,https://open.spotify.com/track/61BitIMRUVO19fqCbbHnXP,spotify:track:61BitIMRUVO19fqCbbHnXP
A Place I Love,Hoogway,Hoogway,A Place I Love,54,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2024-09-12,2:23,False,https://open.spotify.com/track/5y6vdOkQ5mLBQzRpGhhF0C,spotify:track:5y6vdOkQ5mLBQzRpGhhF0C
Kickflip,Hoogway,Hoogway,Kickflip,36,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-15,2:09,False,https://open.spotify.com/track/4ZWzv2nW8FAtJ47pHALoMa,spotify:track:4ZWzv2nW8FAtJ47pHALoMa
Junjiro (Little Tanuki) - Mondo Loops Remix,Lofi Girl,Lofi Girl; Assassin's Creed; Mondo Loops,Lofi Girl x Assassin's Creed Shadows - stealthy beats to relax to,58,62,233732,lo-fi,2025-03-26,2:15,False,https://open.spotify.com/track/6lyVunXcysd1AMWhwsnNYs,spotify:track:6lyVunXcysd1AMWhwsnNYs
Hideaway,softy,softy; Mondo Loops,Distant Images,55,65,36405,lo-fi hip hop; lo-fi; lo-fi beats,2021-04-02,2:35,False,https://open.spotify.com/track/08m0YoV54Sdo2qdFD1HX8L,spotify:track:08m0YoV54Sdo2qdFD1HX8L
Visions In The Swamp,Mondo Loops,Mondo Loops,Forest Kingdom,55,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,2022-08-15,2:17,False,https://open.spotify.com/track/6bEIYOm0n3xsFtQ1V29ZPh,spotify:track:6bEIYOm0n3xsFtQ1V29ZPh
Dropouts,Mondo Loops,Mondo Loops; Towerz,Dropouts,35,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-15,2:27,False,https://open.spotify.com/track/6ayj6MJr2beVbo5DVUrIPt,spotify:track:6ayj6MJr2beVbo5DVUrIPt
Enma,Dimension 32,Dimension 32; Mondo Loops,Desolation,54,57,10736,lo-fi; lo-fi hip hop; lo-fi beats,2024-04-29,2:24,False,https://open.spotify.com/track/6lZ5sSdsrCx5jT3E1a0ZHd,spotify:track:6lZ5sSdsrCx5jT3E1a0ZHd
The Last Train,Mondo Loops,Mondo Loops; L.Dre,The Last Train,53,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,2025-09-19,1:56,False,https://open.spotify.com/track/0IzTSNSWtKPlA0tORo7rIh,spotify:track:0IzTSNSWtKPlA0tORo7rIh
