track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Lucky Us,Juliàn,Juliàn; Hoogway,Lucky Us,60,58,3646,lo-fi; lo-fi beats,2025-12-05,2:05,False,https://open.spotify.com/track/320YmZj1zL3TxjYVl4JQZ1,spotify:track:320YmZj1zL3TxjYVl4JQZ1,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,10205,22449,,lastfm+mb
Daydream,Hoogway,Hoogway; amies,Daydream,57,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-19,2:55,False,https://open.spotify.com/track/1CjvMJLfD32MguI84cPCIS,spotify:track:1CjvMJLfD32MguI84cPCIS,443660,7639871,Lo-Fi; electronic; Belgium; chill; chillout,,Brussels,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,8466,21395,,lastfm+mb
Explore,Hoogway,Hoogway,Explore,55,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2026-01-08,2:23,False,https://open.spotify.com/track/7yLzGLh1WGEAfpAPvB5wZm,spotify:track:7yLzGLh1WGEAfpAPvB5wZm,443660,7639871,Lo-Fi; electronic; Belgium; chill; chillout,,Brussels,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,4616,10040,,lastfm+mb
Marylou,Hoogway,Hoogway,Marylou,53,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2025-11-20,1:48,False,https://open.spotify.com/track/61BitIMRUVO19fqCbbHnXP,spotify:track:61BitIMRUVO19fqCbbHnXP,443660,7639871,Lo-Fi; electronic; Belgium; chill; chillout,,Brussels,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,5459,11007,,lastfm+mb
A Place I Love,Hoogway,Hoogway,A Place I Love,54,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2024-09-12,2:23,False,https://open.spotify.com/track/5y6vdOkQ5mLBQzRpGhhF0C,spotify:track:5y6vdOkQ5mLBQzRpGhhF0C,443660,7639871,Lo-Fi; electronic; Belgium; chill; chillout,,Brussels,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,25179,89751,,lastfm+mb
Kickflip,Hoogway,Hoogway,Kickflip,36,63,20709,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-15,2:09,False,https://open.spotify.com/track/4ZWzv2nW8FAtJ47pHALoMa,spotify:track:4ZWzv2nW8FAtJ47pHALoMa,443660,7639871,Lo-Fi; electronic; Belgium; chill; chillout,,Brussels,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,5164,9339,,lastfm+mb
Junjiro (Little Tanuki) - Mondo Loops Remix,Lofi Girl,Lofi Girl; Assassin's Creed; Mondo Loops,Lofi Girl x Assassin's Creed Shadows - stealthy beats to relax to,58,62,233732,lo-fi,2025-03-26,2:15,False,https://open.spotify.com/track/6lyVunXcysd1AMWhwsnNYs,spotify:track:6lyVunXcysd1AMWhwsnNYs,46919,583719,chill; french; instrumental; hip hop; france,FR,France,lo-fi; lofi hip-hop,100,1995,,Person,male,26074,65818,,lastfm+mb
Hideaway,softy,softy; Mondo Loops,Distant Images,55,65,36405,lo-fi hip hop; lo-fi; lo-fi beats,2021-04-02,2:35,False,https://open.spotify.com/track/08m0YoV54Sdo2qdFD1HX8L,spotify:track:08m0YoV54Sdo2qdFD1HX8L,498613,7776903,Lo-Fi; electronic; Grunge; chill; instrumental hip-hop,KR,South Korea,downtempo; drum and bass; hardcore; instrumental; hip hop,100,,,Person,male,63036,155688,,lastfm+mb
Visions In The Swamp,Mondo Loops,Mondo Loops,Forest Kingdom,55,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,2022-08-15,2:17,False,https://open.spotify.com/track/6bEIYOm0n3xsFtQ1V29ZPh,spotify:track:6bEIYOm0n3xsFtQ1V29ZPh,414105,4817088,Lo-Fi; electronic; instrumental; UK; england,GB,United Kingdom,rock; downtempo; pop; instrumental; dance,100,,,Person,male,47637,116990,,lastfm+mb
Dropouts,Mondo Loops,Mondo Loops; Towerz,Dropouts,35,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-15,2:27,False,https://open.spotify.com/track/6ayj6MJr2beVbo5DVUrIPt,spotify:track:6ayj6MJr2beVbo5DVUrIPt,414105,4817088,Lo-Fi; electronic; instrumental; UK; england,GB,United Kingdom,rock; downtempo; pop; instrumental; dance,100,,,Person,male,5776,10488,,lastfm+mb
Enma,Dimension 32,Dimension 32; Mondo Loops,Desolation,54,57,10736,lo-fi; lo-fi hip hop; lo-fi beats,2024-04-29,2:24,False,https://open.spotify.com/track/6lZ5sSdsrCx5jT3E1a0ZHd,spotify:track:6lZ5sSdsrCx5jT3E1a0ZHd,284775,3664619,Lo-Fi; ambient; electronic; france; chill,,Paris,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,29142,60569,,lastfm+mb
The Last Train,Mondo Loops,Mondo Loops; L.Dre,The Last Train,53,63,43313,lo-fi hip hop; lo-fi; lo-fi beats,2025-09-19,1:56,False,https://open.spotify.com/track/0IzTSNSWtKPlA0tORo7rIh,spotify:track:0IzTSNSWtKPlA0tORo7rIh,414105,4817088,Lo-Fi; electronic; instrumental; UK; england,GB,United Kingdom,rock; downtempo; pop; instrumental; dance,100,,,Person,male,10148,18596,,lastfm+mb
Get Together,Phlocalyst,Phlocalyst; Viktor Minsky,Get Together,57,61,22499,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,2024-12-13,2:21,False,https://open.spotify.com/track/7nNck2PhET9OK7epBKwhHz,spotify:track:7nNck2PhET9OK7epBKwhHz,413520,3448081,Lo-Fi; electronic; belgian; beats; instrumental,BE,Belgium,downtempo; pop; instrumental; dance; house,100,1991,,Person,male,24214,53375,,lastfm+mb
Cerveja,Phlocalyst,Phlocalyst; Mr. Käfer,Cerveja,53,61,22499,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,2024-11-29,1:48,False,https://open.spotify.com/track/3pOQ3FcLGbTfa6eFqJSF2m,spotify:track:3pOQ3FcLGbTfa6eFqJSF2m,413520,3448081,Lo-Fi; electronic; belgian; beats; instrumental,BE,Belgium,downtempo; pop; instrumental; dance; house,100,1991,,Person,male,21263,45207,,lastfm+mb
Doinit,Phlocalyst,Phlocalyst; Myríad,Doinit,31,61,22499,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,2025-12-15,1:35,False,https://open.spotify.com/track/7xhtOHWBeYOMaLTiZomvXl,spotify:track:7xhtOHWBeYOMaLTiZomvXl,413520,3448081,Lo-Fi; electronic; belgian; beats; instrumental,BE,Belgium,downtempo; pop; instrumental; dance; house,100,1991,,Person,male,4810,8696,,lastfm+mb
Over The Top,Phlocalyst,Phlocalyst; Akīn; Hoogway,End Of The Road,52,61,22499,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,2023-04-06,2:16,False,https://open.spotify.com/track/2U58IeP8JP5KQtMgsirH0K,spotify:track:2U58IeP8JP5KQtMgsirH0K,413520,3448081,Lo-Fi; electronic; belgian; beats; instrumental,BE,Belgium,downtempo; pop; instrumental; dance; house,100,1991,,Person,male,35060,79592,,lastfm+mb
Old Friend,Phlocalyst,Phlocalyst; Living Room; Akīn,Relatives,51,61,22499,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,2021-02-13,1:58,False,https://open.spotify.com/track/2YBB9uvgHOpG0kAu5Ew6uK,spotify:track:2YBB9uvgHOpG0kAu5Ew6uK,413520,3448081,Lo-Fi; electronic; belgian; beats; instrumental,BE,Belgium,downtempo; pop; instrumental; dance; house,100,1991,,Person,male,74170,199750,,lastfm+mb
Back2Bed,Sátyr,Sátyr; Phlocalyst,Aiode,51,54,6437,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,2022-03-22,2:48,False,https://open.spotify.com/track/4snAhCZR8AeN3T7rGMwL6d,spotify:track:4snAhCZR8AeN3T7rGMwL6d,272639,1858722,instrumental; german; germany; electronic; Lo-Fi,DE,Germany,electronic; downtempo; instrumental; hip hop; lo-fi,100,,,Person,male,59008,148244,,lastfm+mb
The Quiet Kind,No Spirit,No Spirit; morningtime; Fugee,The Quiet Kind,59,60,22151,lo-fi hip hop; lo-fi; lo-fi beats,2025-11-21,2:02,False,https://open.spotify.com/track/27MYjBobSHlWMaE0MslyAD,spotify:track:27MYjBobSHlWMaE0MslyAD,452849,4929320,Lo-Fi; instrumental; electronic; chillout; instrumental hip-hop,US,United States,psychedelic rock; classic pop and rock; rock; progressive rock,100,1967,1997,Group,,12694,30714,,lastfm+mb
Opal,No Spirit,No Spirit; Odd Panda,Opal,32,60,22151,lo-fi hip hop; lo-fi; lo-fi beats,2025-12-15,1:51,False,https://open.spotify.com/track/6GYb4ZAQwhWALWFUOjU4LL,spotify:track:6GYb4ZAQwhWALWFUOjU4LL,452849,4929320,Lo-Fi; instrumental; electronic; chillout; instrumental hip-hop,US,United States,psychedelic rock; classic pop and rock; rock; progressive rock,100,1967,1997,Group,,5609,9972,,lastfm+mb
canyoufeelmy<3.tmpx,Bring Me The Horizon,Bring Me The Horizon; Casiio; No Spirit,Lo-files,54,80,6781572,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,2:42,False,https://open.spotify.com/track/4oulNVAcHE3WWxyy8kYvcz,spotify:track:4oulNVAcHE3WWxyy8kYvcz,2833234,325171513,deathcore; metalcore; screamo; hardcore; metal,GB,United Kingdom,rock; electronic; pop; alternative rock; drum and bass,100,2004,,Group,,47804,196843,,lastfm+mb
Memories We Made,No Spirit,No Spirit,Memories We Made,54,60,22151,lo-fi hip hop; lo-fi; lo-fi beats,2020-09-05,3:47,False,https://open.spotify.com/track/5Py0Esfix2HSh3G6Cv6dfi,spotify:track:5Py0Esfix2HSh3G6Cv6dfi,452849,4929320,Lo-Fi; instrumental; electronic; chillout; instrumental hip-hop,US,United States,psychedelic rock; classic pop and rock; rock; progressive rock,100,1967,1997,Group,,72778,208317,,lastfm+mb
Exhale,No Spirit,No Spirit,Happy Moments,52,60,22151,lo-fi hip hop; lo-fi; lo-fi beats,2021-11-12,2:50,False,https://open.spotify.com/track/2CN1YF6o4bJxUQQT8hBthx,spotify:track:2CN1YF6o4bJxUQQT8hBthx,452849,4929320,Lo-Fi; instrumental; electronic; chillout; instrumental hip-hop,US,United States,psychedelic rock; classic pop and rock; rock; progressive rock,100,1967,1997,Group,,71095,186917,,lastfm+mb
Winds On Mars,No Spirit,No Spirit,Between Worlds,51,60,22151,lo-fi hip hop; lo-fi; lo-fi beats,2022-08-29,2:27,False,https://open.spotify.com/track/7L3EQuik0hTkdbCIHz0X7N,spotify:track:7L3EQuik0hTkdbCIHz0X7N,452849,4929320,Lo-Fi; instrumental; electronic; chillout; instrumental hip-hop,US,United States,psychedelic rock; classic pop and rock; rock; progressive rock,100,1967,1997,Group,,59963,143803,,lastfm+mb
Voice Of The Forest,Yasumu,Yasumu; No Spirit,Unravel,51,53,18769,lo-fi hip hop; lo-fi; lo-fi beats,2022-10-27,2:50,False,https://open.spotify.com/track/1YcA4FOohJCZx21notkOkK,spotify:track:1YcA4FOohJCZx21notkOkK,360847,4348392,german; electronic; instrumental hip-hop; chillhop; chill,DE,Germany,downtempo; instrumental; hip hop; lo-fi; boom bap,100,,,Person,male,48658,124810,,lastfm+mb
