track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
Pressure,mark william lewis,mark william lewis; Sokora Violetov,Pressure / Titanic,31,48,36573,,2023-03-20,3:18,False,https://open.spotify.com/track/0C8jgD7Ts7Ib4wkNvdpway,spotify:track:0C8jgD7Ts7Ib4wkNvdpway,203932,3925686,dream pop; art pop; Neo-Psychedelia; hypnagogic pop; indie,,,,100,1931,,Person,male,23772,83139,,lastfm+mb
Qewl,Sokora Violetov,Sokora Violetov,Qewl,33,25,2284,,2022-08-02,2:36,False,https://open.spotify.com/track/2RRnxTHnThn6zcaXM3lXE6,spotify:track:2RRnxTHnThn6zcaXM3lXE6,16436,44801,experimental; electronic; avantgarde,,,,100,,,,,16418,44608,,lastfm+mb
Titanic,mark william lewis,mark william lewis; Sokora Violetov,Pressure / Titanic,35,48,36573,,2023-03-20,3:38,False,https://open.spotify.com/track/69tvlp8g6quolZRb86LEjE,spotify:track:69tvlp8g6quolZRb86LEjE,203932,3925686,dream pop; art pop; Neo-Psychedelia; hypnagogic pop; indie,,,,100,1931,,Person,male,23149,78490,,lastfm+mb
youdoyou,Camille Keller,Camille Keller,youdoyou,5,30,4370,,2023-10-09,2:49,False,https://open.spotify.com/track/283S2RphTvf0LwLqpgTHYj,spotify:track:283S2RphTvf0LwLqpgTHYj,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,4598,18161,,lastfm+mb
Dresscode,Camille Keller,Camille Keller,Dresscode,5,30,4370,,2021-07-01,1:16,False,https://open.spotify.com/track/0LIT4d8BBoJeNbnvC5eSfJ,spotify:track:0LIT4d8BBoJeNbnvC5eSfJ,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,346,1637,,lastfm+mb
Mid backstabber,Camille Keller,Camille Keller,Mid backstabber,5,30,4370,,2023-05-09,2:10,False,https://open.spotify.com/track/41wzh39RDcLthvMd1M4s82,spotify:track:41wzh39RDcLthvMd1M4s82,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,2369,12565,,lastfm+mb
Get it,Camille Keller,Camille Keller,Get it,5,30,4370,,2023-12-13,2:14,False,https://open.spotify.com/track/49YwyQmRMMvANfZbQ34IfV,spotify:track:49YwyQmRMMvANfZbQ34IfV,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,1843,7233,,lastfm+mb
Goinlike++,Camille Keller,Camille Keller,Goinlike++,6,30,4370,,2022-10-14,1:51,False,https://open.spotify.com/track/6HrgZKTFKFxgwpc4IqooXB,spotify:track:6HrgZKTFKFxgwpc4IqooXB,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,0,0,,lastfm+mb
dog-tired,Camille Keller,Camille Keller,dog-tired,7,30,4370,,2022-03-06,2:21,False,https://open.spotify.com/track/0wUg8iXfdappkAD5pieM60,spotify:track:0wUg8iXfdappkAD5pieM60,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,20856,90188,,lastfm+mb
Shot for me (feat. Dallae),Camille Keller,Camille Keller; Dallae,Williamsburg (feat. Deon Senia) / Shot for me (feat. Dallae),8,30,4370,,2024-06-04,2:20,True,https://open.spotify.com/track/4BQaGuNO1C5GY4EGUb9l3z,spotify:track:4BQaGuNO1C5GY4EGUb9l3z,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,2767,14482,,lastfm+mb
7:30 AM,Camille Keller,Camille Keller,7:30 AM,9,30,4370,,2021-08-15,1:50,False,https://open.spotify.com/track/35aceUjPYvZ6Rbz5eK1PUX,spotify:track:35aceUjPYvZ6Rbz5eK1PUX,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,414,2150,,lastfm+mb
G-LIP,Camille Keller,Camille Keller,G-LIP,9,30,4370,,2025-03-26,2:17,True,https://open.spotify.com/track/5WrUQfNvq0R5AWi6IVczLG,spotify:track:5WrUQfNvq0R5AWi6IVczLG,27894,308540,Belgium,US,United States,folk,100,1970,,Person,male,6713,26793,,lastfm+mb
