track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Última Saudade (Ao Vivo),Henrique & Juliano,Henrique & Juliano,"Manifesto Musical 2, Vol. 1 (Ao Vivo)",,,,,2024-12-13,2:30,False,https://open.spotify.com/track/1tmD4Xpd1YNSGCG5AYqHDk,spotify:track:1tmD4Xpd1YNSGCG5AYqHDk
Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo,Panda,Panda; Humberto & Ronaldo; Ícaro e Gilmar; MJ Records,Cê Tá Doido (São José Do Rio Preto) [Ao Vivo],,,,,2025-02-20,3:28,False,https://open.spotify.com/track/3nCuLb5HKpHYpUY3u47KG1,spotify:track:3nCuLb5HKpHYpUY3u47KG1
Barulho Do Foguete - Ao Vivo,Zé Neto & Cristiano,Zé Neto & Cristiano,"Escolhas, Vol. 2 (Ao Vivo)",,,,,2023-06-22,2:13,False,https://open.spotify.com/track/42JNab8NPeCADJ9D3Cl5wS,spotify:track:42JNab8NPeCADJ9D3Cl5wS
5 Km (Ao Vivo),Henrique & Juliano,Henrique & Juliano,O Céu Explica Tudo (Ao Vivo),,,,,2017-07-07,2:53,False,https://open.spotify.com/track/0EkzXM68Nxbx45Mguj8Ead,spotify:track:0EkzXM68Nxbx45Mguj8Ead
Saudade Burra - Ao Vivo,Lauana Prado,Lauana Prado; Simone Mendes,Transcende (Ao Vivo),,,,,2025-03-07,2:37,False,https://open.spotify.com/track/3M4HJl7D77l86gL1QXGJHG,spotify:track:3M4HJl7D77l86gL1QXGJHG
Quarta Cadeira - Ao Vivo,Matheus & Kauan,Matheus & Kauan; Jorge & Mateus,Tem Moda Pra Tudo (Ao Vivo),,,,,2019-03-22,3:44,False,https://open.spotify.com/track/5q0NlM6Pm8Pp3orq7zGiRn,spotify:track:5q0NlM6Pm8Pp3orq7zGiRn
Erro Gostoso - Ao Vivo,Simone Mendes,Simone Mendes,Cintilante (Ao Vivo / Vol.2),,,,,2023-10-20,2:58,False,https://open.spotify.com/track/6vq7r1Pqd3pyI07u63cPZV,spotify:track:6vq7r1Pqd3pyI07u63cPZV
DONA - Ao Vivo,Luan Santana,Luan Santana; Léo Foguete,DONA (Ao Vivo),,,,,2025-04-24,3:42,False,https://open.spotify.com/track/6v46jy0bNem1EIbjtfJyee,spotify:track:6v46jy0bNem1EIbjtfJyee
Um Dia Te Levo Comigo / Do Brasil à Argentina - Ao Vivo,Panda,Panda; MJ Records,"Panda Sem Moderação 2, Vol. 1 (Ao Vivo)",,,,,2025-05-26,3:31,False,https://open.spotify.com/track/1NPnoibZZyeILxD4mpvfAy,spotify:track:1NPnoibZZyeILxD4mpvfAy
Caos De Alguém (Ao Vivo),Felipe e Rodrigo,Felipe e Rodrigo,Nossa Cara (Ao Vivo),,,,,2025-08-29,2:34,False,https://open.spotify.com/track/10DHqS0nSXdPwGu1VyjTkR,spotify:track:10DHqS0nSXdPwGu1VyjTkR
Briga Feia (Ao Vivo),Henrique & Juliano,Henrique & Juliano,"Ao Vivo No Ibirapuera, Vol. 1",,,,,2020-01-31,3:14,False,https://open.spotify.com/track/7IRBkCwYig57VIYYpuOsVF,spotify:track:7IRBkCwYig57VIYYpuOsVF
