track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
It Takes Time,jxsn,jxsn; morningtime,Forever After All,,,,,2026-01-12,3:19,False,https://open.spotify.com/track/1ENqQuE2cRVZAdhbWUnQmX,spotify:track:1ENqQuE2cRVZAdhbWUnQmX
When I Remember You,Dosi,Dosi; So.Lo,Magic Box,,,,,2026-01-05,2:42,False,https://open.spotify.com/track/5R24ybGsrZRRNPSkxMabwm,spotify:track:5R24ybGsrZRRNPSkxMabwm
still images,slowburn,slowburn,still images,,,,,2024-11-21,2:07,False,https://open.spotify.com/track/0nNO8IoU3OlxARxcYRTVPt,spotify:track:0nNO8IoU3OlxARxcYRTVPt
From The Heart,Juliàn,Juliàn; marsquake,From The Heart,,,,,2026-01-09,1:52,False,https://open.spotify.com/track/2apXqamCRBgr7j7Es97K4v,spotify:track:2apXqamCRBgr7j7Es97K4v
In Your Eyes,Tom Doolie,Tom Doolie,In Your Eyes,,,,,2025-01-27,1:47,False,https://open.spotify.com/track/1xj5PfR7QMVRVffs5QDtDH,spotify:track:1xj5PfR7QMVRVffs5QDtDH
broth,lilibu,lilibu,broth,,,,,2024-08-11,3:06,False,https://open.spotify.com/track/1V07rv74k9FinkehDGR14N,spotify:track:1V07rv74k9FinkehDGR14N
Catching Flights,Pierson Booth,Pierson Booth; HanamiBeats,Weekend in Japan,,,,,2025-06-16,2:43,False,https://open.spotify.com/track/0sI5ijIUXQOA3Wd8Knk4a0,spotify:track:0sI5ijIUXQOA3Wd8Knk4a0
Midnight Dreams and Lights,Haku-San,Haku-San,Midnight Dreams and Lights,,,,,2025-11-21,2:25,False,https://open.spotify.com/track/6JFLZSRd7EXNWPFWbf7fMX,spotify:track:6JFLZSRd7EXNWPFWbf7fMX
Something Missing,Dosi,Dosi; So.Lo,Magic Box,,,,,2026-01-05,2:35,False,https://open.spotify.com/track/0PuBavzyEtWNjjY6TXCOe5,spotify:track:0PuBavzyEtWNjjY6TXCOe5
come with me,Theo Aabel,Theo Aabel; marsquake,come with me,,,,,2025-11-25,2:40,False,https://open.spotify.com/track/79II8QZ08SaeS7QWfi7iSS,spotify:track:79II8QZ08SaeS7QWfi7iSS
Fuzzy,Lil Leaf,Lil Leaf,Fuzzy,,,,,2025-08-17,2:40,False,https://open.spotify.com/track/4Cl9bLrIxcIbCqeqNczRR0,spotify:track:4Cl9bLrIxcIbCqeqNczRR0
fleeting moments,Lenny Loops,Lenny Loops; iomoo,fleeting moments,,,,,2025-12-12,2:32,False,https://open.spotify.com/track/23VG7LQdQUxsxF6YsyudeP,spotify:track:23VG7LQdQUxsxF6YsyudeP
Soft Release,slowburn,slowburn,Old Feelings,,,,,2023-12-07,2:14,False,https://open.spotify.com/track/7fxquoobynXjiASceCeUvF,spotify:track:7fxquoobynXjiASceCeUvF
