track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
It Takes Time,jxsn,jxsn; morningtime,Forever After All,,,,,2026-01-12,3:19,False,https://open.spotify.com/track/1ENqQuE2cRVZAdhbWUnQmX,spotify:track:1ENqQuE2cRVZAdhbWUnQmX,37851,213905,,,,hip hop; chillwave; instrumental hip hop; downtempo; lo-fi,100,,,Person,male,6026,10763,,lastfm+mb
When I Remember You,Dosi,Dosi; So.Lo,Magic Box,,,,,2026-01-05,2:42,False,https://open.spotify.com/track/5R24ybGsrZRRNPSkxMabwm,spotify:track:5R24ybGsrZRRNPSkxMabwm,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,6095,11014,,lastfm+mb
still images,slowburn,slowburn,still images,,,,,2024-11-21,2:07,False,https://open.spotify.com/track/0nNO8IoU3OlxARxcYRTVPt,spotify:track:0nNO8IoU3OlxARxcYRTVPt,186285,1864003,hardcore; hard rock; australian; hardcore punk; heavy metal,,,hip hop; chillwave; downtempo; lo-fi hip hop; instrumental,100,,,Group,,25741,69141,,lastfm+mb
From The Heart,Juliàn,Juliàn; marsquake,From The Heart,,,,,2026-01-09,1:52,False,https://open.spotify.com/track/2apXqamCRBgr7j7Es97K4v,spotify:track:2apXqamCRBgr7j7Es97K4v,209681,1879959,belgian; chillout; Lo-Fi; electronic; instrumental,GB,United Kingdom,rock; alternative rock; british; post-punk; new wave,100,1957,,Person,male,6624,15804,,lastfm+mb
In Your Eyes,Tom Doolie,Tom Doolie,In Your Eyes,,,,,2025-01-27,1:47,False,https://open.spotify.com/track/1xj5PfR7QMVRVffs5QDtDH,spotify:track:1xj5PfR7QMVRVffs5QDtDH,416211,2835633,chillhop; electronic; Lo-Fi; chill; instrumental hip-hop,DE,Germany,lo-fi hip hop; hip hop; instrumental hip hop; lo-fi; downtempo,100,,,Person,male,20448,40780,,lastfm+mb
broth,lilibu,lilibu,broth,,,,,2024-08-11,3:06,False,https://open.spotify.com/track/1V07rv74k9FinkehDGR14N,spotify:track:1V07rv74k9FinkehDGR14N,181920,960826,to tag,,,,100,,,,,15182,32977,,lastfm+mb
Catching Flights,Pierson Booth,Pierson Booth; HanamiBeats,Weekend in Japan,,,,,2025-06-16,2:43,False,https://open.spotify.com/track/0sI5ijIUXQOA3Wd8Knk4a0,spotify:track:0sI5ijIUXQOA3Wd8Knk4a0,90771,1266167,,AU,Australia,hip hop; boom bap; chillwave; lo-fi; lo-fi hip hop,100,2004,,Person,male,11184,25718,,lastfm+mb
Midnight Dreams and Lights,Haku-San,Haku-San,Midnight Dreams and Lights,,,,,2025-11-21,2:25,False,https://open.spotify.com/track/6JFLZSRd7EXNWPFWbf7fMX,spotify:track:6JFLZSRd7EXNWPFWbf7fMX,40191,132694,,,,,100,,,,,11466,27823,,lastfm+mb
Something Missing,Dosi,Dosi; So.Lo,Magic Box,,,,,2026-01-05,2:35,False,https://open.spotify.com/track/0PuBavzyEtWNjjY6TXCOe5,spotify:track:0PuBavzyEtWNjjY6TXCOe5,271115,2178147,instrumental hip-hop,,Nice,downtempo; instrumental; hip hop; alternative; lo-fi,100,,,Person,male,5147,9139,,lastfm+mb
come with me,Theo Aabel,Theo Aabel; marsquake,come with me,,,,,2025-11-25,2:40,False,https://open.spotify.com/track/79II8QZ08SaeS7QWfi7iSS,spotify:track:79II8QZ08SaeS7QWfi7iSS,86132,585366,swedish; lofi; instrumental hip-hop; to tag; chillhop,SE,Sweden,lo-fi hip hop; hip hop; instrumental hip hop; chillwave; downtempo,100,,,Person,male,11217,27306,,lastfm+mb
