track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Miss You - Remastered,The Rolling Stones,The Rolling Stones,Some Girls,,,,,1978-06-09,4:48,False,https://open.spotify.com/track/3hJLKtTpgct9Y9wKww0BiR,spotify:track:3hJLKtTpgct9Y9wKww0BiR
Since I've Been Loving You - Remaster,Led Zeppelin,Led Zeppelin,Led Zeppelin III (Remaster),,,,,1970,7:24,False,https://open.spotify.com/track/1SDiiE3v2z89VxC3aVRKHQ,spotify:track:1SDiiE3v2z89VxC3aVRKHQ
Livin' On A Prayer,Bon Jovi,Bon Jovi,Slippery When Wet,,,,,1986-08-16,4:09,False,https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,spotify:track:37ZJ0p5Jm13JPevGcx4SkF
Under Pressure - Remastered 2011,Queen,Queen; David Bowie,Hot Space (2011 Remaster),,,,,1982-05-03,4:08,False,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,spotify:track:2fuCquhmrzHpu5xcA1ci9x
Estranged,Guns N' Roses,Guns N' Roses,Use Your Illusion II,,,,,1991-09-18,9:23,False,https://open.spotify.com/track/3s03nrUInN3NAVjQtmnS0O,spotify:track:3s03nrUInN3NAVjQtmnS0O
Sunday Bloody Sunday - Remastered 2008,U2,U2,War (Remastered),,,,,1983-02-28,4:39,False,https://open.spotify.com/track/6C4LXC9UFH1IKiHYOp0BiJ,spotify:track:6C4LXC9UFH1IKiHYOp0BiJ
Dream On,Aerosmith,Aerosmith,Aerosmith,,,,,1973-01-05,4:27,False,https://open.spotify.com/track/5Ih9gbqyxCzTJ43nuSuKnC,spotify:track:5Ih9gbqyxCzTJ43nuSuKnC
No One Like You,Scorpions,Scorpions,Blackout,,,,,1982-04-10,3:57,False,https://open.spotify.com/track/26fZwf1ImE4aUJ4XaqOkUg,spotify:track:26fZwf1ImE4aUJ4XaqOkUg
Highway to Hell,AC/DC,AC/DC,Highway to Hell,,,,,1979-07-27,3:28,False,https://open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s
Every Little Thing She Does Is Magic,The Police,The Police,Ghost In The Machine (Remastered 2003),,,,,1981-10-02,4:20,False,https://open.spotify.com/track/44aTAUBF0g6sMkMNE8I5kd,spotify:track:44aTAUBF0g6sMkMNE8I5kd
