track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
comeaway (and their defeated hearts became the fruit of your sword),Oxhy,Oxhy; Heith,the names of god,,,,,2025-07-08,4:16,False,https://open.spotify.com/track/716GtQLZGCtpf8iEqR1aMy,spotify:track:716GtQLZGCtpf8iEqR1aMy
Sound of a Bite,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,,,,,2025-02-19,5:16,False,https://open.spotify.com/track/3JU5caFVRtBFdvOuD9Q6R6,spotify:track:3JU5caFVRtBFdvOuD9Q6R6
DRIFT REGALIA,Oli XL,Oli XL; james K,Lick The Lens – Pt.1,,,,,2025-08-27,3:29,False,https://open.spotify.com/track/2XsbmfalJ0cB7LBPFYBEEU,spotify:track:2XsbmfalJ0cB7LBPFYBEEU
Like It or Not,The Furniture Group,The Furniture Group,Dodgy,,,,,2024-11-11,2:46,False,https://open.spotify.com/track/03Gz9fm3ptdJyb7xmYMJml,spotify:track:03Gz9fm3ptdJyb7xmYMJml
The journey,Deer park,Deer park,Gun scene,,,,,2023-11-17,3:04,False,https://open.spotify.com/track/3IyTGUSSRTKqoOZPYFeZNG,spotify:track:3IyTGUSSRTKqoOZPYFeZNG
Preamp,Yorck Street,Yorck Street,My Small Piano,,,,,2025-09-04,1:58,False,https://open.spotify.com/track/4MwNO3JpiUT9AVDjrMpjHV,spotify:track:4MwNO3JpiUT9AVDjrMpjHV
June,Eterna,Eterna; Amalcrossing,Audi,,,,,2021-10-22,3:37,False,https://open.spotify.com/track/3OKG4h6VKrK1hh3lXuTzzG,spotify:track:3OKG4h6VKrK1hh3lXuTzzG
Feeling Loved As I Feel Understood,Blessed and blushing,Blessed and blushing,A Short Movie Where Tenderness Wins,,,,,2024-05-24,3:03,False,https://open.spotify.com/track/67VO098IAmZEqRxGVOqMDz,spotify:track:67VO098IAmZEqRxGVOqMDz
open case,Nova Varnrable,Nova Varnrable,where it melts away,,,,,2025-04-04,1:57,False,https://open.spotify.com/track/2NMFHPrNq72RmslUmK8fjj,spotify:track:2NMFHPrNq72RmslUmK8fjj
Amethyst,blair,blair,Blair II,,,,,2024-08-23,3:24,False,https://open.spotify.com/track/5HDyrwwmFZf47Bxi4SV27t,spotify:track:5HDyrwwmFZf47Bxi4SV27t
omg1,Patch +,Patch +,omg1,,,,,2023-02-12,2:55,False,https://open.spotify.com/track/1wDoVXh4a3HWIah6wpoSnc,spotify:track:1wDoVXh4a3HWIah6wpoSnc
Overshot,Deer park,Deer park,Terra Infirma,,,,,2025-04-04,3:56,False,https://open.spotify.com/track/3Ms7sxLejDhvZxtaO3BLuK,spotify:track:3Ms7sxLejDhvZxtaO3BLuK
Held By You,Colle,Colle,Montalvo,,,,,2024-11-13,4:12,False,https://open.spotify.com/track/3SB92loVYvZz5vobRyZMrp,spotify:track:3SB92loVYvZz5vobRyZMrp
Coffee Eyes,Eterna,Eterna; Amalcrossing,Audi,,,,,2021-10-22,3:08,False,https://open.spotify.com/track/51VqYkgwY2it5ykwLqcXsi,spotify:track:51VqYkgwY2it5ykwLqcXsi
Severe Weather,A Good Year,A Good Year,Sofina (Soundtrack),,,,,2024-03-06,2:55,False,https://open.spotify.com/track/5wQlO5ptOrLVFfj7KEtaZX,spotify:track:5wQlO5ptOrLVFfj7KEtaZX
=,Forma Norte,Forma Norte,IV,,,,,2024-10-10,1:44,False,https://open.spotify.com/track/5842s3lpR1VO0Qv4xXi3FL,spotify:track:5842s3lpR1VO0Qv4xXi3FL
From the stars,Detente,Detente,Ghosts,,,,,2024-05-28,3:00,False,https://open.spotify.com/track/1PJebQFXj58SQG9bFdVljY,spotify:track:1PJebQFXj58SQG9bFdVljY
I Think About You All The Time,Tiffi M,Tiffi M,Heartstrings,,,,,2025-10-10,1:41,False,https://open.spotify.com/track/7HysjjI5nNTQYdXFYiHpWo,spotify:track:7HysjjI5nNTQYdXFYiHpWo
Gun scene / Your camelot,Deer park,Deer park,Gun scene,,,,,2023-11-17,4:17,False,https://open.spotify.com/track/7GPNmxGMrPOukgD9s5uucJ,spotify:track:7GPNmxGMrPOukgD9s5uucJ
don't hold it all in,jaso,jaso,"Access, Release! (Room Recording)",,,,,2025-03-28,3:39,True,https://open.spotify.com/track/3gmSd38M3oEHLoGC2uroNd,spotify:track:3gmSd38M3oEHLoGC2uroNd
Smalley,Yorck Street,Yorck Street,My Small Piano,,,,,2025-09-04,1:34,False,https://open.spotify.com/track/6u9kyUTgrLI0PWl3AGEedl,spotify:track:6u9kyUTgrLI0PWl3AGEedl
Rockland County,Car Culture,Car Culture; Physical Therapy,Rest Here,,,,,2025-10-09,3:15,False,https://open.spotify.com/track/7yGUF2zL1TrLvxzXXZj1AJ,spotify:track:7yGUF2zL1TrLvxzXXZj1AJ
Fiu,ari,ari; Forma Norte,Rock Bag,,,,,2025-10-21,2:23,False,https://open.spotify.com/track/4C8EbXURrTHQfuE5AeCJmg,spotify:track:4C8EbXURrTHQfuE5AeCJmg
Otter,Blessed and blushing,Blessed and blushing,Blue Memory Box,,,,,2021-10-07,2:24,False,https://open.spotify.com/track/7983hajbWvQB5QaYEUrRyn,spotify:track:7983hajbWvQB5QaYEUrRyn
Wings For Sale,Mike Midnight,Mike Midnight,Angel Hours,,,,,2022-11-11,3:22,False,https://open.spotify.com/track/5WGUsL1YcrbYIkUeVVDd3J,spotify:track:5WGUsL1YcrbYIkUeVVDd3J
Kittens,Deer park,Deer park,Kittens,,,,,2024-09-06,2:35,True,https://open.spotify.com/track/2tucEWU8FocpLyBOoOEBQc,spotify:track:2tucEWU8FocpLyBOoOEBQc
Highbury Grunge,Eterna,Eterna,Debunker,,,,,2025-01-31,3:24,False,https://open.spotify.com/track/7pn51H2QBEHISQHgKkuTdO,spotify:track:7pn51H2QBEHISQHgKkuTdO
Red,Mori Mori,Mori Mori,BB Void,,,,,2024-10-24,3:18,False,https://open.spotify.com/track/0LaYKKsGKY7IcjGGrKRaJQ,spotify:track:0LaYKKsGKY7IcjGGrKRaJQ
When It's Easier,A Good Year,A Good Year,Sofina (Soundtrack),,,,,2024-03-06,3:11,False,https://open.spotify.com/track/6dcvSbeRmXQIsizu1BF0xR,spotify:track:6dcvSbeRmXQIsizu1BF0xR
G major,Josephine Moriko,Josephine Moriko,G major,,,,,2023-06-09,3:34,False,https://open.spotify.com/track/6TUyBi3uBJKK4XkAHJ1LnK,spotify:track:6TUyBi3uBJKK4XkAHJ1LnK
21 insecurities,500,500,21 insecurities,,,,,2023-10-11,3:05,False,https://open.spotify.com/track/7dVmclFw8bSqjBfwZANhFp,spotify:track:7dVmclFw8bSqjBfwZANhFp
I Want You Alone,nahdoitagain,nahdoitagain,I Want You Alone,,,,,2024-10-27,3:36,False,https://open.spotify.com/track/1ZP28Ot8Gy3v4dFDNSZVNP,spotify:track:1ZP28Ot8Gy3v4dFDNSZVNP
