track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri,lastfm_listeners,lastfm_playcount,lastfm_tags,mb_country,mb_area,mb_tags,mb_score,mb_career_start,mb_career_end,mb_artist_type,mb_gender,lastfm_track_listeners,lastfm_track_playcount,lastfm_track_tags,external_source
comeaway (and their defeated hearts became the fruit of your sword),Oxhy,Oxhy; Heith,the names of god,,,,,2025-07-08,4:16,False,https://open.spotify.com/track/716GtQLZGCtpf8iEqR1aMy,spotify:track:716GtQLZGCtpf8iEqR1aMy,59485,578542,ambient; experimental; Post-Industrial; glitch; sound collage,,London,,100,,,Person,male,1083,2589,,lastfm
Sound of a Bite,X & Yde,X & Yde; Ydegirl; Xenia Xamanek,Sound of a Bite,,,,,2025-02-19,5:16,False,https://open.spotify.com/track/3JU5caFVRtBFdvOuD9Q6R6,spotify:track:3JU5caFVRtBFdvOuD9Q6R6,1896,5723,,,,,100,,,,,316,708,,lastfm+mb
DRIFT REGALIA,Oli XL,Oli XL; james K,Lick The Lens – Pt.1,,,,,2025-08-27,3:29,False,https://open.spotify.com/track/2XsbmfalJ0cB7LBPFYBEEU,spotify:track:2XsbmfalJ0cB7LBPFYBEEU,128442,1668135,idm; experimental; ambient; Deconstructed Club; bass,SE,Sweden,electronic; ambient; idm; _private tag 1,100,1995,,Person,,14967,49157,,lastfm+mb
Like It or Not,The Furniture Group,The Furniture Group,Dodgy,,,,,2024-11-11,2:46,False,https://open.spotify.com/track/03Gz9fm3ptdJyb7xmYMJml,spotify:track:03Gz9fm3ptdJyb7xmYMJml,5422,40843,indie rock; rock; american; USA; dream pop,GB,United Kingdom,rock and indie,100,1979,1991,Group,,2196,7291,,lastfm+mb
The journey,Deer park,Deer park,Gun scene,,,,,2023-11-17,3:04,False,https://open.spotify.com/track/3IyTGUSSRTKqoOZPYFeZNG,spotify:track:3IyTGUSSRTKqoOZPYFeZNG,38572,465721,dream pop; indie rock; water; Played a WagonWheel show at The Grapes,US,United States,rock; alternative rock; industrial rock; metal; american,100,1996,,Group,,5181,15432,,lastfm
Preamp,Yorck Street,Yorck Street,My Small Piano,,,,,2025-09-04,1:58,False,https://open.spotify.com/track/4MwNO3JpiUT9AVDjrMpjHV,spotify:track:4MwNO3JpiUT9AVDjrMpjHV,2437,31985,,US,United States,rock; singer-songwriter; pop rock; heartland rock,100,1972,,Group,,892,3296,,lastfm+mb
June,Eterna,Eterna; Amalcrossing,Audi,,,,,2021-10-22,3:37,False,https://open.spotify.com/track/3OKG4h6VKrK1hh3lXuTzzG,spotify:track:3OKG4h6VKrK1hh3lXuTzzG,69209,781277,Power metal; Progressive metal; christian metal; white metal; brazilian metal,BR,Brazil,,100,1995,,Group,,2822,9867,,lastfm+mb
Feeling Loved As I Feel Understood,Blessed and blushing,Blessed and blushing,A Short Movie Where Tenderness Wins,,,,,2024-05-24,3:03,False,https://open.spotify.com/track/67VO098IAmZEqRxGVOqMDz,spotify:track:67VO098IAmZEqRxGVOqMDz,47300,253705,france; AI Generated,,Paris,,100,,,,,10394,24828,,lastfm+mb
open case,Nova Varnrable,Nova Varnrable,where it melts away,,,,,2025-04-04,1:57,False,https://open.spotify.com/track/2NMFHPrNq72RmslUmK8fjj,spotify:track:2NMFHPrNq72RmslUmK8fjj,7230,30638,,,Copenhagen,alternative pop; electronic pop,100,,,,,712,1795,,lastfm+mb
Amethyst,blair,blair,Blair II,,,,,2024-08-23,3:24,False,https://open.spotify.com/track/5HDyrwwmFZf47Bxi4SV27t,spotify:track:5HDyrwwmFZf47Bxi4SV27t,142350,2021712,indie; pop; indie pop; Disco; emo,,,,100,,,Person,,6734,13828,,lastfm+mb
