track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Coppelia: Act I - Valse,Léo Delibes,Léo Delibes; Slovak Radio Symphony Orchestra; Andrew Mogrelia,Delibes: Coppelia (Complete Ballet) / La Source Suites,50,54,69471,classical; opera,1995-12-13,2:21,False,https://open.spotify.com/track/03xxnNXmK7lJjW9hV2ldn8,spotify:track:03xxnNXmK7lJjW9hV2ldn8
Junjiro (Little Tanuki) - Mondo Loops Remix,Lofi Girl,Lofi Girl; Assassin's Creed; Mondo Loops,Lofi Girl x Assassin's Creed Shadows - stealthy beats to relax to,56,63,195194,lo-fi,2025-03-26,2:15,False,https://open.spotify.com/track/6lyVunXcysd1AMWhwsnNYs,spotify:track:6lyVunXcysd1AMWhwsnNYs
Amongst the Shells,Kurt Stewart,Kurt Stewart; Lomme,Beach Cat,47,51,3980,lo-fi hip hop; lo-fi; lo-fi beats,2025-07-15,2:21,False,https://open.spotify.com/track/6bkAZYzzChYhwWT7RS8CqG,spotify:track:6bkAZYzzChYhwWT7RS8CqG
Last Dream,Sarklaz,Sarklaz,Last Dream,50,33,4070,,2024-02-16,3:50,False,https://open.spotify.com/track/4syxTx96g4iaHVUrpZo3np,spotify:track:4syxTx96g4iaHVUrpZo3np
Soul of Serenity,Fya Playce,Fya Playce,Soul of Serenity,39,50,636,lo-fi beats; lo-fi,2023-09-17,2:12,False,https://open.spotify.com/track/4baez3KIhzdnOIhyS4TNeG,spotify:track:4baez3KIhzdnOIhyS4TNeG
pick you up when you're down,Lenny Loops,Lenny Loops; Dontcry,quiet moon,47,56,4409,lo-fi; lo-fi hip hop; lo-fi beats,2025-03-21,2:20,False,https://open.spotify.com/track/6h2UIm7wap9m3na6Kk3HrQ,spotify:track:6h2UIm7wap9m3na6Kk3HrQ
Radiance,Christopher Larkin,Christopher Larkin,Hollow Knight (Original Soundtrack),52,71,166268,soundtrack,2017-02-10,2:17,False,https://open.spotify.com/track/1ygjvLVwydBF164HQsv2QD,spotify:track:1ygjvLVwydBF164HQsv2QD
homesick,wave to earth,wave to earth,0.1 flaws and all.,70,74,4860583,,2023-04-20,5:06,False,https://open.spotify.com/track/2FZIabCRMEWAYfN69Ijn1U,spotify:track:2FZIabCRMEWAYfN69Ijn1U
Cinnamon Rolls,Mujo,Mujo,Hypnotic Hills,44,56,30868,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,2023-08-18,1:26,False,https://open.spotify.com/track/2pv9LnCIWagAwA1AsK0zG2,spotify:track:2pv9LnCIWagAwA1AsK0zG2
The Shire,Howard Shore,Howard Shore,The Lord of the Rings: The Fellowship of the Ring - the Complete Recordings,64,68,496655,soundtrack,2001,2:29,False,https://open.spotify.com/track/6zW80jVqLtgSF1yCtGHiiD,spotify:track:6zW80jVqLtgSF1yCtGHiiD
When I Close My Eyes,SLEEP CLUB,SLEEP CLUB,When I Close My Eyes,48,34,2079,shoegaze,2025-03-17,2:50,False,https://open.spotify.com/track/2Lfs1JV7HkKDN07hoOJSaU,spotify:track:2Lfs1JV7HkKDN07hoOJSaU
Mujinas Ramen Shop,Flitz&Suppe,Flitz&Suppe; Mr. Käfer,Yokai,56,52,26256,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats; jazz rap,2020-07-07,2:41,False,https://open.spotify.com/track/5xyhG7nGl3A8pvFFCEbTdl,spotify:track:5xyhG7nGl3A8pvFFCEbTdl
Warm Colours,Osaki,Osaki; Sleepermane,Evergarden,50,47,7190,lo-fi; lo-fi hip hop,2022-07-25,2:10,False,https://open.spotify.com/track/1RHFPBrrYP93UYSQo0865S,spotify:track:1RHFPBrrYP93UYSQo0865S
Skyfloat,Mr. Käfer,Mr. Käfer,Skyfloat,50,53,12251,lo-fi hip hop; lo-fi beats; lo-fi; jazz beats; jazz rap,2025-04-04,2:18,False,https://open.spotify.com/track/2LUKL6s5pRci7b33Kbx18V,spotify:track:2LUKL6s5pRci7b33Kbx18V
in_the_dark.ech,Bring Me The Horizon,Bring Me The Horizon; Kanisan,Lo-files,53,79,6592042,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:08,False,https://open.spotify.com/track/78mP1BhsKkinyPyFK0whIF,spotify:track:78mP1BhsKkinyPyFK0whIF
Float On,The Floaters,The Floaters,Music For Groovin',40,41,52707,classic soul,2007-01-01,4:10,False,https://open.spotify.com/track/0i38ukkDaXt4bCP0osIbz0,spotify:track:0i38ukkDaXt4bCP0osIbz0
Old Feelings,slowburn,slowburn,Old Feelings,52,55,4278,lo-fi,2023-12-07,2:16,False,https://open.spotify.com/track/5NV5hADD7crqBoNIQ5mPr8,spotify:track:5NV5hADD7crqBoNIQ5mPr8
Daybreak,Robin Carolan,Robin Carolan,Nosferatu (Original Motion Picture Soundtrack),34,40,6697,,2024-11-22,8:01,False,https://open.spotify.com/track/4S8FUjOCxiBtNXNTkDFwR1,spotify:track:4S8FUjOCxiBtNXNTkDFwR1
"Peer Gynt Suite No. 1, Op. 46: I. Morning Mood",Edvard Grieg,Edvard Grieg; Berliner Philharmoniker; Herbert von Karajan,Grieg: Peer Gynt Suites / Sibelius: Valse triste,60,63,570527,classical; orchestral,1993-01-01,4:13,False,https://open.spotify.com/track/0awWxz7WRKdSpU9RVZ5PVK,spotify:track:0awWxz7WRKdSpU9RVZ5PVK
Days Past,WanderLight,WanderLight,Days Past,51,44,1956,jazz beats; lo-fi; lo-fi beats,2025-01-10,2:09,False,https://open.spotify.com/track/4Brvu4N2Vwpi3ookEP1OVy,spotify:track:4Brvu4N2Vwpi3ookEP1OVy
Slow Breaths,Calmly,Calmly,Dreams,66,86,62402,,2023,1:31,False,https://open.spotify.com/track/0urhrsYjTbnUg9WNiOIn3C,spotify:track:0urhrsYjTbnUg9WNiOIn3C
Autumnal Longing,Mujo,Mujo; KLIM,Autumnal Longing,43,56,30868,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,2024-05-13,1:59,False,https://open.spotify.com/track/03Pmh9aXyfO6TgiLqPZPFc,spotify:track:03Pmh9aXyfO6TgiLqPZPFc
Sap Green,Casiio,Casiio; Sling Dilly,Sap Green,52,64,18770,lo-fi hip hop; lo-fi; lo-fi beats,2024-04-12,1:41,False,https://open.spotify.com/track/7uaFkXXFrkRUFRXnhnsqnn,spotify:track:7uaFkXXFrkRUFRXnhnsqnn
clockwork dreams,Tonion,Tonion; Hoffy Beats,clockwork dreams,44,48,2859,lo-fi; lo-fi beats; lo-fi hip hop,2024-05-17,2:51,False,https://open.spotify.com/track/4yc2GdYpTszeaA1Dhqltwd,spotify:track:4yc2GdYpTszeaA1Dhqltwd
sTr4nG3r5.vsn0,Bring Me The Horizon,Bring Me The Horizon; Dimension 32,Lo-files,50,79,6592042,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:05,False,https://open.spotify.com/track/5OjkJMfEVBAVgoYshwZuRt,spotify:track:5OjkJMfEVBAVgoYshwZuRt
Shadows,Pastel Ghost,Pastel Ghost,Abyss,65,65,926950,witch house; darkwave,2015-03-10,3:28,False,https://open.spotify.com/track/3vtFowc9zcQfvqsLAZ9Cx2,spotify:track:3vtFowc9zcQfvqsLAZ9Cx2
Toutatis,Cosmic Koala,Cosmic Koala; Lucid Keys,The Tale of the Druids,52,48,2702,lo-fi,2022-12-05,2:28,False,https://open.spotify.com/track/4uGmO9fJT72fVDU6rxU2n7,spotify:track:4uGmO9fJT72fVDU6rxU2n7
Aetheris,Edge Of The Spiral,Edge Of The Spiral,Aetheris,47,44,339,,2024-05-31,2:58,False,https://open.spotify.com/track/3qW4n7ZcKKdby0Hyp0tVma,spotify:track:3qW4n7ZcKKdby0Hyp0tVma
Sweet Meetings,Cosmic Koala,Cosmic Koala; Dimension 32; Lucid Keys,Beautiful Days,50,48,2702,lo-fi,2022-11-10,2:31,False,https://open.spotify.com/track/7vWU7z6GAbJuQgsVSriod9,spotify:track:7vWU7z6GAbJuQgsVSriod9
Reminiscence.,XiiiDolor,XiiiDolor,Reminiscence.,30,32,10941,,2020-06-19,2:41,True,https://open.spotify.com/track/32xRvHd8a63H3SEOxkZrPR,spotify:track:32xRvHd8a63H3SEOxkZrPR
seenitallbefore_xx.arch,Bring Me The Horizon,Bring Me The Horizon; Kanisan,Lo-files,52,79,6592042,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:28,False,https://open.spotify.com/track/7nlMB8nDWH3pOFTxxwgfBm,spotify:track:7nlMB8nDWH3pOFTxxwgfBm
Faded,Alan Walker,Alan Walker,Different World,80,80,41194935,,2018-12-14,3:32,False,https://open.spotify.com/track/698ItKASDavgwZ3WjaWjtz,spotify:track:698ItKASDavgwZ3WjaWjtz
Floating Island,Dimension 32,Dimension 32,Aeolia,52,58,9970,lo-fi; lo-fi hip hop; lo-fi beats,2022-03-16,2:57,False,https://open.spotify.com/track/3aBL98Q6whwKc4Qdnp4Kdw,spotify:track:3aBL98Q6whwKc4Qdnp4Kdw
A Meditation,Kanisan,Kanisan; no one's perfect,A Way of Existing,49,56,9730,lo-fi hip hop; lo-fi; lo-fi beats,2020-05-02,1:32,False,https://open.spotify.com/track/60IWkxGtf9Ir5bemYL1XFi,spotify:track:60IWkxGtf9Ir5bemYL1XFi
Sailboats and Constellations,after noon,after noon,Sailboats and Constellations,48,52,1816,lo-fi; lo-fi beats,2024-12-09,2:25,False,https://open.spotify.com/track/6FrKwITO8Mq4wIjy7Sm18N,spotify:track:6FrKwITO8Mq4wIjy7Sm18N
Sleepyhead,Jutes,Jutes,Sleepyhead,64,63,278553,,2024-08-01,3:12,True,https://open.spotify.com/track/5uuPDgZe2xlN5UN4sUQyAc,spotify:track:5uuPDgZe2xlN5UN4sUQyAc
kites in the sky,Fya Playce,Fya Playce,kites in the sky,49,50,636,lo-fi beats; lo-fi,2025-06-15,2:14,False,https://open.spotify.com/track/1K5AVPjIGLp0HKbPR5riIY,spotify:track:1K5AVPjIGLp0HKbPR5riIY
Recurring Dreams,trxxshed,trxxshed; softy,Blissful Dreams,42,51,4771,lo-fi hip hop; lo-fi,2023-05-24,2:06,False,https://open.spotify.com/track/2eClTUzkZ7UOA0tyOwcBZi,spotify:track:2eClTUzkZ7UOA0tyOwcBZi
beautiful imprefections,Mondo Loops,Mondo Loops,beautiful imperfections,52,63,42149,lo-fi hip hop; lo-fi; lo-fi beats,2025-09-05,2:03,False,https://open.spotify.com/track/09bYYYVbm0W5DJAdq5lXkd,spotify:track:09bYYYVbm0W5DJAdq5lXkd
drwn.vvv,Bring Me The Horizon,Bring Me The Horizon; Dimension 32,Lo-files,53,79,6592042,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:25,False,https://open.spotify.com/track/7lXJ3hmDo5XK1witUxj8aX,spotify:track:7lXJ3hmDo5XK1witUxj8aX
parasite.ev3,Bring Me The Horizon,Bring Me The Horizon; Mondo Loops,Lo-files,52,79,6592042,metalcore; emo; screamo; rock; post-hardcore,2025-07-11,3:14,False,https://open.spotify.com/track/7GPLneLBvgAURR2AblkAJy,spotify:track:7GPLneLBvgAURR2AblkAJy
at the blue hour,Lenny Loops,Lenny Loops; Nokiaa,at the blue hour,54,56,4409,lo-fi; lo-fi hip hop; lo-fi beats,2024-09-02,1:44,False,https://open.spotify.com/track/5PXW1rFIHsKhU0LMSkinZn,spotify:track:5PXW1rFIHsKhU0LMSkinZn
Grumpy,Toti Cisneros,Toti Cisneros; Soul Food Horns,Grumpy,46,53,1932,jazz beats; lo-fi; lo-fi beats,2025-09-05,2:06,False,https://open.spotify.com/track/20hRPJqwALmS3KphqHeH2s,spotify:track:20hRPJqwALmS3KphqHeH2s
Beach Cat,Kurt Stewart,Kurt Stewart; Lomme,Beach Cat,47,51,3980,lo-fi hip hop; lo-fi; lo-fi beats,2025-07-15,2:22,False,https://open.spotify.com/track/2wU4RBVzUHVA8qijByBGsV,spotify:track:2wU4RBVzUHVA8qijByBGsV
A Bird's Last Look,Macabre Plaza,Macabre Plaza,Out With the Old in With the Taboo,62,52,241031,,2022-04-21,1:09,False,https://open.spotify.com/track/5omLpU1N0uN51OSXL62VAM,spotify:track:5omLpU1N0uN51OSXL62VAM
Enchanted Trees,No Spirit,No Spirit; Casiio,Puddles,53,62,20650,lo-fi hip hop; lo-fi; lo-fi beats,2025-09-08,2:46,False,https://open.spotify.com/track/3Zza9LuM3hAdIo7QbFE5SM,spotify:track:3Zza9LuM3hAdIo7QbFE5SM
Crates,Shoganai,Shoganai; Dosi; Lofi Girl,Lofi Girl - Back to school,49,38,77,lo-fi,2025-09-15,2:25,False,https://open.spotify.com/track/0yPqDeOY0gXdtmqtIgEjVT,spotify:track:0yPqDeOY0gXdtmqtIgEjVT
Noctilucent,Everglades,Everglades,Noctilucent,53,52,600,,2024-11-08,2:20,False,https://open.spotify.com/track/3m8aAgxiL7SMOTPym9s5Gx,spotify:track:3m8aAgxiL7SMOTPym9s5Gx
Ivory,MOVEMENT,MOVEMENT,MOVEMENT,46,43,74764,,2014-01-01,3:42,False,https://open.spotify.com/track/47prNzqRUL0L9z9qZRRbZj,spotify:track:47prNzqRUL0L9z9qZRRbZj
A small step toward the sky,evroulth,evroulth; Chillhop World,a false but beautiful world,44,42,23,lo-fi,2025-08-01,2:47,False,https://open.spotify.com/track/4oFaQ0abKACd8xGX3xszYV,spotify:track:4oFaQ0abKACd8xGX3xszYV
Singing Flowers,Mujo,Mujo,Singing Flowers,48,56,30868,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,2023-08-07,1:33,False,https://open.spotify.com/track/5nZh8vYe3kYeKnRG6gNp7U,spotify:track:5nZh8vYe3kYeKnRG6gNp7U
the day you left,les,les; forlorn,the day you left,57,52,14647,dark ambient; slowcore; ambient,2024-08-05,1:43,False,https://open.spotify.com/track/0KvFA2nckCvUKgx3SWMNi6,spotify:track:0KvFA2nckCvUKgx3SWMNi6
with purpose,steezy prime,steezy prime; fnonose,never alone,49,57,18278,lo-fi; lo-fi hip hop; lo-fi beats,2022-09-08,2:42,False,https://open.spotify.com/track/50Sw45eThlvwLzvmxXqG5g,spotify:track:50Sw45eThlvwLzvmxXqG5g
Mood Swings (feat. Lil Tjay),Pop Smoke,Pop Smoke; Lil Tjay,Shoot For The Stars Aim For The Moon,75,78,15557520,brooklyn drill; new york drill; drill,2020-07-03,3:33,True,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm,spotify:track:5rZlwNFl01HqLWBQGryKSm
Sand Dollar,Kurt Stewart,Kurt Stewart; Lomme,Beach Cat,47,51,3980,lo-fi hip hop; lo-fi; lo-fi beats,2025-07-15,2:37,False,https://open.spotify.com/track/2cKV7tUEv1rc0WXsrtMfJA,spotify:track:2cKV7tUEv1rc0WXsrtMfJA
