track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
BAKENOHANA,NAKISO,NAKISO,BAKENOHANA,55,53,167560,vocaloid,2024-10-23,1:56,False,https://open.spotify.com/track/3Nyt0xoTlordHqvBR1EvzG,spotify:track:3Nyt0xoTlordHqvBR1EvzG
Leaves,Palotree,Palotree; Aleen,"A Love Enlightened, Everlasting Now",0,5,82,,2023-02-07,4:18,False,https://open.spotify.com/track/3g7NJirmJTia5I6tHm1Vjq,spotify:track:3g7NJirmJTia5I6tHm1Vjq
Natural State,Cults,Cults,Offering,26,66,1242415,,2022-10-26,3:48,False,https://open.spotify.com/track/4T5J5o6f0gfXuhkjAmhnfb,spotify:track:4T5J5o6f0gfXuhkjAmhnfb
Sea Divine,Palotree,Palotree,Island of Gold,0,5,82,,2024-02-19,3:23,False,https://open.spotify.com/track/6JJPKvLWHFTxGjTPMC3JZV,spotify:track:6JJPKvLWHFTxGjTPMC3JZV
A Work Call,Frankie Cosmos,Frankie Cosmos,Inner World Peace,16,55,342698,bedroom pop,2022-10-21,3:01,False,https://open.spotify.com/track/6EoJGqZ2xlhAhnM4Zo0AVf,spotify:track:6EoJGqZ2xlhAhnM4Zo0AVf
Westerblo,Frank,Frank,The Power,0,23,1453,,2024-06-21,4:02,False,https://open.spotify.com/track/1ri5ZXkbAMpnOnyJOEz3fi,spotify:track:1ri5ZXkbAMpnOnyJOEz3fi
The Sparkling Realization,Frank,Frank,Moment,0,23,1453,,2023-02-23,4:08,False,https://open.spotify.com/track/4LMgCYUP9u5olVKeVR83jC,spotify:track:4LMgCYUP9u5olVKeVR83jC
Honey,Cults,Cults,To the Ghosts,17,66,1242415,,2024-07-26,4:09,False,https://open.spotify.com/track/41AxDEdbc1Rik0LDHCFb1S,spotify:track:41AxDEdbc1Rik0LDHCFb1S
cobra~,Corbon Amodio,Corbon Amodio,cobra~,22,48,62974,,2025-05-30,1:40,False,https://open.spotify.com/track/1fdQEQM1LHmTgScM6qf9XC,spotify:track:1fdQEQM1LHmTgScM6qf9XC
Everything's Alright,Palotree,Palotree,"A Love Enlightened, Everlasting Now",0,5,82,,2023-02-07,5:07,False,https://open.spotify.com/track/5n1L6Hi9To2AFwAsWgb5XD,spotify:track:5n1L6Hi9To2AFwAsWgb5XD
