artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Anitta,7FNnA9vBm6EKceENgCGRMb,82,13300116,brazilian pop; funk pop; brazilian funk; funk carioca,https://open.spotify.com/artist/7FNnA9vBm6EKceENgCGRMb,https://i.scdn.co/image/ab6761610000e5eb3aae7bbc4b88da35ac69923d
BLOW RECORDS,6N5PRAVXd4vXyXmKseP3jq,59,109326,,https://open.spotify.com/artist/6N5PRAVXd4vXyXmKseP3jq,https://i.scdn.co/image/ab6761610000e5eb3045d042a24d9cf6e3eb2c15
Brenno & Matheus,5aC2LaswbZgcf1G2uxqBxF,71,428127,agronejo; sertanejo; sertanejo universitário; piseiro,https://open.spotify.com/artist/5aC2LaswbZgcf1G2uxqBxF,https://i.scdn.co/image/ab6761610000e5ebbf19b1044d152d7aa06dfc13
MC GP,5s27i7oqhNWIcE4HeoVdq0,79,2234283,brazilian funk; funk consciente; trap funk,https://open.spotify.com/artist/5s27i7oqhNWIcE4HeoVdq0,https://i.scdn.co/image/ab6761610000e5eb1eafbb62aa29b68601be5d11
Felipe Amorim,3CIIaeZuFYrAD6PRVyuO4U,77,3405635,piseiro; forró; arrocha; sertanejo; agronejo; brega,https://open.spotify.com/artist/3CIIaeZuFYrAD6PRVyuO4U,https://i.scdn.co/image/ab6761610000e5ebca9fdfa9df9de3748c970db9
Repsaj,0jrirfCZkRU3iA2sH9JEko,71,331801,phonk; brazilian phonk,https://open.spotify.com/artist/0jrirfCZkRU3iA2sH9JEko,https://i.scdn.co/image/ab6761610000e5eb3ae2bed7b9bbe249615b0279
PEDRO SAMPAIO,5wbf52LA6kcaboHSN6NEF1,79,3227502,brazilian funk; funk pop; funk carioca; brazilian pop; brega funk,https://open.spotify.com/artist/5wbf52LA6kcaboHSN6NEF1,https://i.scdn.co/image/ab6761610000e5eb3dd0a55ca117602bec62cc64
Danilo e Davi,5DaqVKaxeqDbJuxaIP9m4u,71,440197,sertanejo; agronejo; sertanejo universitário,https://open.spotify.com/artist/5DaqVKaxeqDbJuxaIP9m4u,https://i.scdn.co/image/ab6761610000e5ebd6982a422d609e0986ecea5e
Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,86,6870847,pagode; samba,https://open.spotify.com/artist/6vTqEFbTtTRJsuIpzZgjxi,https://i.scdn.co/image/ab6761610000e5eb68f34b7f256e21cd1679d4fe
MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY,86,8005831,brazilian funk; funk consciente; trap funk,https://open.spotify.com/artist/75i9GaW2MJUgt4BkdUnuUY,https://i.scdn.co/image/ab6761610000e5eb5751de055799e71658c49655
NATTAN,1SXhEXzOTF7YeuQX59m7pT,78,3939052,piseiro; forró; sertanejo; arrocha; brega; seresta,https://open.spotify.com/artist/1SXhEXzOTF7YeuQX59m7pT,https://i.scdn.co/image/ab6761610000e5eb2d1474c7092cf2c929821780
Guilherme & Benuto,6m6e7D2TnV0aYMllFFwMxu,74,2200969,sertanejo; sertanejo universitário; agronejo; arrocha; piseiro,https://open.spotify.com/artist/6m6e7D2TnV0aYMllFFwMxu,https://i.scdn.co/image/ab6761610000e5eb6fa3634cb005f8d351ef9e89
Diego & Victor Hugo,3k68C6mNMJL6OaAdWeW2ZF,77,4091066,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro,https://open.spotify.com/artist/3k68C6mNMJL6OaAdWeW2ZF,https://i.scdn.co/image/ab6761610000e5eb713d2a5853dcb4e8dc06b6c9
Lauana Prado,6TYimByryGphZCtwYopH0y,76,6026719,sertanejo; sertanejo universitário,https://open.spotify.com/artist/6TYimByryGphZCtwYopH0y,https://i.scdn.co/image/ab6761610000e5ebf73ee6691b0961e308ba7643
MC Willian,5eJi7nckPalxu8R7AAyfuO,68,37115,brazilian funk; trap funk; funk consciente,https://open.spotify.com/artist/5eJi7nckPalxu8R7AAyfuO,https://i.scdn.co/image/ab6761610000e5ebef6c80a55fc6493cd0d2b97d
Ana Castela,2CKOmarVWvWqkNWUatHCex,82,9852510,sertanejo; agronejo; sertanejo universitário; piseiro,https://open.spotify.com/artist/2CKOmarVWvWqkNWUatHCex,https://i.scdn.co/image/ab6761610000e5ebf7a3bca3b0ed526f735ba4cd
DG e Batidão Stronda,7gIeuq2qBfYhO1budb6TSQ,65,112743,piseiro; arrocha; forró; brazilian funk,https://open.spotify.com/artist/7gIeuq2qBfYhO1budb6TSQ,https://i.scdn.co/image/ab6761610000e5ebb1b6298b4208d4b9efa31953
Turma do Pagode,5JG9GISYjRLQUJMH2C6iJ5,76,4051869,pagode; samba,https://open.spotify.com/artist/5JG9GISYjRLQUJMH2C6iJ5,https://i.scdn.co/image/ab6761610000e5ebd1152a6c6b63470d024ece42
Dj Caio Vieira,4Kv35Xnw1ODjO2nIHLhdBY,68,135464,brazilian funk; funk de bh,https://open.spotify.com/artist/4Kv35Xnw1ODjO2nIHLhdBY,https://i.scdn.co/image/ab6761610000e5ebae97ea97a4acbaa5a8c8ad8f
Suel,4hpKB93agzoncsTXEstSpK,66,713102,pagode; samba,https://open.spotify.com/artist/4hpKB93agzoncsTXEstSpK,https://i.scdn.co/image/ab6761610000e5eb43c1ff192f6bacfb1d103c39
Wesley Safadão,1AL2GKpmRrKXkYIcASuRFa,77,12469179,forró; sertanejo; piseiro; arrocha; sertanejo universitário; brega; seresta,https://open.spotify.com/artist/1AL2GKpmRrKXkYIcASuRFa,https://i.scdn.co/image/ab6761610000e5ebd19c0a4b9bdef344dd7efcbf
Felipe e Rodrigo,7gZu6kPnY9enEi5FvgTO4F,76,607986,sertanejo; sertanejo universitário; agronejo,https://open.spotify.com/artist/7gZu6kPnY9enEi5FvgTO4F,https://i.scdn.co/image/ab6761610000e5eb1c9ee0296cb319060c33aed1
MC Meno K,1CbQrKvCpEnekM3QMGJtXK,86,579534,brazilian funk; funk carioca; trap funk,https://open.spotify.com/artist/1CbQrKvCpEnekM3QMGJtXK,https://i.scdn.co/image/ab6761610000e5ebbb83e0b2decc9e04a0c78c8c
Mayke & Rodrigo,70l6HIf0rz8ZMQCW5qK6QI,64,38993,sertanejo; agronejo; sertanejo universitário; pagode; piseiro,https://open.spotify.com/artist/70l6HIf0rz8ZMQCW5qK6QI,https://i.scdn.co/image/ab6761610000e5eb13e32c0546c691941a6de3f2
Léo Santana,7KVJCU4z5L4EUHILL8aMxR,73,2466974,pagode baiano; axé; piseiro; pagode; arrocha; brazilian pop; brazilian funk,https://open.spotify.com/artist/7KVJCU4z5L4EUHILL8aMxR,https://i.scdn.co/image/ab6761610000e5eb4b1833eae283f8a60ec71f61
cjnobeat,4fKJ81BAFxuwAFUI3B1BXM,69,63555,brega funk; brazilian funk,https://open.spotify.com/artist/4fKJ81BAFxuwAFUI3B1BXM,https://i.scdn.co/image/ab6761610000e5eb67aaa7ce78ce3bdc38f66411
