track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Posso Até Não Te Dar Flores,DJ Japa NK,DJ Japa NK; MC Meno K; MC Ryan SP; Mc Jacaré; DJ DAVI DOGDOG,Posso Até Não Te Dar Flores,91,84,551550,brazilian funk; trap funk; funk consciente,2025-09-11,2:38,True,https://open.spotify.com/track/4G7bbgD2DHORU4frrWoCXp,spotify:track:4G7bbgD2DHORU4frrWoCXp
JETSKI,PEDRO SAMPAIO,PEDRO SAMPAIO; MC Meno K; Melody,JETSKI,87,80,3246579,brazilian funk; funk pop; funk carioca; brazilian pop; brega funk,2025-12-18,2:28,True,https://open.spotify.com/track/3jhyw60F61gc7nC4dblqtC,spotify:track:3jhyw60F61gc7nC4dblqtC
SET DO JAPA NK 2.0,DJ Japa NK,DJ Japa NK; MC Ryan SP; MC Meno K; Mc IG; MC LUUKY; Mc Jacaré; Mc Rodrigo do CN; MC GH do 7; Mc Lele JP; MC Jvila; Oruam,SET DO JAPA NK 2.0,86,84,551550,brazilian funk; trap funk; funk consciente,2025-11-20,8:38,True,https://open.spotify.com/track/1JZDwJgE9VSC0V2GR66z63,spotify:track:1JZDwJgE9VSC0V2GR66z63
Eu Me Apaixonei,Vitinho Imperador,Vitinho Imperador,Eu Me Apaixonei,86,71,526910,piseiro; forró; arrocha; brega; sertanejo; seresta,2025-02-27,3:25,False,https://open.spotify.com/track/4SjcIkVc4cvFgURD1EHxDM,spotify:track:4SjcIkVc4cvFgURD1EHxDM
Amo Minha Favela,DJ Japa NK,DJ Japa NK; MC Meno K,Amo Minha Favela,85,84,551550,brazilian funk; trap funk; funk consciente,2025-12-11,1:59,True,https://open.spotify.com/track/4S1SaaCxQ87nXpA2EfYFj4,spotify:track:4S1SaaCxQ87nXpA2EfYFj4
Vagabundo,Gusttavo Lima,Gusttavo Lima; Luis Fonsi,Vagabundo,85,84,23751961,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,2025-12-09,3:27,False,https://open.spotify.com/track/1mnMkTvrPi4iTblXaRvOoi,spotify:track:1mnMkTvrPi4iTblXaRvOoi
São Paulo (feat. Anitta),The Weeknd,The Weeknd; Anitta,Hurry Up Tomorrow,85,96,117667520,,2025-01-31,5:01,True,https://open.spotify.com/track/7DY756WOLyOz2Xnhw4EFiC,spotify:track:7DY756WOLyOz2Xnhw4EFiC
Deixa Eu - Ao Vivo,Murilo Huff,Murilo Huff,Acústico (Ao Vivo),85,78,2682206,sertanejo; sertanejo universitário; arrocha; agronejo,2025-08-14,2:38,False,https://open.spotify.com/track/2Hw0LzrD6ic8AckKBxJhiO,spotify:track:2Hw0LzrD6ic8AckKBxJhiO
Diário de um Cafajeste,DJ Oreia,DJ Oreia; Mc Lele JP; MC Meno K; MC Ryan SP; MC Tuto; Mc Negão Original,Diário de um Cafajeste,84,76,510047,brazilian funk; funk consciente; trap funk,2025-11-06,5:57,True,https://open.spotify.com/track/6kaWah1Acn1dtNjAy6sm1p,spotify:track:6kaWah1Acn1dtNjAy6sm1p
FAMOSINHA,Dj Caio Vieira,Dj Caio Vieira; MC Meno K; Mc Rodrigo do CN,FAMOSINHA,84,68,137388,brazilian funk; funk de bh,2025-02-28,2:13,True,https://open.spotify.com/track/5Nj2UVsxXAvhfYNpcre3al,spotify:track:5Nj2UVsxXAvhfYNpcre3al
Pelo Bem da Minha Saudade,Gusttavo Lima,Gusttavo Lima,Feito À Mão Vol. 01,83,84,23751961,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,2025-08-13,2:51,False,https://open.spotify.com/track/2W8XL6iRGMmGHpqW2TKcXc,spotify:track:2W8XL6iRGMmGHpqW2TKcXc
Vai Tomando Pock Pock,Mc Lele JP,Mc Lele JP; MC Leozinho ZS; MC GH Original; MC Menor ZL; MC Meno K; DJ GORDINHO DA VF; MC PR,Chatão,83,83,1422008,brazilian funk; funk consciente; trap funk,2025-08-07,5:35,True,https://open.spotify.com/track/020De83tFmcTrgEpzdUCNS,spotify:track:020De83tFmcTrgEpzdUCNS
Saudade do Carai,Mari Fernandez,Mari Fernandez; Grelo; Natanzinho Lima,Saudade do Carai,83,73,4090416,piseiro; sertanejo; forró; arrocha; agronejo; sertanejo universitário,2025-11-20,2:50,False,https://open.spotify.com/track/0HixceBFegrCY3GFBB7SlQ,spotify:track:0HixceBFegrCY3GFBB7SlQ
"Desliza (""Ólhinho"" No Corpinho)",Léo Santana,Léo Santana; Melody,"Desliza (""Ólhinho"" No Corpinho)",83,73,2469843,pagode baiano; axé; piseiro; pagode; arrocha; brazilian pop; brazilian funk,2025-05-16,2:26,False,https://open.spotify.com/track/2gLUZtZN1gfercLP9guft3,spotify:track:2gLUZtZN1gfercLP9guft3
Apaga Apaga Apaga - Ao Vivo,Danilo e Davi,Danilo e Davi,Toma Essa Verdade (Ao Vivo),83,71,446495,sertanejo; agronejo; sertanejo universitário,2024-08-09,2:58,False,https://open.spotify.com/track/17tg01y3RhlfRKMnd333yL,spotify:track:17tg01y3RhlfRKMnd333yL
P do Pecado - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; Simone Mendes,MOLHO (Ao Vivo),82,86,6923314,pagode; samba,2025-10-16,3:12,False,https://open.spotify.com/track/38Ps9Kui6qJjpVqdBOfN5M,spotify:track:38Ps9Kui6qJjpVqdBOfN5M
Pela Última Vez - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; NATTAN,MOLHO (Ao Vivo),82,86,6923314,pagode; samba,2025-10-16,2:42,False,https://open.spotify.com/track/6B7ot6Wlqf7zt3FCkYl2FJ,spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ
Baqueado - Ao Vivo,Panda,Panda; Ícaro e Gilmar; MJ Records,Panda Sem Moderação (Ao Vivo),82,85,442396,sertanejo; sertanejo universitário,2024-12-19,2:26,False,https://open.spotify.com/track/25CffgwZg6vlUdCsHJijZo,spotify:track:25CffgwZg6vlUdCsHJijZo
Calcinha de Renda - Ao Vivo,Panda,Panda; Gusttavo Lima; MJ Records,Calcinha de Renda (Ao Vivo),82,85,442396,sertanejo; sertanejo universitário,2025-11-26,3:19,False,https://open.spotify.com/track/2a9WkloaIu64sryr4JTdTi,spotify:track:2a9WkloaIu64sryr4JTdTi
Despacito,Luis Fonsi,Luis Fonsi; Daddy Yankee,VIDA,82,78,11101544,latin,2019-02-01,3:49,False,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,spotify:track:6habFhsOp2NvshLv26DqMb
Ama Um Maloqueiro,Rafa e Junior,Rafa e Junior; Hugo & Guilherme; DJ Ari SL,Ama Um Maloqueiro,82,67,31230,agronejo; sertanejo; sertanejo universitário,2025-05-22,2:42,False,https://open.spotify.com/track/2ejSYn4SfoE07mXPlnYVED,spotify:track:2ejSYn4SfoE07mXPlnYVED
Ignora (Ao Vivo),Felipe e Rodrigo,Felipe e Rodrigo,Velhos Hábitos Vol. 1 (Ao Vivo),82,76,612277,sertanejo; sertanejo universitário; agronejo,2025-12-04,2:59,False,https://open.spotify.com/track/0dI5yI0wplyuwBMEGKXeJC,spotify:track:0dI5yI0wplyuwBMEGKXeJC
Gauchinha,DJ Japa NK,DJ Japa NK; MC Meno K; MC Ryan SP; Mc Brinquedo; MC LUUKY,Beat Que Te Deixa Alerta,81,84,551550,brazilian funk; trap funk; funk consciente,2025-12-17,4:33,False,https://open.spotify.com/track/7qqixxBvZIGSep53Eh2o0b,spotify:track:7qqixxBvZIGSep53Eh2o0b
