artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Analogue Alf,4FVJdMWSQhn3zO1NKxMHAi,51,183,lo-fi beats; lo-fi,https://open.spotify.com/artist/4FVJdMWSQhn3zO1NKxMHAi,https://i.scdn.co/image/ab67616d0000b2730bd4728824ff27ab9def9a32
mellow fox,2VVDDOoBIhsMVPJMoUXjUE,52,14233,lo-fi,https://open.spotify.com/artist/2VVDDOoBIhsMVPJMoUXjUE,https://i.scdn.co/image/ab6761610000e5eb3e27ee867de36175593eda91
saint rumi,4KZj9rS07i3nfijzVtkqMQ,50,1197,jazz beats; lo-fi,https://open.spotify.com/artist/4KZj9rS07i3nfijzVtkqMQ,https://i.scdn.co/image/ab6761610000e5eb00132527a8c594f2129c40a2
Jonny Wolf,4hej44aTHWnoNziIuwNtwS,37,2856,lo-fi; lo-fi beats,https://open.spotify.com/artist/4hej44aTHWnoNziIuwNtwS,https://i.scdn.co/image/ab6761610000e5ebcfea01f8021a92c8f6d89191
terrarium.,7H9kbms3gRPcNY8L850Uxf,42,307,lo-fi; lo-fi beats; jazz beats,https://open.spotify.com/artist/7H9kbms3gRPcNY8L850Uxf,https://i.scdn.co/image/ab6761610000e5eb0cad37fd0e82c5981b5a549a
Philanthrope,13ACz7DIictCpSYGglNTHs,52,48029,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,https://open.spotify.com/artist/13ACz7DIictCpSYGglNTHs,https://i.scdn.co/image/ab6761610000e5eba29596e6a4e53b83d2b002d2
Vincent Rayn,3zWwvS0OdQwTploEQjT1VG,48,2065,lo-fi beats; lo-fi,https://open.spotify.com/artist/3zWwvS0OdQwTploEQjT1VG,https://i.scdn.co/image/ab6761610000e5eb4722293311f72fd12d475ab9
Ptr.,6NjVgE12RKrH5MjW9Tgd0o,49,4717,chillstep,https://open.spotify.com/artist/6NjVgE12RKrH5MjW9Tgd0o,https://i.scdn.co/image/ab6761610000e5eb2fbc34a4c23ab87c6f66f8ed
Toti Cisneros,2RzBTtaoFmXDvt5vP8lPYf,52,2007,jazz beats; lo-fi; lo-fi beats,https://open.spotify.com/artist/2RzBTtaoFmXDvt5vP8lPYf,https://i.scdn.co/image/ab6761610000e5ebae31965f91e1df7ebc2d70f4
G Sounds,0C7tVaY5qlP5YgYh7DSUoJ,52,36157,,https://open.spotify.com/artist/0C7tVaY5qlP5YgYh7DSUoJ,https://i.scdn.co/image/ab6761610000e5ebcf8e66a10d55011d1428996c
butterfli,6A3Fdu30Vz62jf3XP5pLy5,50,195,lo-fi; lo-fi beats,https://open.spotify.com/artist/6A3Fdu30Vz62jf3XP5pLy5,https://i.scdn.co/image/ab67616d0000b27311bfe5af897973e9f9e227bc
amies,2zNmlxTlRfyMAAifd2f71Q,57,8704,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/2zNmlxTlRfyMAAifd2f71Q,https://i.scdn.co/image/ab6761610000e5eb81176a52fb6009d9027e3367
Mellow Melt,6Ur5qbkaIdwqygJFTTjyHJ,50,529,lo-fi,https://open.spotify.com/artist/6Ur5qbkaIdwqygJFTTjyHJ,https://i.scdn.co/image/ab67616d0000b27321bc7b8508b0898e60e0202f
Brxvs,3LoO7TNHi4wqe78tsBMMv5,48,1007,lo-fi; lo-fi beats,https://open.spotify.com/artist/3LoO7TNHi4wqe78tsBMMv5,https://i.scdn.co/image/ab6761610000e5ebce8f113f3930cfa2763f7420
Fugee,6xtxoTYp3AgomC2pfUKl8Q,49,2228,medieval; lo-fi,https://open.spotify.com/artist/6xtxoTYp3AgomC2pfUKl8Q,https://i.scdn.co/image/ab6761610000e5eb2c8959b7e127c0a39513786d
mommy,0DJoMHFNyxWdoGqi8XMdfk,43,25384,lo-fi beats; lo-fi; lo-fi hip hop,https://open.spotify.com/artist/0DJoMHFNyxWdoGqi8XMdfk,https://i.scdn.co/image/ab6761610000e5ebaceafcbe590d77ac42f03dc4
Cloudroom,6x4p39bu2ObskR6pMFFh6Z,51,135,lo-fi beats; lo-fi,https://open.spotify.com/artist/6x4p39bu2ObskR6pMFFh6Z,https://i.scdn.co/image/ab6761610000e5eb36359edd2671294c5daecc2a
Towerz,1bbah9s09626gweOzzLbKG,53,11275,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/1bbah9s09626gweOzzLbKG,https://i.scdn.co/image/ab6761610000e5eb6c21c70624087c2b33e2397d
vimef,1xUOwpofiLq183kHa1Y8cb,36,485,lo-fi; lo-fi beats,https://open.spotify.com/artist/1xUOwpofiLq183kHa1Y8cb,https://i.scdn.co/image/ab6761610000e5eb19ed7c7086006cc49ffee89d
ourchase,1zvfbLdrzYE5C41tjeLwkW,48,195,lo-fi; lo-fi beats,https://open.spotify.com/artist/1zvfbLdrzYE5C41tjeLwkW,https://i.scdn.co/image/ab67616d0000b273396a89f358a81646ed6259b8
Kainbeats,4n9z9czt00gzw36hdoVU3G,59,20744,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/4n9z9czt00gzw36hdoVU3G,https://i.scdn.co/image/ab6761610000e5eb3f418f5a0f8fc8bfae220496
cxlt.,1TFqjcoVis5TzVQxrHMSfA,60,9253,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/1TFqjcoVis5TzVQxrHMSfA,https://i.scdn.co/image/ab6761610000e5eb34f63f9738ed37543a3d90c7
Project AER,0iMWUBpWAGKAenBVePrZFP,49,7985,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/0iMWUBpWAGKAenBVePrZFP,https://i.scdn.co/image/ab6761610000e5eba6804d9e4607d940b5903b05
Flitz&Suppe,49WbztFLx9iDTh8LHEIF84,51,26809,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,https://open.spotify.com/artist/49WbztFLx9iDTh8LHEIF84,https://i.scdn.co/image/ab6761610000e5ebefbf19361a230077dd4f9cea
nate2timez,0vABYweyJunNI8gFdnxXps,51,1815,dark ambient; lo-fi,https://open.spotify.com/artist/0vABYweyJunNI8gFdnxXps,https://i.scdn.co/image/ab6761610000e5eb44f77d260b6a0cfa9e795b69
jaackson,1Mvzmc04DfxzjMsV6oCohI,49,1656,lo-fi beats; lo-fi; jazz beats; lo-fi hip hop,https://open.spotify.com/artist/1Mvzmc04DfxzjMsV6oCohI,https://i.scdn.co/image/ab6761610000e5ebc045a1d88a005f3725aeced1
sad notes,6LlMF86oZBZG1nvkIkso0A,50,253,lo-fi,https://open.spotify.com/artist/6LlMF86oZBZG1nvkIkso0A,https://i.scdn.co/image/ab67616d0000b273fdb09eb5189962b461702291
lorleaf,4dIQxgH4s739dGAHaKAw0y,51,2437,lo-fi beats; lo-fi; jazz beats,https://open.spotify.com/artist/4dIQxgH4s739dGAHaKAw0y,https://i.scdn.co/image/ab6761610000e5ebcbff5b3d0e78524007e8d9f7
Erwin Do,4EUMzs3VfIVjB5yrHv153S,57,4724,jazz beats; lo-fi; lo-fi beats,https://open.spotify.com/artist/4EUMzs3VfIVjB5yrHv153S,https://i.scdn.co/image/ab6761610000e5eb838403ed4710e964fb0f27b0
Slowday,4twRiTv6fnJpXOReoe8bmz,52,739,lo-fi; lo-fi beats,https://open.spotify.com/artist/4twRiTv6fnJpXOReoe8bmz,https://i.scdn.co/image/ab67616d0000b2734cd4dbdffcb978e71e63d062
lilibu,2GAEdgtVHrKsjcHqwUFjpI,53,2559,lo-fi; lo-fi beats,https://open.spotify.com/artist/2GAEdgtVHrKsjcHqwUFjpI,https://i.scdn.co/image/ab67616d0000b2736bd53398ed3a7d664698e47e
Tatami Construct,3DS80e9pCgy5RyTztgncuC,44,2595,lo-fi; lo-fi hip hop,https://open.spotify.com/artist/3DS80e9pCgy5RyTztgncuC,https://i.scdn.co/image/ab67616d0000b273f58d8e767c10fb902bc4f9d8
Theo Aabel,6yxMxVw1MRLoB9EJWO5XVe,50,2380,lo-fi,https://open.spotify.com/artist/6yxMxVw1MRLoB9EJWO5XVe,https://i.scdn.co/image/ab6761610000e5ebc841913777e5c811fced1899
