track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Break Away,amies,amies; cxlt.,After All,52,56,8587,lo-fi hip hop; lo-fi; lo-fi beats,2022-06-20,3:00,False,https://open.spotify.com/track/2AX37VHtK5HB0pO8fNog3t,spotify:track:2AX37VHtK5HB0pO8fNog3t
gravenhurst,Brxvs,Brxvs; jaackson,the weekend autumn came,26,47,979,lo-fi; lo-fi beats,2025-11-28,2:02,False,https://open.spotify.com/track/0pAhZHKC97VB1B0QlkmTUT,spotify:track:0pAhZHKC97VB1B0QlkmTUT
hibernation,Theo Aabel,Theo Aabel; after noon,sova,42,49,2332,lo-fi,2025-08-13,2:57,False,https://open.spotify.com/track/6f1H1Q4Ke3xHIVb9DLdk6J,spotify:track:6f1H1Q4Ke3xHIVb9DLdk6J
everything you say,mommy,mommy; Philanthrope,Inaudible,43,42,25345,lo-fi beats; lo-fi; lo-fi hip hop,2018-11-21,2:38,False,https://open.spotify.com/track/4AGuFUu5ByoPbbFOqqFncE,spotify:track:4AGuFUu5ByoPbbFOqqFncE
Brooklyn Sunrise,saint rumi,saint rumi; Erwin Do,Brooklyn Sunrise,29,50,1154,jazz beats; lo-fi,2025-12-15,1:53,False,https://open.spotify.com/track/7nyLKm5YyGmxmTvwgMLGXF,spotify:track:7nyLKm5YyGmxmTvwgMLGXF
34th Street,Philanthrope,Philanthrope; dennisivnvc,34th Street,40,52,47867,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,2024-11-18,1:44,False,https://open.spotify.com/track/1LZLPcakSzvQeB8p1cqowZ,spotify:track:1LZLPcakSzvQeB8p1cqowZ
come with me,Theo Aabel,Theo Aabel; marsquake,come with me,58,49,2332,lo-fi,2025-11-25,2:40,False,https://open.spotify.com/track/79II8QZ08SaeS7QWfi7iSS,spotify:track:79II8QZ08SaeS7QWfi7iSS
Wash Away,Ptr.,Ptr.,Wash Away,46,48,4681,chillstep,2025-10-10,2:02,False,https://open.spotify.com/track/2qtWHkBQxCcxNgBOzPnAQZ,spotify:track:2qtWHkBQxCcxNgBOzPnAQZ
untethered,mellow fox,mellow fox,beautiful dreams come true.,29,50,14042,lo-fi,2024-12-27,2:06,False,https://open.spotify.com/track/4NmbLwrKTfC0AD0wWdU4ij,spotify:track:4NmbLwrKTfC0AD0wWdU4ij
fika,mellow fox,mellow fox,mellow beats for broken hearts,35,50,14042,lo-fi,2025-02-14,1:44,False,https://open.spotify.com/track/0pDm5TuD3kEVKigLEF4Hhg,spotify:track:0pDm5TuD3kEVKigLEF4Hhg
ghee,lilibu,lilibu,ghee,60,53,2487,lo-fi; lo-fi beats,2024-10-20,3:00,False,https://open.spotify.com/track/2tIuYjDRwnJfJEt4uDEjRl,spotify:track:2tIuYjDRwnJfJEt4uDEjRl
Ice Skating,Brxvs,Brxvs; softy,Ice Skating,43,47,979,lo-fi; lo-fi beats,2025-12-04,3:00,False,https://open.spotify.com/track/21t3mv10Bsg1aqT84W0gZn,spotify:track:21t3mv10Bsg1aqT84W0gZn
Transmission,Philanthrope,Philanthrope,Transmission,40,52,47867,lo-fi beats; lo-fi hip hop; lo-fi; jazz beats,2025-01-31,1:53,False,https://open.spotify.com/track/3oP3RjoluRX6gZSHVHsJim,spotify:track:3oP3RjoluRX6gZSHVHsJim
Iron Fist,Fugee,Fugee,Mirth & Mayhem,37,49,2168,medieval; lo-fi,2024-08-15,2:26,False,https://open.spotify.com/track/1qAt6e4TPgxtpNJCRmgZ8o,spotify:track:1qAt6e4TPgxtpNJCRmgZ8o
