track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Pressure,mark william lewis,mark william lewis; Sokora Violetov,Pressure / Titanic,32,48,36524,,2023-03-20,3:18,False,https://open.spotify.com/track/0C8jgD7Ts7Ib4wkNvdpway,spotify:track:0C8jgD7Ts7Ib4wkNvdpway
Qewl,Sokora Violetov,Sokora Violetov,Qewl,33,25,2281,,2022-08-02,2:36,False,https://open.spotify.com/track/2RRnxTHnThn6zcaXM3lXE6,spotify:track:2RRnxTHnThn6zcaXM3lXE6
Titanic,mark william lewis,mark william lewis; Sokora Violetov,Pressure / Titanic,35,48,36524,,2023-03-20,3:38,False,https://open.spotify.com/track/69tvlp8g6quolZRb86LEjE,spotify:track:69tvlp8g6quolZRb86LEjE
youdoyou,Camille Keller,Camille Keller,youdoyou,5,30,4364,,2023-10-09,2:49,False,https://open.spotify.com/track/283S2RphTvf0LwLqpgTHYj,spotify:track:283S2RphTvf0LwLqpgTHYj
Dresscode,Camille Keller,Camille Keller,Dresscode,5,30,4364,,2021-07-01,1:16,False,https://open.spotify.com/track/0LIT4d8BBoJeNbnvC5eSfJ,spotify:track:0LIT4d8BBoJeNbnvC5eSfJ
Mid backstabber,Camille Keller,Camille Keller,Mid backstabber,5,30,4364,,2023-05-09,2:10,False,https://open.spotify.com/track/41wzh39RDcLthvMd1M4s82,spotify:track:41wzh39RDcLthvMd1M4s82
Get it,Camille Keller,Camille Keller,Get it,5,30,4364,,2023-12-13,2:14,False,https://open.spotify.com/track/49YwyQmRMMvANfZbQ34IfV,spotify:track:49YwyQmRMMvANfZbQ34IfV
Goinlike++,Camille Keller,Camille Keller,Goinlike++,6,30,4364,,2022-10-14,1:51,False,https://open.spotify.com/track/6HrgZKTFKFxgwpc4IqooXB,spotify:track:6HrgZKTFKFxgwpc4IqooXB
dog-tired,Camille Keller,Camille Keller,dog-tired,7,30,4364,,2022-03-06,2:21,False,https://open.spotify.com/track/0wUg8iXfdappkAD5pieM60,spotify:track:0wUg8iXfdappkAD5pieM60
Shot for me (feat. Dallae),Camille Keller,Camille Keller; Dallae,Williamsburg (feat. Deon Senia) / Shot for me (feat. Dallae),8,30,4364,,2024-06-04,2:20,True,https://open.spotify.com/track/4BQaGuNO1C5GY4EGUb9l3z,spotify:track:4BQaGuNO1C5GY4EGUb9l3z
7:30 AM,Camille Keller,Camille Keller,7:30 AM,8,30,4364,,2021-08-15,1:50,False,https://open.spotify.com/track/35aceUjPYvZ6Rbz5eK1PUX,spotify:track:35aceUjPYvZ6Rbz5eK1PUX
G-LIP,Camille Keller,Camille Keller,G-LIP,9,30,4364,,2025-03-26,2:17,True,https://open.spotify.com/track/5WrUQfNvq0R5AWi6IVczLG,spotify:track:5WrUQfNvq0R5AWi6IVczLG
Perfect Comms,Eterna,Eterna,Whatever Reason,0,30,8852,,2024-09-17,2:49,False,https://open.spotify.com/track/0Eo0MNpacYwf7vBL953gNV,spotify:track:0Eo0MNpacYwf7vBL953gNV
Whatever Reason,Eterna,Eterna,Whatever Reason,1,30,8852,,2024-09-17,4:32,False,https://open.spotify.com/track/4Uq4JA8zuYYBtbjqAmFcmo,spotify:track:4Uq4JA8zuYYBtbjqAmFcmo
Don't Throw Dishes at Me,Eterna,Eterna; Paz Maddio,Evening Came,3,30,8852,,2020-07-16,3:49,False,https://open.spotify.com/track/36enu3RRExpmDoLv2DRzkR,spotify:track:36enu3RRExpmDoLv2DRzkR
Moth,Eterna,Eterna,Evening Came,3,30,8852,,2020-07-16,2:48,False,https://open.spotify.com/track/4BfBFTUaWUMrieI8vZhWM1,spotify:track:4BfBFTUaWUMrieI8vZhWM1
Stay,Eterna,Eterna; Amalcrossing,Evening Came,3,30,8852,,2020-07-16,4:24,False,https://open.spotify.com/track/6LhbsXyGsPUVicyQ6Vx0Jc,spotify:track:6LhbsXyGsPUVicyQ6Vx0Jc
