persona,track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
beatriz,Posso Até Não Te Dar Flores,DJ Japa NK,DJ Japa NK; MC Meno K; MC Ryan SP; Mc Jacaré; DJ DAVI DOGDOG,Posso Até Não Te Dar Flores,92,83,435160,brazilian funk; trap funk; funk consciente,2025-09-11,2:38,True,https://open.spotify.com/track/4G7bbgD2DHORU4frrWoCXp,spotify:track:4G7bbgD2DHORU4frrWoCXp
beatriz,Eu Me Apaixonei,Vitinho Imperador,Vitinho Imperador,Eu Me Apaixonei,88,72,515696,piseiro; forró; arrocha; brega; sertanejo; seresta,2025-02-27,3:25,False,https://open.spotify.com/track/4SjcIkVc4cvFgURD1EHxDM,spotify:track:4SjcIkVc4cvFgURD1EHxDM
beatriz,"SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam)",DJ Japa NK,DJ Japa NK; MC Ryan SP; MC Meno K; Mc IG; MC LUUKY; Mc Jacaré; Mc Rodrigo do CN; MC GH do 7; Mc Lele JP; MC Jvila; Oruam,"SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam)",87,83,435160,brazilian funk; trap funk; funk consciente,2025-11-20,8:38,True,https://open.spotify.com/track/1JZDwJgE9VSC0V2GR66z63,spotify:track:1JZDwJgE9VSC0V2GR66z63
beatriz,Deixa Eu - Ao Vivo,Murilo Huff,Murilo Huff,Acústico (Ao Vivo),87,78,2640927,sertanejo; sertanejo universitário; arrocha; agronejo,2025-08-14,2:38,False,https://open.spotify.com/track/2Hw0LzrD6ic8AckKBxJhiO,spotify:track:2Hw0LzrD6ic8AckKBxJhiO
beatriz,FAMOSINHA,Dj Caio Vieira,Dj Caio Vieira; MC Meno K; Mc Rodrigo do CN,FAMOSINHA,85,68,129626,brazilian funk; funk de bh,2025-02-28,2:13,True,https://open.spotify.com/track/5Nj2UVsxXAvhfYNpcre3al,spotify:track:5Nj2UVsxXAvhfYNpcre3al
beatriz,Vagabundo,Gusttavo Lima,Gusttavo Lima; Luis Fonsi,Vagabundo,85,83,23664478,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,2025-12-09,3:27,False,https://open.spotify.com/track/1mnMkTvrPi4iTblXaRvOoi,spotify:track:1mnMkTvrPi4iTblXaRvOoi
beatriz,Apaga Apaga Apaga - Ao Vivo,Danilo e Davi,Danilo e Davi,Toma Essa Verdade (Ao Vivo),85,72,394818,sertanejo; agronejo; sertanejo universitário,2024-08-09,2:58,False,https://open.spotify.com/track/17tg01y3RhlfRKMnd333yL,spotify:track:17tg01y3RhlfRKMnd333yL
beatriz,P do Pecado - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; Simone Mendes,MOLHO (Ao Vivo),84,87,6707740,pagode; samba,2025-10-16,3:12,False,https://open.spotify.com/track/38Ps9Kui6qJjpVqdBOfN5M,spotify:track:38Ps9Kui6qJjpVqdBOfN5M
beatriz,Baqueado - Ao Vivo,Panda,Panda; Ícaro e Gilmar; MJ Records,Panda Sem Moderação (Ao Vivo),84,84,350881,sertanejo; sertanejo universitário,2024-12-19,2:26,False,https://open.spotify.com/track/25CffgwZg6vlUdCsHJijZo,spotify:track:25CffgwZg6vlUdCsHJijZo
beatriz,Se Eu Te Perdoar - Ao Vivo,Clayton & Romário,Clayton & Romário; Zé Felipe,Se Eu Te Perdoar (Ao Vivo),84,73,829386,sertanejo; sertanejo universitário; agronejo; arrocha,2025-09-11,2:44,False,https://open.spotify.com/track/4c4tcqYfqiFc527gqNdRE5,spotify:track:4c4tcqYfqiFc527gqNdRE5
beatriz,Ama Um Maloqueiro,Rafa e Junior,Rafa e Junior; Hugo & Guilherme; DJ Ari SL,Ama Um Maloqueiro,84,68,30298,agronejo; sertanejo; sertanejo universitário,2025-05-22,2:42,False,https://open.spotify.com/track/2ejSYn4SfoE07mXPlnYVED,spotify:track:2ejSYn4SfoE07mXPlnYVED
beatriz,"Desliza (""Ólhinho"" No Corpinho)",Léo Santana,Léo Santana; Melody,"Desliza (""Ólhinho"" No Corpinho)",83,73,2459200,pagode baiano; axé; piseiro; pagode; arrocha; brazilian pop; brazilian funk,2025-05-16,2:26,False,https://open.spotify.com/track/2gLUZtZN1gfercLP9guft3,spotify:track:2gLUZtZN1gfercLP9guft3
beatriz,Pela Última Vez - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais; NATTAN,MOLHO (Ao Vivo),82,87,6707740,pagode; samba,2025-10-16,2:42,False,https://open.spotify.com/track/6B7ot6Wlqf7zt3FCkYl2FJ,spotify:track:6B7ot6Wlqf7zt3FCkYl2FJ
beatriz,Coração Partido (Corazón Partío) - Ao Vivo,Grupo Menos É Mais,Grupo Menos É Mais,Churrasquinho 3 (Ao Vivo),82,87,6707740,pagode; samba,2024-11-14,3:15,False,https://open.spotify.com/track/6Kyl2nFgU0J8WBlbBvDv6g,spotify:track:6Kyl2nFgU0J8WBlbBvDv6g
beatriz,Última Saudade - Ao Vivo,Henrique & Juliano,Henrique & Juliano,Manifesto Musical 2 (Ao Vivo / Vol.1),82,87,31266099,sertanejo; sertanejo universitário; arrocha; agronejo,2024-12-13,2:30,False,https://open.spotify.com/track/4y93vvzu2h8MITw7YyUTcI,spotify:track:4y93vvzu2h8MITw7YyUTcI
beatriz,Diário de um Cafajeste,DJ Oreia,DJ Oreia; Mc Lele JP; MC Meno K; MC Ryan SP; MC Tuto; Mc Negão Original,Diário de um Cafajeste,82,75,497556,brazilian funk; funk consciente; trap funk,2025-11-06,5:57,True,https://open.spotify.com/track/6kaWah1Acn1dtNjAy6sm1p,spotify:track:6kaWah1Acn1dtNjAy6sm1p
