name,id,uri,followers,genres,popularity,top_tracks
Dean Blunt,5CFSYjc0PAiQvndFjafabk,spotify:artist:5CFSYjc0PAiQvndFjafabk,498037,art pop,68,9; 100; 5; Rinsed; Galice; the rot; tears on his rings and chains; 50 CENT; LUSH; pj harvey cover
spirit blue,49JcjxYnQNsELWLqtzIycx,spotify:artist:49JcjxYnQNsELWLqtzIycx,29142,,51,desire machine; language; perfect storm
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L,spotify:artist:4MdQ9btIlh6rzIMA19tu3L,44569,,50,Slacker; 11; 10; she's lost control again; SASSY; 5; repeat offenders; Gown; 6; Ghost
mark william lewis,2r5elgyPQ19vDG3xSQn39k,spotify:artist:2r5elgyPQ19vDG3xSQn39k,34921,,48,Petals; Tomorrow is Perfect; Thinner; Still Above; Pleasure Is Everything; Ecstatic Heads; Cold Paris Vogue; Skeletons Coupling; Seventeen; Painkillers
Chanel Beads,3x11XrMEnyP18hv73pmKRL,spotify:artist:3x11XrMEnyP18hv73pmKRL,54169,lo-fi indie,48,Police Scanner; Ef; The Coward Forgets His Nightmare; Ache; Embarrassed Dog; I Think I Saw; True Altruism; Dedicated To The World; Idea June; Unifying Thought
bar italia,6tYmTHApvspl6KAgTfHjAY,spotify:artist:6tYmTHApvspl6KAgTfHjAY,89067,lo-fi indie,47,Fundraiser; Missus Morality; rooster; omni shambles; Cowbella; Nurse!; Marble Arch; I Make My Own Dust; skylinny; bad reputation
Inga Copeland,1ZdoULgEhBXOV2g3j3Zhhi,spotify:artist:1ZdoULgEhBXOV2g3j3Zhhi,29157,,43,2; 8; Obsession 2; 11; 5; 9; (Venice Dreamway); 4; 3; A&E
Samba Jean-Baptiste,7nfBxjb99prCqaT3wk87u5,spotify:artist:7nfBxjb99prCqaT3wk87u5,9452,,40,born again freestyle (shed a tear).mp3; Girls Dance Alone; I Could've Cried; Unfamiliar Heaven; Seven Less Functions; Say So; Foreign Eye; Perfect & Learning; Talk / Pleasure; Windows
Double Virgo,6z7qEMTNZigz2k3qozRYw1,spotify:artist:6z7qEMTNZigz2k3qozRYw1,20126,shoegaze,37,Kicked Out by Seven; Burning Bridges; Were there originals; Centaurella 44; Splashy; due dilettante; No Sweat; Bingethinking; bemused; Chlorine
Michael Angelo,0EYOrtqjnw8JGhxOE8XVRp,spotify:artist:0EYOrtqjnw8JGhxOE8XVRp,1266,,36,Nubian Queen; Sorcerer's Delight; Hearts Unspoken - Alex Leavon Remix; Flight of Pegasus; The World to Be; Disconnected - Myon & Shane 54 Vocal Mix; Oceans of Fantasy; Field of Lonely Eyes; Test Drive - Radio Edit; Lost in the Pain
untitled (halo),3r9Q5Yy2TA8QG4CtJlvhIn,spotify:artist:3r9Q5Yy2TA8QG4CtJlvhIn,14336,shoegaze,34,el prado freestyle; intrusive; finding god in the cut; 020; Pedal Petal; that's honey; emo is good; limewire; blunt subconscious; sKill isSue
S.Maharba,52RUBnagkvIajEJFXM5AXN,spotify:artist:52RUBnagkvIajEJFXM5AXN,25494,plunderphonics,33,W.I.G.T.S.; S.I.T.W.S.M.; Good Girl; Girls In Pearls; Afternoon; Girls On The Roof; Bruised Legs; For Someone; Nice To Meet You; Jacket Switch
Ydegirl,3YAUbceL2MyJfajlikdn1V,spotify:artist:3YAUbceL2MyJfajlikdn1V,8487,,33,Stone Femmes; Let's Make Out; Spirals On My Tongue; Emo Regulation; Amber; Clayboy; I need this; Quizzical; TMN; mx-bank notes
Lee Ikari,33v18PhXgZvDAjihaxiiJc,spotify:artist:33v18PhXgZvDAjihaxiiJc,1867,cloud rap; experimental hip hop,30,Mexico 66; want you(nowhere); septemberfreestyle; My First; sickaugustfreestyle; F/W21; bumptwinsdeep; 2008 Tv Programming; last train; Dummy (feat. Chriss)
Camille Keller,3cSFP8ZUJeHzJaPdHtdl0F,spotify:artist:3cSFP8ZUJeHzJaPdHtdl0F,4063,,30,dog-tired; FW2028; G-LIP; youdoyou; Something Off; BWWS+; Jaam; Shot for me (feat. Dallae); Back East; Mid backstabber
Eterna,7ekeXKGdf5os6oYTZgKTQP,spotify:artist:7ekeXKGdf5os6oYTZgKTQP,8660,,29,Twice; So different; Trickster; Blow; her mum is an ATM machine; Missing Lluna; Riverhead; Garland of Shame; I remember your name; 78
Sokora Violetov,3PVUWPpPcUtoX3qeKwGJA6,spotify:artist:3PVUWPpPcUtoX3qeKwGJA6,2227,,24,Titanic; Pressure; Qewl
