name,id,uri,followers,genres,popularity,top_tracks
Grupo Menos É Mais,6vTqEFbTtTRJsuIpzZgjxi,spotify:artist:6vTqEFbTtTRJsuIpzZgjxi,6707740,pagode; samba,87,P do Pecado - Ao Vivo; Pela Última Vez - Ao Vivo; Coração Partido (Corazón Partío) - Ao Vivo; Bebe e Vem Me Procurar / Quem Ama Sente Saudade (Ao Vivo); Aquele Lugar - Ao Vivo; Grau de Maluca - Ao Vivo; Tarde Demais / Mágica / Oh! Chuva - Ao Vivo; Lapada Dela - Ao Vivo; Jejum de Amor / Caixa Postal / Vida Vazia - Ao Vivo; Vitamina C - Ao Vivo
Henrique & Juliano,3p7PcrEHaaKLJnPUGOtRlT,spotify:artist:3p7PcrEHaaKLJnPUGOtRlT,31266099,sertanejo; sertanejo universitário; arrocha; agronejo,87,Última Saudade - Ao Vivo; Saudade De Quem Eu Sou - Ao Vivo; Seja Ex - Ao Vivo; Amigo Da Minha Saudade - Ao Vivo; Romântico - Ao Vivo; De Trás Pra Frente - Ao Vivo; Como É Que A Gente Fica - Ao Vivo; Aquela Pessoa - Ao Vivo; Briga Feia - Ao Vivo; Meu Amor - Ao Vivo
MC Ryan SP,75i9GaW2MJUgt4BkdUnuUY,spotify:artist:75i9GaW2MJUgt4BkdUnuUY,7928648,brazilian funk; funk consciente; trap funk,86,"Posso Até Não Te Dar Flores; SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam); Diário de um Cafajeste; Sexta Feira Hoje Tem; Ta Rico Os Menino Do Gueto 🍀; Gauchinha; Set Dj Gm 8.0; 365 Dias (Vida Mansa); Contagem Regressiva; Chapa do Chatão"
MC Meno K,1CbQrKvCpEnekM3QMGJtXK,spotify:artist:1CbQrKvCpEnekM3QMGJtXK,498477,brazilian funk; funk carioca,85,"Posso Até Não Te Dar Flores; SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam); FAMOSINHA; Diário de um Cafajeste; JETSKI; Amo Minha Favela; A Firma Segue Lucrando; SENTA POCA (POSSO ATÉ NÃO TE DAR FLORES); Gauchinha; Comedinha Ficou Bravo"
Panda,5qIpstBGrGteJZg1xIvbiz,spotify:artist:5qIpstBGrGteJZg1xIvbiz,350881,sertanejo; sertanejo universitário,84,"Eu Te Seguro - Ao Vivo; Baqueado - Ao Vivo; 12 Horas / Pra Você Acreditar - Ao Vivo; Calcinha de Renda - Ao Vivo; Bebe, Beija e Trai - Ao Vivo; Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo; Um Dia Te Levo Comigo / Do Brasil à Argentina - Ao Vivo; Nos Bares da Cidade / Sem Direção - Ao Vivo; ACENDE UM ISQUEIRO; Agora / Um Sonho Louco / Não Posso Ter Medo de Amar - Ao Vivo"
MJ Records,0oAZhL6hFrM3YRr6QzjlOf,spotify:artist:0oAZhL6hFrM3YRr6QzjlOf,70024,sertanejo; sertanejo universitário,83,Eu Te Seguro - Ao Vivo; Baqueado - Ao Vivo; Calcinha de Renda - Ao Vivo; Um Dia Te Levo Comigo / Do Brasil à Argentina - Ao Vivo; Nos Bares da Cidade / Sem Direção - Ao Vivo; Bem Querer / Primavera (Vai Chuva) - Ao Vivo; Castigo / Mil Anos - Ao Vivo; Frente a Frente / Só Pensando em Você - Ao Vivo; Onde Anda Meu Amor / A Culpa É Sua - Ao Vivo; Nem Dormindo Consigo Te Esquecer / Mil Corações - Ao Vivo
DJ Japa NK,1bpnl8qbR9GxmiNlkEufW6,spotify:artist:1bpnl8qbR9GxmiNlkEufW6,435160,brazilian funk; trap funk; funk consciente,83,"Posso Até Não Te Dar Flores; SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam); Amo Minha Favela; Vou pela Madrugada; Valentino; Sexta Feira Hoje Tem; SENTA POCA (POSSO ATÉ NÃO TE DAR FLORES); Gauchinha; Eu Até Gosto de Você; Comedinha Ficou Bravo"
Gusttavo Lima,7MiDcPa6UiV3In7lIM71IN,spotify:artist:7MiDcPa6UiV3In7lIM71IN,23664478,sertanejo; sertanejo universitário; arrocha; agronejo; piseiro; forró,83,Vagabundo; Pelo Bem da Minha Saudade; Retrovisor; Calcinha de Renda - Ao Vivo; Cama e Coração; Balada - Ao Vivo; Saudade e Cabelos Brancos; Culpa; Sofro e Não Nego; Ainda Tem Amor
Jorge & Mateus,1elUiq4X7pxej6FRlrEzjM,spotify:artist:1elUiq4X7pxej6FRlrEzjM,24600588,sertanejo; sertanejo universitário; arrocha; agronejo,83,Sol Nos Olhos; Cantada Boba - Ao Vivo; Logo Eu; Marca Evidente; A Grama do Vizinho - Ao Vivo; Amo Noite E Dia - Live In Sao Paulo / 2010; Pra Sempre Com Você - Ao Vivo; Os Anjos Cantam; Xonei; Anti Amor - Ao Vivo
Natanzinho Lima,0Il5vC8lqunSFNav4mMLxU,spotify:artist:0Il5vC8lqunSFNav4mMLxU,2273745,arrocha; seresta; forró; brega; piseiro; sertanejo,82,Saudade do Carai; Mentira Estampada; Sonho de Amor - Ao Vivo; Maloqueiro - Ao Vivo; Pilantra e Meio; Uma e Quinze da Manhã; Fazer Amor é Diferente de Amar - Ao Vivo; Vida de Cão / Ponto Final - Ao Vivo; Me Apaixonei Nessa Morena; Pendências - Ao Vivo
Mc IG,2q9wk5fkeU2C9CgCKdh4AN,spotify:artist:2q9wk5fkeU2C9CgCKdh4AN,11746719,brazilian funk; trap funk; funk consciente,82,"SET DO JAPA NK 2.0 (feat. MC LUUKY, Mc Jacaré, MC Rodrigo do CN, MC GH do 7, Mc Lele JP, Mc Jvila & Oruam); Sexta Feira Hoje Tem; Ta Rico Os Menino Do Gueto 🍀; Pé na Areia 🍀; Contagem Regressiva; Chapa do Chatão; 3 Dias Virado; Feliz no Simples 🍀; Let's Go 4; To Com Uma Novinha Mídia 🍀"
Mc Lele JP,1mV9h1AwhRXSjBFcYpajgY,spotify:artist:1mV9h1AwhRXSjBFcYpajgY,1387562,brazilian funk; funk consciente; trap funk,82,ME POSTOU NO DAILY - FESTA DO BIG G; Vai Tomando Pock Pock; Diário de um Cafajeste; Toma Gostosona; Hoje Eu Contei 100K No 7; Chatão; Chapa do Chatão; Set Dj Gm 6.0; Saca da Twin; To Com Uma Novinha Mídia 🍀
Ana Castela,2CKOmarVWvWqkNWUatHCex,spotify:artist:2CKOmarVWvWqkNWUatHCex,9774165,sertanejo; agronejo; sertanejo universitário; piseiro,82,Ilusão De Ótica - Ao Vivo; ORÇAMENTO - Ao Vivo; Era Sol Que Me Faltava; Todo Mundo Menos Eu - Ao Vivo; Sua Boca Mente (You're Still The One); Eu Só Quero Você; Neon - Spotify Sessions; Ninguém Pode Saber; Reclama Com Meu Ex - Naiara 15 - Ao Vivo em São Paulo; Olha Onde Eu Tô
Mc Gw,0f1IECbrVV952unZkzrsg2,spotify:artist:0f1IECbrVV952unZkzrsg2,1615110,phonk; brazilian funk; brazilian phonk; funk carioca,81,SEQUÊNCIA FEITICEIRA; Até Quebrar a Cama 2.0; Sequência da Botação; SEQUÊNCIA STRIPTEASE; SEQUÊNCIA CUNT (feat. Clementaum); MEGA YOU WILL SEE; MONTAGEM - PR FUNK; ACIDO; EXE FUNK; ACIDO - Super Slowed
Mc Rodrigo do CN,54bV1pHNm5h5EcEgMis1RC,spotify:artist:54bV1pHNm5h5EcEgMis1RC,330597,brazilian funk; funk de bh; funk carioca,81,"SEQUÊNCIA FEITICEIRA; FAMOSINHA; VAI NO CHÃO BANDIDA; Construção de Amor; Oh Garota Eu Quero Você Só Pra Mim.; Meu Carro nao tem Porta Luva - Remastered 2024; Teu Preferido; Macetada nas do Job; Cada Vez Mais Gostosa; Sem Frescura, Sem Pirraça"
Zé Neto & Cristiano,487N2T9nIPEHrlTZLL3SQs,spotify:artist:487N2T9nIPEHrlTZLL3SQs,23287361,sertanejo; sertanejo universitário; agronejo; arrocha,81,Vai Cair Água - Ao Vivo; Escondendo o Ouro - Ao Vivo; Resumindo - Ao Vivo; Notificação Preferida - Ao Vivo; Largado Às Traças - Ao Vivo; Veneno - Ao Vivo; Barulho Do Foguete - Ao Vivo; Pulando o Muro - Ao Vivo; Bebida Na Ferida - Ao Vivo; Eu Ligo Pra Você - Ao Vivo
Ícaro e Gilmar,6Wlvsn3IPHiZwAv02lB5eC,spotify:artist:6Wlvsn3IPHiZwAv02lB5eC,876739,sertanejo; sertanejo universitário; agronejo,81,Baqueado - Ao Vivo; 12 Horas / Pra Você Acreditar - Ao Vivo; Tem Que Ser Você / O Que Combina Comigo É Você - Ao Vivo; Agora / Um Sonho Louco / Não Posso Ter Medo de Amar - Ao Vivo; Duas Vezes Você / Nova York - Ao Vivo; Coração Partido / Depois do Prazer / Cheia de Manias - Ao Vivo; Antes de Voltar pra Casa / A Ferro e Fogo - Ao Vivo; Decida / Seu Amor Ainda É Tudo - Ao Vivo; Tudo Que Vai / Tempo Perdido - Ao Vivo; Sensível Demais / É Isso Aí - Ao Vivo
Burna Boy,3wcj11K77LjEY1PkEazffa,spotify:artist:3wcj11K77LjEY1PkEazffa,14854877,afrobeats; afrobeat; afropop; afroswing; dancehall; afropiano,81,wgft (feat. Burna Boy); Location (feat. Burna Boy); Last Last; WE PRAY; On the Low; For My Hand (feat. Ed Sheeran); Love; City Boys; Laho II; Ye
Mc Jacaré,6qrqAYlS6lUj2BVXax7SZW,spotify:artist:6qrqAYlS6lUj2BVXax7SZW,1143851,brazilian funk; funk carioca; trap funk,80,Posso Até Não Te Dar Flores; Eu Até Gosto de Você; Senta e Cala a Boca; Eu Já; Senta No Fazendeiro 2; Esquadrilha da Fumaça; Rajada de Grave; Senta e Cala a Boca; Terapia; Pinxadão
DJ DAVI DOGDOG,5ffbqOCrcxCejQ7oqfWXm9,spotify:artist:5ffbqOCrcxCejQ7oqfWXm9,59954,brazilian funk; trap funk,80,ME POSTOU NO DAILY - FESTA DO BIG G; Valentino; SENTA POCA (POSSO ATÉ NÃO TE DAR FLORES); Senta Poca; Bbzão da Boca Inchada; Senta Poca - Eletrofunk; Tu Vai Lembrar; Senta Poca x Posso Até Não Te Dar Flores; Ariano; Motelzada Com As Piranha
Simone Mendes,2eK9gcJQ6uqVvJL63dnOM3,spotify:artist:2eK9gcJQ6uqVvJL63dnOM3,3936967,sertanejo; sertanejo universitário; pagode; forró; piseiro; arrocha,80,P do Pecado - Ao Vivo; Saudade Burra - Ao Vivo; Saudade Proibida - Ao Vivo; Me Ama Ou Me Larga - Ao Vivo; Erro Gostoso - Ao Vivo; Dois Tristes - Ao Vivo; Amor No Escuro - Ao Vivo; Mesmice - Ao Vivo; Dois Fugitivos - Ao Vivo; Eu Menti - Ao Vivo
Matheus & Kauan,2Z0lRIqr997lIUiPtrpKCr,spotify:artist:2Z0lRIqr997lIUiPtrpKCr,13321102,sertanejo; sertanejo universitário; arrocha; agronejo,80,Ilusão De Ótica - Ao Vivo; Quarta Cadeira - Ao Vivo; Vou Ter Que Superar - Ao Vivo; Cronômetro - Ao Vivo; Que Sorte A Nossa - Ao Vivo; Deus Perdoa - Ao Vivo; Triplex - Ao Vivo; Nessas Horas - Ao Vivo; Me Amar Amanhã - Na Praia / Ao Vivo; A Rosa E O Beija-Flor - Na Praia / Ao Vivo
Luan Santana,3qvcCP2J0fWi0m0uQDUf6r,spotify:artist:3qvcCP2J0fWi0m0uQDUf6r,10331387,sertanejo; sertanejo universitário; arrocha,80,"Quarto 67 - Ao Vivo; OLHO MARROM - Ao Vivo em Lisboa; Você Não Sabe o Que É Amor - Ao Vivo; Cantada - Ao Vivo; DONA - Ao Vivo; Tudo Que Você Quiser - Ao Vivo; Chuva de Arroz - Ao Vivo; Eu, Você, O Mar e Ela; Te Esperando; MEIO TERMO - Ao Vivo"
MC LUUKY,70jpkgy5oGT4YjaGFpCpk7,spotify:artist:70jpkgy5oGT4YjaGFpCpk7,1710327,brazilian funk; trap funk; funk consciente,79,Malvadinho; 365 Dias (Vida Mansa); Olha pra Cara de Quem Te...; 300 no 7; Desacato; Nem Ligo Pro Amor; Sexta feira 2 “TUDO CERTO”; Vou Passar Gelinho; Só Menina Linda; Sempre na Simplicidade
Mc Negão Original,4LHTgACY32k94VDjenF0nP,spotify:artist:4LHTgACY32k94VDjenF0nP,1542110,brazilian funk; trap funk; funk consciente,79,Vou pela Madrugada; Pirocada Quente; Ta Rico Os Menino Do Gueto 🍀; Eu Até Gosto de Você; Comedinha Ficou Bravo; Contagem Regressiva; SET DJ YURI PEDRADA - TRAVA CHIP; Set Dj Gm 6.0; Boy Besta; Medley de Igaratá 3
