artist_name,artist_id,popularity,followers_total,genres,spotify_url,image_url
Youthology,333R5FY9kU0xShruEP0BQM,44,677,lo-fi; lo-fi beats; jazz beats,https://open.spotify.com/artist/333R5FY9kU0xShruEP0BQM,https://i.scdn.co/image/ab6761610000e5eb67b13d1a87f898c4ad8c6385
Hevi,4vv1FFVqxnHyQFLmWxjizb,54,8662,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/4vv1FFVqxnHyQFLmWxjizb,https://i.scdn.co/image/ab6761610000e5eb5a4b4a4138b5eb726c95de8a
Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,80,6781572,metalcore; emo; screamo; rock; post-hardcore,https://open.spotify.com/artist/1Ffb6ejR6Fe5IamqA5oRUF,https://i.scdn.co/image/ab6761610000e5eb88b4008513d5de75f95bc0ec
marsquake,7JHsA8iL2mnUsAteuzehsb,57,1296,lo-fi,https://open.spotify.com/artist/7JHsA8iL2mnUsAteuzehsb,https://i.scdn.co/image/ab6761610000e5eb6c074fad4441624e0234feb1
Dosi,5p2HHGakKOJCICf9fnfnQ9,61,5699,lo-fi; lo-fi beats,https://open.spotify.com/artist/5p2HHGakKOJCICf9fnfnQ9,https://i.scdn.co/image/ab6761610000e5ebfa6c02665e46ab2c105658cc
low pines,0vVUkxt48ozguY3xh3ntKg,47,145,lo-fi beats; lo-fi,https://open.spotify.com/artist/0vVUkxt48ozguY3xh3ntKg,https://i.scdn.co/image/ab67616d0000b2730214f0c3399a9c31d95b0e35
Dozy Duzzn,2CPIZDGSe0zORQADHqFIAY,51,563,lo-fi; lo-fi beats,https://open.spotify.com/artist/2CPIZDGSe0zORQADHqFIAY,https://i.scdn.co/image/ab67616d0000b2732fbdc2d0cc3f9abe84c79d16
Photosynthetic,07gRq5MLkPSFcl6ECDONS1,46,106,lo-fi beats; lo-fi,https://open.spotify.com/artist/07gRq5MLkPSFcl6ECDONS1,https://i.scdn.co/image/ab67616d0000b273344d721933cabb5dc2de27c8
Muroki,1AeSPGqAkY1Me6ed49vb0n,46,30,lo-fi beats,https://open.spotify.com/artist/1AeSPGqAkY1Me6ed49vb0n,https://i.scdn.co/image/ab67616d0000b273a7ca5347f6faa7f75b758f13
Beats on 21st,2VBUiCVWzqYXz3VdzHQMG5,52,281,lo-fi beats; lo-fi,https://open.spotify.com/artist/2VBUiCVWzqYXz3VdzHQMG5,https://i.scdn.co/image/ab6761610000e5eb5433aacf1444331785721f37
mellow fox,2VVDDOoBIhsMVPJMoUXjUE,53,14377,lo-fi,https://open.spotify.com/artist/2VVDDOoBIhsMVPJMoUXjUE,https://i.scdn.co/image/ab6761610000e5eb3e27ee867de36175593eda91
Phlocalyst,5xJ9q1lHwa8AShRof94oIt,61,22499,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,https://open.spotify.com/artist/5xJ9q1lHwa8AShRof94oIt,https://i.scdn.co/image/ab6761610000e5eb0343c8cb1b8615e700b45017
Breezonic,6dcAuzmzyzfUfwRyT2CIXb,52,471,lo-fi; lo-fi beats,https://open.spotify.com/artist/6dcAuzmzyzfUfwRyT2CIXb,https://i.scdn.co/image/ab67616d0000b273bb28a8f9902fd958046237a5
lil francky,3FlerjqtDDQXTlB4o1165S,45,22,lo-fi beats,https://open.spotify.com/artist/3FlerjqtDDQXTlB4o1165S,https://i.scdn.co/image/ab67616d0000b27377d24f57768287c382d83cba
Jazzamass,3gMOdlsYdkbCobRA1i8Bwb,42,352,lo-fi; lo-fi beats,https://open.spotify.com/artist/3gMOdlsYdkbCobRA1i8Bwb,https://i.scdn.co/image/ab67616d0000b273f707493d59155389aaaa09f8
fnonose,74yvhBPUU5nloVsshHE95q,56,9686,lo-fi; lo-fi beats,https://open.spotify.com/artist/74yvhBPUU5nloVsshHE95q,https://i.scdn.co/image/ab6761610000e5eba7947e63f916b523b478f615
Goson,3b0TLzX6FkeQvv9daBtFBe,56,7819,lo-fi; lo-fi hip hop; lo-fi beats,https://open.spotify.com/artist/3b0TLzX6FkeQvv9daBtFBe,https://i.scdn.co/image/ab6761610000e5eb415284964370d49a88b15a7d
saint rumi,4KZj9rS07i3nfijzVtkqMQ,50,1212,jazz beats; lo-fi,https://open.spotify.com/artist/4KZj9rS07i3nfijzVtkqMQ,https://i.scdn.co/image/ab6761610000e5eb00132527a8c594f2129c40a2
morningtime,7xwOP2sBEig4hhduDiYwHS,53,2581,lo-fi; lo-fi beats,https://open.spotify.com/artist/7xwOP2sBEig4hhduDiYwHS,https://i.scdn.co/image/ab6761610000e5eb35a6e2312930d58f95361226
ourchase,1zvfbLdrzYE5C41tjeLwkW,48,203,lo-fi; lo-fi beats,https://open.spotify.com/artist/1zvfbLdrzYE5C41tjeLwkW,https://i.scdn.co/image/ab67616d0000b273396a89f358a81646ed6259b8
amies,2zNmlxTlRfyMAAifd2f71Q,58,8786,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/2zNmlxTlRfyMAAifd2f71Q,https://i.scdn.co/image/ab6761610000e5eb81176a52fb6009d9027e3367
Mellow Mirror,7kVcHt4VUH5dGb0Gz8IY3G,50,203,lo-fi,https://open.spotify.com/artist/7kVcHt4VUH5dGb0Gz8IY3G,https://i.scdn.co/image/ab67616d0000b273c98e2a478b9d92c3bfb2a981
pete castle,30iN8zR9kklIfdH9dL8qOn,48,140,,https://open.spotify.com/artist/30iN8zR9kklIfdH9dL8qOn,https://i.scdn.co/image/ab6761610000e5eb783cda450c7f47624271b1c4
nate2timez,0vABYweyJunNI8gFdnxXps,51,1837,dark ambient; lo-fi,https://open.spotify.com/artist/0vABYweyJunNI8gFdnxXps,https://i.scdn.co/image/ab6761610000e5eb44f77d260b6a0cfa9e795b69
softy,0wcen0V8FgQu6xYupnZMbB,65,36405,lo-fi hip hop; lo-fi; lo-fi beats,https://open.spotify.com/artist/0wcen0V8FgQu6xYupnZMbB,https://i.scdn.co/image/ab6761610000e5eb3ed26cd944be61cf5628f157
