name,id,uri,followers,genres,popularity,top_tracks
Elton John,3PhoLpVuITZKcymswpck5b,spotify:artist:3PhoLpVuITZKcymswpck5b,15861016,,86,"Merry Christmas; Step Into Christmas - Remastered 1995; Cold Heart - PNAU Remix; I'm Still Standing; Rocket Man (I Think It's Going To Be A Long, Long Time); Your Song; Don't Go Breaking My Heart; Tiny Dancer; Sacrifice; Goodbye Yellow Brick Road - Remastered 2014"
Queen,1dfeR4HaWDbWqFHLkxsg1d,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,55877058,classic rock; rock; glam rock,86,Thank God It's Christmas - Non-Album Single; Bohemian Rhapsody - Remastered 2011; Don't Stop Me Now - Remastered 2011; Under Pressure - Remastered 2011; Another One Bites The Dust - Remastered 2011; We Will Rock You - Remastered 2011; Crazy Little Thing Called Love - Remastered 2011; Somebody To Love - Remastered 2011; Killer Queen - Remastered 2011; Radio Ga Ga - Remastered 2011
The Beatles,3WrFJ7ztbogyGnTHbHJFl2,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,31122915,classic rock; psychedelic rock,85,Here Comes The Sun - Remastered 2009; Let It Be - Remastered 2009; Come Together - Remastered 2009; Blackbird - Remastered 2009; In My Life - Remastered 2009; Yesterday - Remastered 2009; Something - Remastered 2009; Hey Jude - Remastered 2009; Twist And Shout - Remastered 2009; Don't Let Me Down - Remastered 2009
Metallica,2ye2Wgw4gimLv2eAKyk1NB,spotify:artist:2ye2Wgw4gimLv2eAKyk1NB,32968321,metal; thrash metal; rock; heavy metal; hard rock,84,Enter Sandman - Remastered 2021; Nothing Else Matters - Remastered 2021; Master Of Puppets; One; For Whom The Bell Tolls - Remastered; The Unforgiven - Remastered 2021; Sad But True - Remastered 2021; Fuel; Whiskey In The Jar; Seek & Destroy - Remastered
AC/DC,711MCceyCBcFnzjGY4Q7Un,spotify:artist:711MCceyCBcFnzjGY4Q7Un,32890653,rock; hard rock; classic rock; rock and roll,83,Thunderstruck; Highway to Hell; Back In Black; You Shook Me All Night Long; T.N.T.; Hells Bells; Shoot to Thrill; Dirty Deeds Done Dirt Cheap; It's a Long Way to the Top (If You Wanna Rock 'N' Roll); Rock N Roll Train
Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,23087650,progressive rock; psychedelic rock; classic rock; art rock; rock,82,"Wish You Were Here; Another Brick in the Wall, Pt. 2; Comfortably Numb; Breathe (In the Air); The Great Gig in the Sky; Time; Money; Hey You; Have a Cigar; Shine On You Crazy Diamond (Pts. 1-5)"
Eagles,0ECwFtbIWEVNwjlrfc6xoL,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,12357966,classic rock; yacht rock; soft rock,81,"Please Come Home for Christmas - 2013 Remaster; Hotel California - 2013 Remaster; Take It Easy - 2013 Remaster; One of These Nights - 2013 Remaster; Life in the Fast Lane - 2013 Remaster; Hotel California - Live On MTV, 1994; Peaceful Easy Feeling - 2013 Remaster; Lyin' Eyes - 2013 Remaster; New Kid in Town - 2013 Remaster; I Can't Tell You Why - 2013 Remaster"
Dire Straits,0WwSkZ7LtFUFjGjMZBMt6T,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,9069986,classic rock,80,Sultans Of Swing; Walk Of Life - Remastered 1996; Money For Nothing - Remastered 1996; Brothers In Arms - Remastered 1996; Lady Writer; Six Blade Knife; Romeo And Juliet; Once Upon A Time In The West; Down To The Waterline; So Far Away - Remastered 1996
Bon Jovi,58lV9VcRSjABbAbfWS6skp,spotify:artist:58lV9VcRSjABbAbfWS6skp,16185163,glam metal; rock,80,Livin' On A Prayer; You Give Love A Bad Name; It's My Life; Always; Bed Of Roses; Runaway; Wanted Dead Or Alive; I'll Be There For You; Bad Medicine; Never Say Goodbye
The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,15943725,classic rock; rock,80,"Paint It, Black; Gimme Shelter; (I Can't Get No) Satisfaction - Mono; Start Me Up - Remastered 2009; Beast Of Burden - Remastered 1994; Wild Horses - 2009 Mix; Sympathy For The Devil - 50th Anniversary Edition; Miss You - Remastered; Angie - Remastered 2009; You Can't Always Get What You Want"
