name,id,uri,followers,genres,popularity,top_tracks
Dean Blunt,5CFSYjc0PAiQvndFjafabk,spotify:artist:5CFSYjc0PAiQvndFjafabk,520210,,69,9; 100; 5; Rinsed; Galice; the rot; tears on his rings and chains; 50 CENT; 19; pj harvey cover
spirit blue,49JcjxYnQNsELWLqtzIycx,spotify:artist:49JcjxYnQNsELWLqtzIycx,33127,,52,desire machine; language; perfect storm
Joanne Robertson,4MdQ9btIlh6rzIMA19tu3L,spotify:artist:4MdQ9btIlh6rzIMA19tu3L,45990,,50,Slacker; 11; 10; she's lost control again; SASSY; 5; repeat offenders; 6; Gown; HAD MY GUARD UP 2 U (SINCE '92)
mark william lewis,2r5elgyPQ19vDG3xSQn39k,spotify:artist:2r5elgyPQ19vDG3xSQn39k,36524,,48,Petals; Tomorrow is Perfect; Thinner; Ecstatic Heads; Pleasure Is Everything; Still Above; Cold Paris Vogue; Seventeen; Skeletons Coupling; Painkillers
Chanel Beads,3x11XrMEnyP18hv73pmKRL,spotify:artist:3x11XrMEnyP18hv73pmKRL,55812,lo-fi indie,48,Police Scanner; Ef; The Coward Forgets His Nightmare; Ache; Embarrassed Dog; I Think I Saw; True Altruism; Dedicated To The World; Idea June; Unifying Thought
bar italia,6tYmTHApvspl6KAgTfHjAY,spotify:artist:6tYmTHApvspl6KAgTfHjAY,90820,lo-fi indie,46,Fundraiser; Missus Morality; rooster; Cowbella; Nurse!; omni shambles; Marble Arch; skylinny; itv2; I Make My Own Dust
Inga Copeland,1ZdoULgEhBXOV2g3j3Zhhi,spotify:artist:1ZdoULgEhBXOV2g3j3Zhhi,29699,,44,2; 8; 11; Obsession 2; 5; 9; (Venice Dreamway); 4; 3; A&E
Samba Jean-Baptiste,7nfBxjb99prCqaT3wk87u5,spotify:artist:7nfBxjb99prCqaT3wk87u5,10512,,41,born again freestyle (shed a tear).mp3; Girls Dance Alone; I Could've Cried; Unfamiliar Heaven; Seven Less Functions; Say So; Foreign Eye; Perfect & Learning; Talk / Pleasure; Windows
Michael Angelo,0EYOrtqjnw8JGhxOE8XVRp,spotify:artist:0EYOrtqjnw8JGhxOE8XVRp,1751,,39,Nubian Queen; Sorcerer's Delight; Flight of Pegasus; Hearts Unspoken - Alex Leavon Remix; The World to Be; Disconnected - Myon & Shane 54 Vocal Mix; Oceans of Fantasy; Field of Lonely Eyes; Lost in the Pain; Test Drive - Radio Edit
Double Virgo,6z7qEMTNZigz2k3qozRYw1,spotify:artist:6z7qEMTNZigz2k3qozRYw1,20609,shoegaze,37,Kicked Out by Seven; Burning Bridges; Were there originals; Splashy; Centaurella 44; due dilettante; Bingethinking; No Sweat; bemused; Chlorine
NINA,53O83dY0rBGmnM4gV7Sqyr,spotify:artist:53O83dY0rBGmnM4gV7Sqyr,16794,,35,Thinner; WE DONT COUNT; Better; Spirits; Slur; Dead Horse; Break; Romance; her mum is an ATM machine; Grandiosee
S.Maharba,52RUBnagkvIajEJFXM5AXN,spotify:artist:52RUBnagkvIajEJFXM5AXN,26115,plunderphonics,34,W.I.G.T.S.; S.I.T.W.S.M.; Good Girl; Afternoon; Girls In Pearls; Bruised Legs; Weak Grip; Girls On The Roof; For Someone; Nice To Meet You
untitled (halo),3r9Q5Yy2TA8QG4CtJlvhIn,spotify:artist:3r9Q5Yy2TA8QG4CtJlvhIn,14725,shoegaze,34,intrusive; 020; finding god in the cut; that's honey; Pedal Petal; limewire; blunt subconscious; sKill isSue; emo is good; spiral
Ydegirl,3YAUbceL2MyJfajlikdn1V,spotify:artist:3YAUbceL2MyJfajlikdn1V,8762,,33,Stone Femmes; Let's Make Out; Spirals On My Tongue; Emo Regulation; Amber; Clayboy; I need this; Quizzical; TMN; mx-bank notes
Lee Ikari,33v18PhXgZvDAjihaxiiJc,spotify:artist:33v18PhXgZvDAjihaxiiJc,2216,cloud rap,32,Mexico 66; want you(nowhere); My First; septemberfreestyle; F/W21; sickaugustfreestyle; bumptwinsdeep; 2008 Tv Programming; superloser; type1exception
Patch +,4XticJq9BkXWqqJJgDTnoF,spotify:artist:4XticJq9BkXWqqJJgDTnoF,7941,electroclash,31,A Perfect Day; Ny2; Tourist; Us2; he's so easy; Omg1; omg1; Desayuno; Blur; Keys
Camille Keller,3cSFP8ZUJeHzJaPdHtdl0F,spotify:artist:3cSFP8ZUJeHzJaPdHtdl0F,4364,,30,dog-tired; FW2028; G-LIP; youdoyou; Something Off; BWWS+; Jaam; Shot for me (feat. Dallae); Back East; Mid backstabber
Eterna,7ekeXKGdf5os6oYTZgKTQP,spotify:artist:7ekeXKGdf5os6oYTZgKTQP,8852,,30,Twice; So different; Trickster; Blow; her mum is an ATM machine; Missing Lluna; Garland of Shame; Riverhead; I remember your name; dream scenario
Taraneh,7IoTiUNmwPOdUCPlNtezaO,spotify:artist:7IoTiUNmwPOdUCPlNtezaO,7809,,30,"Spinning Out; Reckoning; Spell; Salt Water; Face of Fear; My World; Artificial; Use Me; Pretty; Unravel, Together Again"
Sokora Violetov,3PVUWPpPcUtoX3qeKwGJA6,spotify:artist:3PVUWPpPcUtoX3qeKwGJA6,2281,,25,Titanic; Qewl; Pressure
