name,id,uri,followers,genres,popularity,top_tracks
Hoogway,1Mh9G47YfuaLdQs44voLrQ,spotify:artist:1Mh9G47YfuaLdQs44voLrQ,20651,lo-fi hip hop; lo-fi; lo-fi beats,63,Lucky Us; Daydream; Explore; Marylou; A Place I Love; Kickflip; Fragments Of The Moon; Best Friend; Over The Top; down the road
Mondo Loops,1XFN3VcuKr4tsTtQlRiTgK,spotify:artist:1XFN3VcuKr4tsTtQlRiTgK,43270,lo-fi hip hop; lo-fi; lo-fi beats,63,Junjiro (Little Tanuki) - Mondo Loops Remix; Hideaway; Visions In The Swamp; Dropouts; Enma; The Last Train; last light; Daydream Radio; Moonglow; Dusk
Phlocalyst,5xJ9q1lHwa8AShRof94oIt,spotify:artist:5xJ9q1lHwa8AShRof94oIt,22454,lo-fi; lo-fi hip hop; jazz beats; lo-fi beats,61,Get Together; Cerveja; Doinit; Over The Top; Old Friend; Back2Bed; No Sleep; Blank Canvas; Liquid Spots; Gloomy Nights
No Spirit,4XbnhifKeOnyfTsCInrQsX,spotify:artist:4XbnhifKeOnyfTsCInrQsX,22119,lo-fi hip hop; lo-fi; lo-fi beats,60,The Quiet Kind; Opal; canyoufeelmy<3.tmpx; Memories We Made; Exhale; Winds On Mars; Voice Of The Forest; Wall; Darkside.verXx; 7 Suns
Dosi,5p2HHGakKOJCICf9fnfnQ9,spotify:artist:5p2HHGakKOJCICf9fnfnQ9,5682,lo-fi; lo-fi beats,60,Isolation; Aether; When The Sun Rises; When I Remember You; Hot Chocolate; Old Time; Something Missing; With Your Eyes Closed; Steps; Last Day At The Seaside
cxlt.,1TFqjcoVis5TzVQxrHMSfA,spotify:artist:1TFqjcoVis5TzVQxrHMSfA,9293,lo-fi hip hop; lo-fi; lo-fi beats,60,A Better Place; Candle; staying in; Last Dream; What A Day; Close Your Eyes; The Day You Left; Drifting; Break Away; look at the sky
Juliàn,2SJLGPoAJhy9Id6N8oAftk,spotify:artist:2SJLGPoAJhy9Id6N8oAftk,3626,lo-fi; lo-fi beats,58,Lucky Us; Drifting; From The Heart; Hope For Harmony; yesterday's dream; Along The Way; Internal Forces; Coziness; Set Sail; By The River
xander.,6ysKfYgiKUTMCuq2fSTLK3,spotify:artist:6ysKfYgiKUTMCuq2fSTLK3,24673,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,58,Playing at the Quiet Hour; Cabin In A Forest; Autumn Camp; driving alone - flip; Dover; Wall; Holy Cloud; Thoughtful; Don't Let Her Go; Thinking Spot
amies,2zNmlxTlRfyMAAifd2f71Q,spotify:artist:2zNmlxTlRfyMAAifd2f71Q,8765,lo-fi hip hop; lo-fi; lo-fi beats,58,Daydream; Wish; Solution; The Day You Left; Drifting; Break Away; Come Find Me; Fireflies; Those Nights; At The Campfire
Banks,6L9h5cN2DNOoMqFRgIv7uU,spotify:artist:6L9h5cN2DNOoMqFRgIv7uU,4370,lo-fi; lo-fi hip hop; lo-fi beats,58,Springtime; Lazy Day; Green Pastures; Past Times; Inner Peace; teach each other lessons; Kindred; Sunset Swim; in the pines; Hiraeth
Oroshi,3gqs8fHrmLkMfjT5BI1bNh,spotify:artist:3gqs8fHrmLkMfjT5BI1bNh,342,,58,Downpours; Under the rain; Old Friends; temporary approved; Nearly Airborne White Noise; Rush of rain; fruitful; eleven am; Wild Rainstorm Ambience for Stress Relief; Rainy Nights A Gentle Respite for the Mind
So.Lo,5vxaqyEjb7eMVm9bUnbwQj,spotify:artist:5vxaqyEjb7eMVm9bUnbwQj,2900,lo-fi; lo-fi hip hop; lo-fi beats,57,off grid; When The Sun Rises; When I Remember You; Hot Chocolate; Old Time; Something Missing; With Your Eyes Closed; Steps; Last Day At The Seaside; Sunday Memories
Erwin Do,4EUMzs3VfIVjB5yrHv153S,spotify:artist:4EUMzs3VfIVjB5yrHv153S,4793,jazz beats; lo-fi; lo-fi beats,57,Fragments; Brooklyn Sunrise; Voyage; Golden Dusk; Conversation; Former Glory; Sunny Bossa; Sophisticated; Bebop; Nova
Goson,3b0TLzX6FkeQvv9daBtFBe,spotify:artist:3b0TLzX6FkeQvv9daBtFBe,7801,lo-fi; lo-fi hip hop; lo-fi beats,56,off grid; Sora; Soft Echo; Broken Angel; Blue Sky; Way Closer; Into The Fog; Sentiero; anywhere; Snowfall Dreams
Lenny Loops,6MvnyPinXRQbUCMsPoymhR,spotify:artist:6MvnyPinXRQbUCMsPoymhR,5038,lo-fi; lo-fi hip hop; lo-fi beats,56,fleeting moments; Lights In The Deepest Blue; at the blue hour; Noctilucent; Cycles; Reassuring Skies; Days Past; from me to you; anytime soon; a soft storm
Mujo,0vg08N1z9G9LrGLkG1nNDS,spotify:artist:0vg08N1z9G9LrGLkG1nNDS,31767,lo-fi; lo-fi hip hop; lo-fi beats; jazz beats,56,Oud; Everything Gone; Escaped; Singing Flowers; Sleeping On Clouds; Cinnamon Rolls; Sophie's Eyes; Valentino Land; Cozy Jazz; Before Sleep
fnonose,74yvhBPUU5nloVsshHE95q,spotify:artist:74yvhBPUU5nloVsshHE95q,9671,lo-fi; lo-fi beats,56,late summit; gust of wind; amarillo; Zzz; better days; with purpose; Different Story; blue room; after a long day; routines
marsquake,7JHsA8iL2mnUsAteuzehsb,spotify:artist:7JHsA8iL2mnUsAteuzehsb,1280,lo-fi,55,come with me; From The Heart; Still Learning; Don't Think; Footsteps; Circle Of Friends; solitary life; Respiro; Sabai; sealed letters
loutwo,0GkUiuixKRnwTkGaJfEmkf,spotify:artist:0GkUiuixKRnwTkGaJfEmkf,339,lo-fi; lo-fi beats,54,blizz; aromatics; far far away; if you do; mango mood; afternoon moon; guarana; total eclipse; thrift shoppin; vibrant hues
Hevi,4vv1FFVqxnHyQFLmWxjizb,spotify:artist:4vv1FFVqxnHyQFLmWxjizb,8637,lo-fi hip hop; lo-fi; lo-fi beats,54,eclipse; See You Again; Jester's Lullaby; pictures i can't look at; Runaway; A Way Home; Ethereal; Sree; Beyond the Dreams; Morning Brew
Towerz,1bbah9s09626gweOzzLbKG,spotify:artist:1bbah9s09626gweOzzLbKG,11308,lo-fi hip hop; lo-fi; lo-fi beats,54,stick around; Dropouts; Buds of May; Drifting; from me to you; Glass Spire; Hearts; good friends; Distant Thoughts; Pillows
slowburn,4wSDv48fN9mItDjtMpSEDo,spotify:artist:4wSDv48fN9mItDjtMpSEDo,3378,lo-fi,54,still images; in a shared dream; stepping stones; New Light; Old Feelings; those little moments; the moon in your eyes; an endless spring; empty pages; a second chance
lilibu,2GAEdgtVHrKsjcHqwUFjpI,spotify:artist:2GAEdgtVHrKsjcHqwUFjpI,2598,lo-fi; lo-fi beats,54,ghee; toffee creme; moondaze; peach cordial; snoozed; growing still; broth; purple peach crush; gobi; ceiling duty
Golden Mist,0Hd6QWTqvltK9qwevGqQtK,spotify:artist:0Hd6QWTqvltK9qwevGqQtK,568,lo-fi,53,Morning Light; Mindset; Underglow; Passengers; Osterly Park; Tree Tops; Distance; Midnight Campfire; Caramel Dreams; Apricot Jam
