Metrica,Beatriz,Daniel,Ricardo,Sofia
ano_medio_carreira,0.0251,0.2013,0.2799,-0.1512
ano_medio_release,-0.0603,-0.0407,0.01,0.1123
duracao_media_seg,-0.1978,5.1613,-6.9363,3.1345
gini_artistas,-5.8024,0.1923,110.7568,17.2633
hhi_tags,-5.5427,48.1847,-10.4474,-22.8159
listeners_med_artista,6.2527,131.2733,-33.5746,-18.0143
listeners_med_track,-22.4723,-23.6261,112.4341,405.1922
n_artistas_unicos,28.7234,16.1616,600.0,233.3333
n_faixas,38.0,40.5,34.0,32.0
pct_artistas_grupo,1.8841,-53.1611,5.9524,14.3275
pct_artistas_solo,-2.0649,24.7477,-11.9048,-13.5338
pielou_evenness,2.2528,0.7082,-3.5239,0.4
playcount_med_artista,30.5791,263.1836,-59.3703,-30.4034
shannon_artistas,7.9356,3.9915,61.4275,37.0762
