Persona,Metrica,Input_N200,Output_full,Output_N_full,Output_rarefeito_media,Output_raref_IC_inf,Output_raref_IC_sup
Beatriz,S,94.0,121.0,276,101.451,95.0,107.0
Beatriz,H,6.0329,6.5116,276,6.3372,6.2271,6.4419
Beatriz,J,0.9204,0.9411,276,0.951,0.9443,0.9576
Beatriz,Gini,0.4217,0.3972,276,0.3508,0.3302,0.3697
Daniel,S,99.0,115.0,281,98.684,93.0,104.0
Daniel,H,6.265,6.5151,281,6.3469,6.2454,6.4386
Daniel,J,0.945,0.9517,281,0.9581,0.9509,0.9644
Daniel,Gini,0.3661,0.3668,281,0.3293,0.3069,0.3522
Ricardo,S,18.0,126.0,268,107.582,102.0,113.0
Ricardo,H,4.0955,6.6113,268,6.4401,6.3441,6.5355
Ricardo,J,0.9822,0.9476,268,0.9543,0.9471,0.9609
Ricardo,Gini,0.1756,0.37,268,0.3332,0.3129,0.3534
Sofia,S,27.0,90.0,264,80.124,75.0,85.0
Sofia,H,4.4254,6.0662,264,5.9578,5.8606,6.0508
Sofia,J,0.9307,0.9344,264,0.9422,0.9343,0.9499
Sofia,Gini,0.3574,0.4191,264,0.3849,0.3619,0.4056
