Persona,Source,Metrica,Estimativa,IC_inf_95,IC_sup_95
Beatriz,INPUT,listeners_med_artista,194228.5,158513.0,214884.0
Beatriz,INPUT,playcount_med_artista,3434708.5,2378953.5,4886775.3625
Beatriz,INPUT,listeners_med_track,51879.5,45125.275,73123.0125
Daniel,INPUT,listeners_med_artista,79595.0,64290.0,111322.0
Daniel,INPUT,playcount_med_artista,348630.0,263568.7,586461.125
Daniel,INPUT,listeners_med_track,18824.5,16041.0,24336.5
Ricardo,INPUT,listeners_med_artista,4412516.0,2373424.5,5185293.0
Ricardo,INPUT,playcount_med_artista,144558091.0,64638040.0,308120521.0
Ricardo,INPUT,listeners_med_track,311105.0,242688.15,433495.175
Sofia,INPUT,listeners_med_artista,59042.0,27894.0,103464.0
Sofia,INPUT,playcount_med_artista,565579.0,187174.0,1177825.0
Sofia,INPUT,listeners_med_track,1223.0,1052.5,1623.0
Beatriz,OUTPUT,listeners_med_artista,206373.0,193129.0,229136.0
Beatriz,OUTPUT,playcount_med_artista,4485010.0,3345291.0,6679369.0
Beatriz,OUTPUT,listeners_med_track,40221.0,34430.0,47476.35
Daniel,OUTPUT,listeners_med_artista,184082.0,146972.0,221535.0
Daniel,OUTPUT,playcount_med_artista,1266167.0,942741.0,1775001.0
Daniel,OUTPUT,listeners_med_track,14377.0,11959.0,18259.0
Ricardo,OUTPUT,listeners_med_artista,2931029.5,2075640.0,3230451.8875
Ricardo,OUTPUT,playcount_med_artista,58733457.5,45830042.0,85530203.0
Ricardo,OUTPUT,listeners_med_track,660893.0,544877.8875,759972.725
Sofia,OUTPUT,listeners_med_artista,48406.0,33981.775,70194.3
Sofia,OUTPUT,playcount_med_artista,393624.0,243029.0,607603.9125
Sofia,OUTPUT,listeners_med_track,6178.5,4834.825,8020.0
