track_name,primary_artist_name,all_artists,album_name,track_popularity,artist_popularity,artist_followers,artist_genres,album_release_date,duration_readable,is_explicit,track_url,track_uri
Himitsu Kibun,NAKISO,NAKISO,Himitsu Kibun,37,56,165567,vocaloid,2024-07-05,1:54,False,https://open.spotify.com/track/6E5TNtM9xIXbxSS6N0jb3q,spotify:track:6E5TNtM9xIXbxSS6N0jb3q
炜WARD ROMANCE,FLAVOR FOLEY,FLAVOR FOLEY,CARDIAC CONTREPOINT,50,61,82041,vocaloid,2025-02-13,2:43,False,https://open.spotify.com/track/4FSMxitJyDxTHgwSKDGBuz,spotify:track:4FSMxitJyDxTHgwSKDGBuz
"hello, my friend the 5am sun",Oscar Lang,Oscar Lang,To Whom It May Concern,35,55,170578,bedroom pop,2018-08-17,2:38,False,https://open.spotify.com/track/74d2qwDEecXpvuhlXXHjv8,spotify:track:74d2qwDEecXpvuhlXXHjv8
The Fallen,Caleb Bryant,Caleb Bryant,The Fallen,54,48,46607,,2023-01-04,2:13,False,https://open.spotify.com/track/6OntGp1fBnvvHsqKzd4ZwO,spotify:track:6OntGp1fBnvvHsqKzd4ZwO
Making Faces,"Dream, Ivory","Dream, Ivory",Making Faces,41,66,502173,,2019-10-31,3:12,False,https://open.spotify.com/track/6jen6M7ea0yuXA6C4x7zpd,spotify:track:6jen6M7ea0yuXA6C4x7zpd
rawdog,FLAVOR FOLEY,FLAVOR FOLEY,rawdog,37,61,82041,vocaloid,2024-06-30,3:17,True,https://open.spotify.com/track/3sVSrDIJ92GQZwCN1Tx5Bt,spotify:track:3sVSrDIJ92GQZwCN1Tx5Bt
Water the Roses,FLAVOR FOLEY,FLAVOR FOLEY,CARDIAC CONTREPOINT,43,61,82041,vocaloid,2025-02-13,4:27,False,https://open.spotify.com/track/6U5fy1R7XnyFE1KKyMRFSV,spotify:track:6U5fy1R7XnyFE1KKyMRFSV
Gilded Lily - Sped Up,Cults,Cults,Offering,59,68,1237754,,2022-10-26,3:12,False,https://open.spotify.com/track/0M6urYKXizSJgtuipqmctu,spotify:track:0M6urYKXizSJgtuipqmctu
DOKUZU,NAKISO,NAKISO,DOKUZU,50,56,165567,vocaloid,2022-03-05,2:00,False,https://open.spotify.com/track/7G19YO3m77NNF8wlDkRmi0,spotify:track:7G19YO3m77NNF8wlDkRmi0
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,Idina Menzel,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),76,70,567876,musicals,2013-01-01,3:43,False,https://open.spotify.com/track/0qcr5FMsEO85NAQjrlDRKo,spotify:track:0qcr5FMsEO85NAQjrlDRKo
Still Loving You,Scorpions,Scorpions,Love At First Sting,70,75,8534157,hard rock; glam metal; rock,1984-03-27,6:27,False,https://open.spotify.com/track/7kjsCbksOZotNNHOvKsJJh,spotify:track:7kjsCbksOZotNNHOvKsJJh
Last Night on Earth,Green Day,Green Day,21st Century Breakdown,76,83,17216164,punk; pop punk,2009-05-15,3:56,False,https://open.spotify.com/track/5TpPSTItCwtZ8Sltr3vdzm,spotify:track:5TpPSTItCwtZ8Sltr3vdzm
Furetara Saigo,NAKISO,NAKISO,Furetara Saigo,33,56,165567,vocaloid,2021-10-25,2:16,False,https://open.spotify.com/track/0vAXIgIl4e9udPd542lc06,spotify:track:0vAXIgIl4e9udPd542lc06
Young And Beautiful,Lana Del Rey,Lana Del Rey,Young And Beautiful,87,90,51110265,,2013-01-01,3:56,False,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9,spotify:track:2nMeu6UenVvwUktBCpLMK9
Paparazzi Murder Party - ROUNDTABLE REPRISE,FLAVOR FOLEY,FLAVOR FOLEY,CARDIAC CONTREPOINT,41,61,82041,vocaloid,2025-02-13,2:58,True,https://open.spotify.com/track/4QTHofjxZa2ngMv48ABnRF,spotify:track:4QTHofjxZa2ngMv48ABnRF
