name,uri,followers,genres,popularity,top_tracks
Lana Del Rey,spotify:artist:00FQb4jTyendYWaN8pK0wa,50914855,,92,Young And Beautiful; Summertime Sadness; Cinnamon Girl; Say Yes To Heaven; Brooklyn Baby; Video Games; West Coast; Born To Die; Diet Mountain Dew; Margaret (feat. Bleachers)
Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,31713739,indie; garage rock,88,I Wanna Be Yours; 505; No. 1 Party Anthem; Do I Wanna Know?; Why'd You Only Call Me When You're High?; R U Mine?; Fluorescent Adolescent; Snap Out Of It; Arabella; Knee Socks
The Marías,spotify:artist:2sSGPbdZJkaSE2AbcGOACx,3544983,bedroom pop,87,No One Noticed; Sienna; Heavy; No One Noticed (Extended Spanish); Otro Atardecer; Nobody New; Ojos Tristes (with The Marías); Lejos de Ti; Back To Me; No One Noticed (Extended English)
Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA,10710623,,87,Best Part (feat. H.E.R.); Superpowers; Get You (feat. Kali Uchis); Always; Hold Me Down; Peaches (feat. Daniel Caesar & Giveon); Japanese Denim; Loose; St. Chroma (feat. Daniel Caesar); Let Me Go
The Neighbourhood,spotify:artist:77SW9BnxLY8rJ0RciFqkHh,21333741,,86,Sweater Weather; Daddy Issues; Softcore; Reflections; You Get Me So High; A Little Death; Pretty Boy; Afraid; The Beach; Nervous
Hozier,spotify:artist:2FXC3k01G6Gw61bmprjgqS,9053510,,86,Too Sweet; Take Me To Church; Work Song; Northern Attitude (with Hozier); Someone New; Do I Wanna Know? - Live At the BBC; Would That I; From Eden; Like Real People Do; Almost (Sweet Music)
Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,14163624,,86,Feel Good Inc.; On Melancholy Hill; Clint Eastwood; DARE (feat. Shaun Ryder & Roses Gabor); Rhinestone Eyes; She's My Collar (feat. Kali Uchis); Dirty Harry (feat. Bootie Brown); 19-2000; New Gold (feat. Tame Impala and Bootie Brown); The Happy Dictator (feat. Sparks)
Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,10485424,,84,"Ribs; Team; David; Girl, so confusing featuring lorde; Royals; Supercut; What Was That; Buzzcut Season; Green Light; Shapeshifter"
Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,9282755,neo-psychedelic; indie,84,"The Less I Know The Better; Borderline; Let It Happen; Loser; New Person, Same Old Mistakes; End Of Summer; Eventually; New Gold (feat. Tame Impala and Bootie Brown); Feels Like We Only Go Backwards; Is It True"
Halsey,spotify:artist:26VFTg2z8YR0cCuwLzESi2,22317541,,84,Closer; Without Me; Him & I (with Halsey); Bad At Love; Eastside (with Halsey & Khalid); Boy With Luv (feat. Halsey); Gasoline; Colors; Be Kind (with Halsey); Control
TV Girl,spotify:artist:0Y6dVaC9DZtPNH4591M42W,12240100,,83,Lovers Rock; Cigarettes out the Window; Not Allowed; Blue Hair; The Blonde; Taking What's Not Yours; It Almost Worked; Loving Machine; Better in the Dark; Birds Dont Sing
Mac DeMarco,spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM,7884600,indie; lo-fi indie,83,For the First Time; Heart To Heart; My Kind of Woman; Chamber Of Reflection; Moonlight on the River; No Other Heart; Freaking Out the Neighborhood; Watching Him Fade Away; 20191009 I Like Her; Still Beating
beabadoobee,spotify:artist:35l9BRT7MXmM8bv2WDQiyB,6380977,bedroom pop,83,the perfect pair; death bed (coffee for your head); Glue Song; Beaches; Real Man; Apple Cider; the way things go; A Night To Remember; Coffee; Glue Song (feat. Clairo)
Clairo,spotify:artist:3l0CmX0FuQjFxr8SK7Vqag,6509421,bedroom pop,82,Juna; Sofia; Bags; Hello?; Pretty Girl; Slow Dance; Sexy to Someone; Bubble Gum; Amoeba; Flaming Hot Cheetos
Mitski,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,10915473,,82,My Love Mine All Mine; Washing Machine Heart; I Bet on Losing Dogs; First Love/Late Spring; Nobody; Francis Forever; I Want You; Liquid Smooth; Me and My Husband; A Pearl
Steve Lacy,spotify:artist:57vWImR43h4CaDao012Ofp,6329954,,82,Dark Red; Bad Habit; Infrunami; C U Girl; Some; Static; N Side; Sunshine (feat. Fousheé); Nice Shoes; Uuuu
Florence + The Machine,spotify:artist:1moxjboGR7GNWYIMWsRjgG,7186475,baroque pop,81,"Dog Days Are Over; Say My Name - Remix; You've Got The Love; Everybody Scream; Shake It Out; Florida!!! (feat. Florence + The Machine); Never Let Me Go; Spectrum (Say My Name) - Calvin Harris Remix; Reflections Laughing (feat. Travis Scott, Florence + The Machine); Cosmic Love"
Phoebe Bridgers,spotify:artist:1r1uxoy19fzMxunt3ONAkG,2969522,,80,Scott Street; Motion Sickness; I Know The End; Waiting Room; Funeral; The Gold - Phoebe Bridgers Version; Sidelines; Moon Song; Savior Complex; Kyoto
